x,y,z
637.438,62.178,1
640.078,61.570,1
641.483,64.800,1
643.770,63.264,1
644.948,65.915,1
646.198,64.826,1
644.260,68.570,1
645.075,67.582,1
644.581,70.602,1
645.272,69.408,1
645.373,72.954,1
645.373,72.954,1
645.864,72.109,1
645.468,75.242,1
645.914,73.329,1
645.427,78.323,1
645.814,81.187,1
644.664,84.724,1
645.544,84.858,1
643.372,89.140,1
645.086,90.950,1
643.443,94.219,1
644.575,95.814,1
642.970,99.820,1
644.607,101.280,1
642.557,105.177,1
642.557,105.177,1
644.383,106.666,1
642.522,109.810,1
644.346,111.182,1
642.746,114.299,1
644.305,116.047,1
642.435,118.896,1
644.183,120.505,1
642.247,123.103,1
644.089,124.997,1
641.784,128.194,1
643.882,129.757,1
641.801,132.435,1
643.615,134.304,1
643.615,134.304,1
644.073,136.212,1
641.216,138.396,1
643.734,140.149,1
641.354,142.915,1
643.533,145.035,1
641.636,147.454,1
643.487,149.229,1
640.711,152.324,1
642.706,154.311,1
640.383,156.752,1
642.613,158.641,1
640.486,161.436,1
642.753,164.051,1
640.432,166.668,1
642.483,168.725,1
642.483,168.725,1
640.295,171.375,1
642.247,173.948,1
640.222,176.982,1
642.247,179.171,1
639.831,182.071,1
642.202,184.420,1
639.798,187.032,1
641.976,189.246,1
639.833,191.597,1
641.784,193.789,1
639.446,196.407,1
641.757,198.356,1
639.590,200.682,1
641.917,203.086,1
641.917,203.086,1
640.042,206.309,1
641.810,208.922,1
639.662,211.525,1
641.711,214.169,1
639.156,216.534,1
641.360,219.256,1
639.261,222.384,1
641.356,224.877,1
639.063,227.278,1
641.000,229.583,1
638.720,231.877,1
640.893,234.130,1
638.269,237.153,1
640.863,240.034,1
640.863,240.034,1
638.268,243.149,1
640.410,245.243,1
638.493,247.730,1
640.862,249.982,1
638.460,252.306,1
640.280,254.394,1
637.589,256.758,1
639.588,259.368,1
637.464,262.153,1
640.012,264.702,1
637.889,267.459,1
639.892,269.384,1
638.047,271.608,1
640.428,273.860,1
638.066,276.820,1
638.066,276.820,1
640.087,279.182,1
637.266,281.746,1
639.183,283.961,1
636.901,286.984,1
638.914,289.646,1
636.398,292.645,1
638.934,294.244,1
636.250,295.552,1
638.644,297.597,1
636.371,300.025,1
639.129,301.484,1
637.408,302.691,1
639.494,304.254,1
636.732,305.747,1
636.732,305.747,1
638.604,306.430,1
