time,gx,gy,gz,ax,ay,az,mx,my,mz,p
303336,0.01362,-0.083963,-0.000807,0.256946907,0.015023196,0.972274948,-0.258969,0.235543,-0.672658,1016.549011
303436,0.015053,-0.080056,0.019127,0.26333134,0.008717526,0.980900619,-0.250921,0.237104,-0.676578,1016.549011
303536,0.009349,-0.064894,0.047106,0.264583093,0.000869072,0.988185979,-0.249468,0.240448,-0.673901,1016.549011
303636,0.009288,-0.055175,0.06774,0.262394742,-0.002668041,0.988870309,-0.242004,0.235845,-0.674127,1016.549011
303736,0.011833,-0.050256,0.080947,0.257927732,-0.008858144,0.982859485,-0.244973,0.236439,-0.675102,1016.550781
303836,0.01141,-0.04487,0.090859,0.254448969,-0.00739701,0.979945361,-0.24,0.236834,-0.674575,1016.550781
303936,0.015466,-0.05201,0.095864,0.251261753,-0.003161856,0.975205773,-0.239506,0.234335,-0.674702,1016.550781
304036,0.018541,-0.072197,0.094858,0.242966289,0.005145979,0.96874732,-0.22806,0.233631,-0.674224,1016.550781
304136,0.022941,-0.087221,0.090944,0.237386392,0.014371649,0.962615876,-0.229049,0.232176,-0.6748,1016.550781
304236,0.026762,-0.100541,0.089019,0.233433608,0.023255567,0.961554639,-0.220045,0.232628,-0.676771,1016.550781
304336,0.029969,-0.107015,0.080399,0.235777423,0.038992577,0.965530825,-0.219006,0.235698,-0.678618,1016.550781
304436,0.028204,-0.107179,0.0618,0.247088557,0.046600515,0.972614742,-0.210472,0.236231,-0.682088,1016.550781
304536,0.028719,-0.096495,0.053322,0.259979278,0.045996598,0.98251134,-0.210994,0.238657,-0.680462,1016.550781
304636,0.022168,-0.076227,0.048173,0.265522784,0.047169381,0.993848041,-0.200509,0.236571,-0.68206,1016.550781
304736,0.017698,-0.053289,0.033371,0.254055464,0.046144124,0.996791134,-0.198983,0.238612,-0.683457,1016.550781
304836,0.015915,-0.038342,-0.002865,0.237492165,0.043272371,0.992451546,-0.189547,0.23839,-0.681955,1016.550781
304936,0.016608,-0.034854,-0.05118,0.223029381,0.034073814,0.982005464,-0.193055,0.236902,-0.681033,1016.550781
305036,0.020092,-0.046446,-0.09612,0.215788144,0.035979588,0.968060825,-0.189534,0.23495,-0.683132,1016.550781
305136,0.021236,-0.0727,-0.125195,0.216481753,0.029730309,0.952116186,-0.190106,0.235264,-0.679109,1016.550781
305236,0.019706,-0.112829,-0.141998,0.217711856,0.029285258,0.945470928,-0.184565,0.238809,-0.681928,1016.550781
