// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 0388442F
//  ProductCode: MTi-3-8A7G6
//  Firmware Version: 1.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: general(50.9)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Enabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
00264,218336,9.401801,0.699082,2.804588,-0.006903,-0.029753,-0.015086,14.259993,-72.726932,-13.641437
00265,218536,9.368407,0.737242,2.820007,-0.011826,-0.036994,-0.016809,14.339371,-72.763925,-13.738825
00266,218736,9.352461,0.747048,2.786349,-0.010676,-0.033564,-0.020320,14.429927,-72.796062,-13.846515
00267,218936,9.396811,0.731619,2.747204,-0.008000,-0.027054,-0.020851,14.519826,-72.820787,-13.950283
00268,219136,9.434348,0.681167,2.804227,-0.009365,-0.031932,-0.020469,14.611578,-72.850983,-14.057618
00269,219336,9.416260,0.681418,2.833448,-0.011846,-0.033922,-0.023258,14.712678,-72.882505,-14.177698
00270,219536,9.378303,0.742807,2.777380,-0.021765,-0.020536,-0.024552,14.794746,-72.898751,-14.289740
00271,219736,9.386479,0.720187,2.711678,-0.024530,0.005391,-0.019612,14.831282,-72.887710,-14.357452
00272,219936,9.419024,0.728970,2.638024,-0.019698,0.008954,-0.018353,14.865416,-72.873137,-14.416857
00273,220136,9.448306,0.681905,2.813460,-0.027261,-0.024316,-0.024570,14.944963,-72.893548,-14.532852
00274,220336,9.441069,0.614670,2.857879,-0.007780,-0.025313,-0.030013,15.067432,-72.913365,-14.670405
00275,220536,9.338845,0.661463,2.652885,0.010244,0.004410,-0.022750,15.155644,-72.902440,-14.750511
00276,220736,9.367058,0.820558,2.606972,-0.021967,0.000329,-0.016753,15.189480,-72.897851,-14.812330
00277,220936,9.379527,0.912314,2.605692,-0.041940,-0.026284,-0.025762,15.259209,-72.920000,-14.935614
00278,221136,9.463404,0.891369,2.691271,-0.022058,-0.025163,-0.036815,15.390906,-72.937513,-15.099852
00279,221336,9.495124,0.740621,2.756410,0.010479,0.001310,-0.051799,15.587529,-72.921078,-15.293009
00280,221536,9.461439,0.715542,2.693087,0.012243,0.012887,-0.056239,15.789928,-72.890331,-15.490121
00281,221736,9.505404,0.833823,2.649796,-0.025035,-0.002316,-0.054963,15.960054,-72.876597,-15.698173
00282,221936,9.469747,0.836097,2.711123,-0.048753,-0.007189,-0.049913,16.089802,-72.869683,-15.892417
00283,222136,9.413137,0.719412,2.681698,-0.026133,0.009228,-0.041245,16.197286,-72.847375,-16.036257
00284,222336,9.449124,0.703531,2.782412,-0.009410,0.015340,-0.033140,16.288245,-72.820867,-16.142777
00285,222536,9.510622,0.860232,2.891126,0.006872,0.010644,-0.033570,16.404004,-72.799275,-16.255738
00286,222736,9.483596,0.959618,2.913198,0.028316,0.003452,-0.046273,16.596782,-72.781288,-16.423600
00287,222936,9.434402,0.850270,2.806079,0.050529,0.011668,-0.054000,16.833181,-72.751530,-16.610504
00288,223136,9.367934,0.767309,2.745475,0.038139,0.019640,-0.047652,17.023619,-72.714952,-16.764185
00289,223336,9.386970,0.973449,2.754311,-0.000629,0.009374,-0.048546,17.183425,-72.689162,-16.932322
00290,223536,9.381740,1.132124,2.793049,-0.016905,-0.001601,-0.047876,17.334145,-72.675425,-17.110462
00291,223736,9.396911,0.989348,2.833397,0.004513,0.008343,-0.042472,17.479391,-72.652486,-17.257160
00292,223936,9.346127,0.785811,2.834036,0.018707,0.021515,-0.040640,17.619345,-72.615658,-17.381309
00293,224136,9.307123,0.790777,2.811292,0.009645,0.008476,-0.037708,17.752540,-72.593982,-17.509292
00294,224336,9.395086,0.853418,2.890806,0.007717,-0.007726,-0.035038,17.891993,-72.590783,-17.646167
00295,224536,9.432528,0.988621,2.855138,0.021168,0.001622,-0.039378,18.051389,-72.575716,-17.787787
00296,224736,9.330367,0.909606,2.790605,0.034060,0.012883,-0.045587,18.233951,-72.546030,-17.938221
00297,224936,9.279138,0.615353,2.839334,0.040493,0.012124,-0.035316,18.388276,-72.520735,-18.051390
00298,225136,9.343177,0.716930,2.872360,0.037480,0.007119,-0.013857,18.470237,-72.508569,-18.092352
00299,225336,9.315555,1.163290,2.839955,0.035152,-0.008518,-0.015556,18.573681,-72.512692,-18.158607
00300,225536,9.303106,1.164462,2.792309,0.052115,-0.008764,-0.033033,18.757413,-72.510577,-18.288630
00301,225736,9.302577,0.851653,2.784985,0.063398,0.013089,-0.027997,18.910861,-72.486507,-18.373365
