PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
00196,147036,9.554400,0.666773,2.222431,-0.014357,-0.025461,0.025262,16.512590,-76.598594,-16.086513
00197,147236,9.567088,0.601774,2.378303,0.001424,-0.044524,0.032263,16.425192,-76.657784,-15.995043
00198,147436,9.563994,0.642742,2.209376,0.035754,-0.023869,0.037856,16.322243,-76.696024,-15.847182
00199,147636,9.561034,0.650864,2.263717,0.029820,-0.024476,0.040832,16.198694,-76.735775,-15.685166
00200,147836,9.545347,0.671754,2.263618,0.034699,-0.046158,0.038861,16.118481,-76.798643,-15.561954
00201,148036,9.535255,0.742457,2.249944,0.057178,-0.050711,0.029695,16.112747,-76.863528,-15.488802
00202,148236,9.528769,0.748129,2.244599,0.085719,-0.044764,0.024959,16.153944,-76.920300,-15.430259
00203,148436,9.556218,0.704795,2.268767,0.106234,-0.040917,0.023134,16.222105,-76.972198,-15.375271
00204,148636,9.550204,0.756021,2.305397,0.103953,-0.042645,0.029362,16.260541,-77.027909,-15.292463
00205,148836,9.505538,0.878197,2.299645,0.105512,-0.038638,0.030421,16.290349,-77.079443,-15.198962
00206,149036,9.485815,0.867964,2.217995,0.106207,-0.034874,0.029284,16.321352,-77.126400,-15.105864
00207,149236,9.552186,0.796037,2.172154,0.112325,-0.033131,0.031017,16.348649,-77.171963,-15.001775
00208,149436,9.666818,0.713700,2.273403,0.132607,-0.034472,0.032866,16.391973,-77.219540,-14.890303
00209,149636,9.722619,0.705426,2.347191,0.166017,-0.029449,0.032723,16.466927,-77.261473,-14.772028
00210,149836,9.582333,0.695082,2.341516,0.173147,-0.013476,0.032366,16.528673,-77.285658,-14.631852
00211,150036,9.438268,0.729188,2.253397,0.151486,0.004871,0.032771,16.537138,-77.289746,-14.462502
00212,150236,9.365621,0.774552,2.232701,0.141431,0.006940,0.043411,16.479409,-77.294913,-14.237100
00213,150436,9.396456,0.861372,2.164844,0.149148,-0.001506,0.045116,16.434644,-77.309802,-14.015908
00214,150636,9.459922,0.943609,2.089388,0.136695,-0.013721,0.041258,16.412334,-77.336799,-13.832343
00215,150836,9.509862,1.010470,2.023776,0.108830,-0.025895,0.037467,16.394565,-77.375925,-13.686139
00216,151036,9.530347,0.956369,1.998984,0.072855,-0.042007,0.038163,16.355530,-77.432978,-13.560377
00217,151236,9.522138,0.889851,2.074690,0.037650,-0.058529,0.038162,16.299761,-77.508148,-13.458805
