Sample Time Fine,Roll,Pitch,Heading (deg),Heading (rad),Reference,Estimated Heading
111119,0.636622,-0.010836,0,0,0,0.09765625
111219,0.637001,-0.011497,0.001216,2.12192E-05,0,0.097656926
111319,0.637402,-0.01347,0.001505,2.62623E-05,0,0.097657089
111419,0.636432,-0.015983,0.002179,3.80236E-05,0,0.097657473
111519,0.636729,-0.016594,0.002616,4.56492E-05,0,0.097657725
111619,0.635307,-0.017145,0.003351,5.8475E-05,0,0.097658153
111719,0.635383,-0.016042,0.004906,8.56097E-05,0,0.097659081
111819,0.634107,-0.017809,0.006807,0.000118782,0,0.097660255
111919,0.6347,-0.015833,0.007985,0.000139338,0,0.097661007
112019,0.633654,-0.013729,0.008587,0.000149843,0,0.097661399
112119,0.634624,-0.014872,0.010614,0.000185214,0,0.097662755
112219,0.636189,-0.012796,0.012678,0.000221231,0,0.097664198
112319,0.634661,-0.011993,0.014123,0.000246446,0,0.097665249
112419,0.634713,-0.011545,0.015823,0.000276111,0,0.09766653
112519,0.635372,-0.010674,0.016593,0.000289548,0,0.097667127
112619,0.635485,-0.009379,0.016881,0.000294573,0,0.097667353
112719,0.635819,-0.007856,0.018349,0.00032019,0,0.09766853
112819,0.635495,-0.006678,0.019549,0.00034113,0,0.097669522
112919,0.636152,-0.007644,0.02064,0.000360168,0,0.09767045
113019,0.635867,-0.007423,0.021796,0.00038034,0,0.09767146
113119,0.63716,-0.008046,0.022545,0.00039341,0,0.097672131
113219,0.637234,-0.008441,0.023999,0.000418783,0,0.097673468
113319,0.636724,-0.007618,0.024372,0.000425291,0,0.09767382
113419,0.636962,-0.007652,0.024665,0.000430404,0,0.097674098
113519,0.63784,-0.007645,0.024513,0.000427752,0,0.097673953
113619,0.636977,-0.008969,0.025275,0.000441049,0,0.097674684
113719,0.637634,-0.009712,0.026171,0.000456684,0,0.097675562
113819,0.6364,-0.010828,0.025863,0.000451309,0,0.097675258
113919,0.636375,-0.011668,0.026158,0.000456457,0,0.097675549
114019,0.636017,-0.01198,0.027147,0.000473715,0,0.097676542
114119,0.635201,-0.012034,0.028461,0.000496644,0,0.097677902
114219,0.634631,-0.010199,0.029335,0.000511896,0,0.097678834
114319,0.63478,-0.008849,0.029478,0.000514391,0,0.097678989
114419,0.634899,-0.008283,0.030506,0.00053233,0,0.097680118
114519,0.634434,-0.008614,0.031195,0.000544353,0,0.097680893
114619,0.633437,-0.010162,0.032159,0.000561175,0,0.097682003
114719,0.632001,-0.010512,0.033002,0.000575885,0,0.097683
114819,0.632032,-0.011061,0.034521,0.000602391,0,0.097684857
114919,0.630709,-0.010422,0.036367,0.000634604,0,0.097687229
115019,0.630952,-0.009138,0.03809,0.000664671,0,0.097689566
115119,0.631597,-0.007821,0.03885,0.000677933,0,0.097690637
115219,0.632562,-0.008468,0.041389,0.000722238,0,0.097694409
115319,0.633356,-0.009537,0.042615,0.000743632,0,0.097696345
115419,0.632924,-0.011009,0.04255,0.000742498,0,0.097696241
115519,0.632928,-0.01151,0.042485,0.000741363,0,0.097696136
115619,0.632425,-0.010996,0.044037,0.000768446,0,0.097698693
115719,0.632456,-0.009985,0.04478,0.000781411,0,0.097699965
115819,0.631705,-0.010259,0.046023,0.000803101,0,0.097702169
115919,0.630504,-0.009392,0.047288,0.000825176,0,0.097704514
116019,0.630407,-0.007559,0.047734,0.000832958,0,0.097705367
116119,0.630518,-0.006153,0.049706,0.00086737,0,0.09770931
116219,0.631363,-0.004882,0.051184,0.000893161,0,0.059600552
116319,0.631945,-0.003582,0.052216,0.000911169,0,0.060454621
116419,0.631847,-0.003252,0.054871,0.000957499,0,0.062651862
116519,0.631405,-0.002925,0.054828,0.000956749,0,0.062616276
116619,0.630631,-0.005207,0.056777,0.000990759,0,0.064229241
116719,0.630302,-0.006647,0.05804,0.001012798,0,0.065274483
116819,0.630563,-0.006138,0.059713,0.001041992,0,0.066659034
116919,0.632252,-0.003785,0.060738,0.001059878,0,0.06750731
117019,0.631988,-0.002563,0.061783,0.001078113,0,0.068372138
117119,0.633051,-0.001508,0.062975,0.001098914,0,0.069358621
117219,0.633011,-0.000103,0.063386,0.001106086,0,0.069698759
117319,0.633563,0.00037,0.062674,0.001093661,0,0.069109517
117419,0.633381,-0.001332,0.063473,0.001107604,0,0.069770759
117519,0.633031,-0.004552,0.064212,0.001120499,0,0.070382345
117619,0.63207,-0.007786,0.065086,0.001135751,0,0.071105655
117719,0.630424,-0.009741,0.065152,0.001136902,0,0.071160276
117819,0.629862,-0.009958,0.066075,0.001153009,0,0.071924138
117919,0.629309,-0.009895,0.067851,0.001184,0,0.073393931
118019,0.628274,-0.009047,0.068586,0.001196826,0,0.074002207
118119,0.629231,-0.007947,0.069319,0.001209617,0,0.074608828
118219,0.629979,-0.006371,0.070118,0.001223559,0,0.075270069
118319,0.629748,-0.005924,0.070348,0.001227573,0,0.075460414
118419,0.631139,-0.006413,0.072011,0.001256592,0,0.07683669
118519,0.631356,-0.007006,0.07443,0.001298804,0,0.078838621
118619,0.630614,-0.007531,0.07538,0.001315381,0,0.079624828
118719,0.631808,-0.006025,0.077391,0.001350473,0,0.081289103
118819,0.631665,-0.005449,0.079365,0.001384919,0,0.082922759
118919,0.632019,-0.004427,0.07976,0.001391812,0,0.083249655
119019,0.632108,-0.00454,0.080506,0.00140483,0,0.083867034
