SampleTimeFine,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
324109,0.017146,0.033526,-0.058084,8.203953,-83.621957,-8.15386
324209,0.032949,0.02943,-0.056773,8.545526,-83.605737,-8.470234
324309,0.039943,0.03344,-0.056612,8.892466,-83.587839,-8.785937
324409,0.032867,0.038471,-0.054245,9.188053,-83.565084,-9.064717
324509,0.021009,0.044139,-0.053356,9.474019,-83.538414,-9.333967
324609,0.00888,0.050301,-0.055035,9.749729,-83.507574,-9.600162
324709,-0.004194,0.04822,-0.054969,10.002766,-83.477731,-9.859216
324809,-0.011488,0.039447,-0.054003,10.250847,-83.453116,-10.11798
324909,-0.012938,0.02086,-0.05446,10.514812,-83.436797,-10.388771
325009,-0.014184,0.021582,-0.052086,10.769934,-83.422183,-10.654376
325109,-0.014906,0.027431,-0.048057,10.99655,-83.403246,-10.889394
325209,-0.02401,0.038267,-0.044089,11.187532,-83.379238,-11.094054
325309,-0.034543,0.039319,-0.036858,11.334191,-83.355707,-11.261639
325409,-0.042383,0.028984,-0.035983,11.481719,-83.336409,-11.431671
325509,-0.031517,0.007319,-0.038002,11.662711,-83.329083,-11.630503
325609,-0.008231,-0.003092,-0.046045,11.902471,-83.326929,-11.877247
325709,0.018025,-0.002602,-0.059189,12.222044,-83.321648,-12.185626
325809,0.023493,0.007317,-0.069847,12.577336,-83.309814,-12.531221
325909,0.02149,0.014172,-0.075514,12.956076,-83.292683,-12.897717
326009,0.026483,0.014924,-0.07525,13.331488,-83.275318,-13.259891
326109,0.026338,0.016679,-0.078264,13.711624,-83.255846,-13.62822
326209,0.021443,0.015911,-0.075515,14.078415,-83.237449,-13.985652
326309,-0.003231,0.010282,-0.063265,14.38074,-83.223714,-14.2915
326409,-0.005938,0.009668,-0.065549,14.694742,-83.209737,-14.609395
326509,0.012727,0.004736,-0.061843,15.005405,-83.198985,-14.914124
326609,0.025771,-0.005058,-0.054413,15.301104,-83.194408,-15.195663
326709,0.042193,-0.005174,-0.053147,15.599107,-83.189896,-15.470377
326809,0.054713,0.002513,-0.054637,15.897605,-83.180896,-15.739888
326909,0.062331,0.007435,-0.059525,16.216891,-83.168288,-16.025279
327009,0.074742,0.019854,-0.05777,16.516487,-83.149055,-16.284331
327109,0.094105,0.037782,-0.055679,16.786835,-83.119714,-16.503147
327209,0.105124,0.026595,-0.056067,17.08005,-83.096318,-16.738281
327309,0.111217,0.016832,-0.058198,17.396458,-83.077769,-16.993783
327409,0.112167,0.01484,-0.06422,17.741137,-83.059147,-17.277514
327509,0.104626,-0.008624,-0.057222,18.082545,-83.054198,-17.562185
327609,0.098513,-0.016287,-0.04902,18.394313,-83.054726,-17.820733
327709,0.102268,0.000231,-0.044069,18.661122,-83.047005,-18.031888
327809,0.110172,0.018762,-0.047255,18.917984,-83.028528,-18.228473
327909,0.112288,0.021118,-0.052158,19.192921,-83.007726,-18.442063
328009,0.117704,0.021059,-0.054682,19.480734,-82.986361,-18.665537
328109,0.121488,0.007297,-0.048804,19.765095,-82.973414,-18.88337
328209,0.117585,-0.016692,-0.036321,20.03005,-82.975694,-19.083894
328309,0.114174,-0.027657,-0.023685,20.255661,-82.986253,-19.246753
328409,0.12532,-0.02142,-0.021137,20.466923,-82.993891,-19.388714
328509,0.141345,-0.014372,-0.033172,20.72869,-82.995253,-19.572302
328609,0.145667,-0.008017,-0.050045,21.055866,-82.989642,-19.819303
328709,0.135305,-0.000881,-0.060088,21.408181,-82.977963,-20.097633
328809,0.105256,-0.001195,-0.061725,21.750035,-82.965884,-20.382768
328909,0.066243,-0.02116,-0.052112,22.062039,-82.966275,-20.66039
329009,0.038073,-0.047823,-0.037369,22.341829,-82.983819,-20.92181
329109,0.026034,-0.067649,-0.019773,22.575857,-83.015563,-21.144062
329209,0.026403,-0.078598,-0.013686,22.805681,-83.054323,-21.361887
329309,0.029098,-0.07521,-0.007935,23.00829,-83.092493,-21.550709
329409,0.030661,-0.05769,-0.010355,23.191684,-83.120808,-21.719218
329509,0.037049,-0.030442,-0.005874,23.308894,-83.135769,-21.817415
329609,0.052815,-0.026938,-0.005922,23.428984,-83.148859,-21.909422
329709,0.061623,-0.03027,-0.006211,23.562455,-83.163656,-22.009725
329809,0.066784,-0.043096,-0.007939,23.731583,-83.18475,-22.142958
329909,0.072406,-0.063128,-0.014065,23.970569,-83.214881,-22.34343
330009,0.078137,-0.076122,-0.020608,24.269641,-83.25013,-22.601026
330109,0.087402,-0.068949,-0.024351,24.579039,-83.280578,-22.863655
330209,0.096612,-0.047605,-0.024612,24.853337,-83.299648,-23.085692
330309,0.097429,-0.027119,-0.021297,25.072859,-83.308766,-23.251946
330409,0.078027,-0.002481,-0.018166,25.215958,-83.305805,-23.352637
330509,0.048058,0.013135,-0.005019,25.251052,-83.297968,-23.361942
330609,0.025365,0.008222,0.006111,25.23397,-83.295414,-23.331917
330709,0.013428,-0.019865,0.010491,25.249519,-83.308449,-23.341515
330809,0.013761,-0.051102,0.006885,25.347261,-83.33685,-23.433658
330909,0.020687,-0.07794,0.001428,25.530751,-83.377652,-23.608166
331009,0.02456,-0.081578,-0.005076,25.756166,-83.418717,-23.822624
331109,0.016991,-0.064561,-0.009869,25.964322,-83.44971,-24.024079
331209,0.009284,-0.047964,-0.010669,26.1372,-83.471868,-24.194333
331309,0.00903,-0.039922,-0.007821,26.280475,-83.490575,-24.334857
331409,0.000151,-0.034369,-0.000994,26.376023,-83.508154,-24.432508
331509,-0.018168,-0.03822,0.008166,26.428918,-83.530023,-24.497731
331609,-0.036617,-0.052112,0.01812,26.457998,-83.56156,-24.549622
331709,-0.050404,-0.075374,0.026467,26.4946,-83.607156,-24.617048
331809,-0.06562,-0.09705,0.033133,26.542623,-83.665563,-24.704739
331909,-0.068885,-0.111962,0.035738,26.612871,-83.732267,-24.816667
332009,-0.059384,-0.118003,0.035418,26.706399,-83.801958,-24.946529
332109,-0.041316,-0.114919,0.032352,26.819987,-83.869251,-25.086136
332209,-0.023784,-0.101757,0.029582,26.927563,-83.929069,-25.209573
332309,-0.020139,-0.078514,0.026371,26.997567,-83.976166,-25.293113
332409,-0.037972,-0.054666,0.021769,27.02151,-84.009891,-25.340602
332509,-0.064335,-0.052308,0.019324,27.036752,-84.041777,-25.394526
332609,-0.072888,-0.054641,0.02618,27.019811,-84.076634,-25.421028
332709,-0.086205,-0.076041,0.032979,27.016044,-84.124173,-25.46846
332809,-0.114206,-0.093197,0.039701,27.007092,-84.182206,-25.526824
332909,-0.144931,-0.083465,0.04209,26.944092,-84.235881,-25.548567
333009,-0.158329,-0.072656,0.039937,26.856116,-84.283468,-25.55293
333109,-0.153499,-0.067706,0.042655,26.743352,-84.32922,-25.529603
333209,-0.135994,-0.06257,0.042684,26.625905,-84.372347,-25.49149
333309,-0.115589,-0.062253,0.040484,26.529545,-84.414748,-25.462817
333409,-0.093696,-0.058194,0.034313,26.466544,-84.453498,-25.455053
333509,-0.07869,-0.049393,0.030438,26.408773,-84.486752,-25.443897
333609,-0.071806,-0.035528,0.030422,26.317672,-84.512889,-25.395287
333709,-0.0749,-0.043863,0.032443,26.235266,-84.543821,-25.357192
333809,-0.075503,-0.067107,0.037956,26.18393,-84.588093,-25.350659
333909,-0.068413,-0.090509,0.041085,26.18224,-84.645183,-25.389921
334009,-0.058731,-0.102703,0.045021,26.198196,-84.709531,-25.441341
334109,-0.05766,-0.095158,0.043832,26.201576,-84.76969,-25.47952
334209,-0.065512,-0.0667,0.03719,26.159232,-84.813534,-25.476305
334309,-0.081556,-0.031764,0.033204,26.032292,-84.838398,-25.397375
334409,-0.098516,-0.01623,0.026932,25.887216,-84.853673,-25.309994
334509,-0.116779,-0.022141,0.019598,25.789508,-84.870153,-25.280679
334609,-0.122672,-0.036553,0.017946,25.737721,-84.89366,-25.300864
334709,-0.113543,-0.050978,0.024575,25.693027,-84.926265,-25.322923
334809,-0.097151,-0.058855,0.027596,25.662215,-84.963692,-25.349495
334909,-0.083688,-0.059606,0.029965,25.627314,-85.002096,-25.364222
