SampleTimeFine,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
128188,-0.026803,-0.028446,-0.016332,13.831163,-82.743308,-13.724583
128288,-0.023839,-0.016486,-0.021693,13.93681,-82.750049,-13.844744
128388,-0.010734,-0.021341,-0.024693,14.068751,-82.759028,-13.983837
128488,-0.003354,-0.037153,-0.021069,14.207172,-82.777244,-14.125191
128588,0.001761,-0.046031,-0.014932,14.332453,-82.801202,-14.250337
128688,-0.007561,-0.04774,-0.011374,14.439505,-82.826577,-14.362486
128788,-0.018992,-0.047014,-0.006832,14.519693,-82.852168,-14.454158
128888,-0.029591,-0.038841,-0.004166,14.572813,-82.873585,-14.52467
128988,-0.021952,-0.038061,-0.005911,14.637272,-82.894295,-14.602201
129088,-0.012306,-0.041318,-0.009805,14.728688,-82.916225,-14.701327
129188,0.003772,-0.059537,-0.014009,14.87028,-82.9476,-14.841724
129288,0.014889,-0.075007,-0.019021,15.060688,-82.98673,-15.02488
129388,0.022135,-0.077932,-0.024629,15.286191,-83.026539,-15.2392
129488,0.026923,-0.061367,-0.024965,15.497431,-83.057032,-15.436372
129588,0.025297,-0.035597,-0.02629,15.6823,-83.07301,-15.607914
129688,0.020784,-0.014339,-0.02638,15.838051,-83.077189,-15.75273
129788,0.01821,-0.008411,-0.026306,15.984252,-83.07807,-15.889414
129888,0.015547,-0.02049,-0.024794,16.137833,-83.085801,-16.03507
129988,0.014217,-0.031906,-0.022708,16.296494,-83.100102,-16.186609
130088,0.016571,-0.045619,-0.017867,16.453414,-83.122677,-16.335031
130188,0.02127,-0.052551,-0.019533,16.630926,-83.148746,-16.501478
130288,0.030286,-0.048017,-0.024809,16.832642,-83.1714,-16.687094
130388,0.038156,-0.041291,-0.039491,17.097926,-83.187837,-16.932182
130488,0.049096,-0.042136,-0.044606,17.395301,-83.203735,-17.203271
130588,0.05598,-0.056252,-0.043087,17.711589,-83.227443,-17.489423
130688,0.061506,-0.070197,-0.040831,18.04357,-83.258965,-17.788174
130788,0.068865,-0.081574,-0.035065,18.37334,-83.297508,-18.080435
130888,0.067414,-0.084281,-0.027095,18.672828,-83.338779,-18.343023
130988,0.06379,-0.075743,-0.024051,18.945503,-83.375822,-18.580692
131088,0.057198,-0.065599,-0.020739,19.184967,-83.40786,-18.788714
131188,0.048229,-0.071219,-0.023506,19.443767,-83.442292,-19.021362
131288,0.061232,-0.074597,-0.030648,19.752447,-83.477025,-19.296695
131388,0.066567,-0.084396,-0.034209,20.101695,-83.516137,-19.609754
131488,0.061915,-0.116004,-0.030751,20.49235,-83.572674,-19.967133
131588,0.055004,-0.137615,-0.022507,20.885919,-83.642163,-20.331382
131688,0.048466,-0.151017,-0.01274,21.262008,-83.720521,-20.681759
131788,0.043027,-0.13702,-0.006343,21.585329,-83.792478,-20.982145
131888,0.030553,-0.097457,-0.003629,21.816562,-83.843767,-21.197069
131988,0.004311,-0.050472,0.008759,21.880875,-83.872645,-21.259214
132088,-0.014199,-0.033933,0.021792,21.837381,-83.8955,-21.223601
132188,-0.020561,-0.040981,0.034656,21.74018,-83.924821,-21.137649
132288,-0.021461,-0.072958,0.046552,21.646544,-83.973637,-21.055777
132388,-0.021429,-0.128721,0.048094,21.657,-84.052432,-21.078571
132488,-0.015666,-0.178354,0.040836,21.812348,-84.15605,-21.243693
132588,-0.006958,-0.198389,0.02701,22.095023,-84.267257,-21.531738
132688,0.00045,-0.171338,0.011079,22.41903,-84.360478,-21.856999
132788,0.003201,-0.115972,-0.008775,22.736762,-84.419862,-22.17434
132888,-0.005736,-0.059823,-0.016924,22.969979,-84.447661,-22.411884
132988,-0.021433,-0.037643,-0.014688,23.13169,-84.464214,-22.586627
133088,-0.031238,-0.048634,-0.008122,23.27795,-84.488019,-22.751494
133188,-0.026443,-0.081879,0.002002,23.451275,-84.531575,-22.940787
133288,-0.002726,-0.121802,0.010726,23.689376,-84.598015,-23.181481
133388,0.02157,-0.151094,0.012421,24.010851,-84.680065,-23.491908
133488,0.051639,-0.155776,0.008461,24.394072,-84.763426,-23.847003
133588,0.056262,-0.131125,-0.000581,24.7783,-84.831536,-24.200408
133688,0.048679,-0.086705,-0.005341,25.074718,-84.875195,-24.46998
133788,0.022721,-0.050798,-0.002444,25.245478,-84.900816,-24.62831
133888,-0.006723,-0.035162,-0.00254,25.358594,-84.918265,-24.745698
133988,-0.031164,-0.047944,0.000758,25.475325,-84.943106,-24.880765
134088,-0.037147,-0.077989,0.002681,25.663781,-84.983916,-25.091266
134188,-0.032565,-0.11251,0.010277,25.912892,-85.044358,-25.359999
134288,-0.024771,-0.142222,0.017255,26.218961,-85.121741,-25.681391
134388,-0.017519,-0.162658,0.019904,26.585435,-85.21013,-26.059195
134488,-0.009498,-0.162185,0.021002,26.962032,-85.298358,-26.442498
134588,-0.005488,-0.150771,0.020449,27.321673,-85.380418,-26.806439
134688,-0.019534,-0.143385,0.029024,27.60679,-85.460809,-27.103649
134788,-0.040606,-0.151702,0.036979,27.867601,-85.547395,-27.388553
134888,-0.048168,-0.165893,0.036837,28.186833,-85.640966,-27.736358
134988,-0.045241,-0.174272,0.032174,28.585244,-85.737287,-28.16184
135088,-0.042346,-0.171313,0.030199,29.00686,-85.831327,-28.608873
135188,-0.038741,-0.168715,0.028612,29.451164,-85.92338,-29.076532
135288,-0.038549,-0.162572,0.027112,29.901532,-86.01171,-29.55011
135388,-0.040711,-0.15279,0.026501,30.333821,-86.094791,-30.006764
