SampleTimeFine,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
182619,-0.039744,0.006755,-0.017461,9.006185,-83.604737,-8.951051
182719,-0.038692,0.028787,-0.01758,9.075129,-83.589098,-9.039445
182819,-0.035428,0.033412,-0.013888,9.121359,-83.571291,-9.103614
182919,-0.036572,0.037279,-0.011849,9.151676,-83.550483,-9.152576
183019,-0.047896,0.029348,-0.006605,9.15344,-83.534559,-9.179773
183119,-0.049783,0.014556,-0.002054,9.148801,-83.526893,-9.200192
183219,-0.038505,-8.6e-05,-0.00243,9.156052,-83.529004,-9.228316
183319,-0.022509,-0.006619,-0.004175,9.193762,-83.534031,-9.276162
183419,-0.014321,-0.005993,-0.005786,9.24847,-83.539231,-9.335765
183519,-0.013568,-0.006486,-0.00916,9.317694,-83.54296,-9.409862
183619,-0.014939,-0.000338,-0.012623,9.380848,-83.54324,-9.481944
183719,-0.015673,0.003538,-0.014201,9.449007,-83.541678,-9.559915
183819,-0.01736,-0.00037,-0.01646,9.541598,-83.54076,-9.660553
183919,-0.019259,-0.006882,-0.015698,9.629026,-83.544499,-9.758641
184019,-0.017811,-0.007332,-0.015303,9.715779,-83.547466,-9.855018
184119,-0.005914,-0.007878,-0.016299,9.817766,-83.551465,-9.959782
184219,0.001265,-0.011133,-0.016246,9.917169,-83.557555,-10.059648
184319,0.000129,-0.017195,-0.019661,10.041585,-83.564788,-10.183782
184419,-0.003909,-0.020434,-0.024003,10.19263,-83.573479,-10.336222
184519,-0.003289,-0.028801,-0.028837,10.387534,-83.586736,-10.530478
184619,0.001518,-0.039606,-0.029925,10.59342,-83.604815,-10.734123
184719,0.002708,-0.037504,-0.027343,10.788277,-83.622494,-10.92595
184819,0.010478,-0.022287,-0.029716,10.981277,-83.632249,-11.112821
184919,0.011705,-0.011924,-0.026084,11.15338,-83.635642,-11.276223
185019,0.009188,-0.013484,-0.022315,11.307087,-83.640042,-11.422404
185119,0.000932,-0.022979,-0.017756,11.442198,-83.65056,-11.555279
185219,-0.001305,-0.028963,-0.020076,11.601441,-83.663504,-11.712246
185319,0.00093,-0.028157,-0.02737,11.80681,-83.676467,-11.913594
185419,0.007814,-0.023827,-0.033275,12.032916,-83.685426,-12.133194
185519,0.012169,-0.024474,-0.038742,12.291722,-83.693528,-12.382928
185619,0.010468,-0.03032,-0.040196,12.562537,-83.705226,-12.646152
185719,0.006183,-0.038985,-0.040571,12.83703,-83.722022,-12.917557
185819,-0.003671,-0.034656,-0.036878,13.093895,-83.737367,-13.175021
185919,-0.012017,-0.042162,-0.025983,13.288644,-83.757383,-13.37593
186019,-0.031209,-0.022338,-0.006085,13.35768,-83.768006,-13.459254
186119,-0.022909,0.002679,0.006481,13.33392,-83.766917,-13.445006
186219,-0.013816,0.019603,0.012008,13.257243,-83.757825,-13.374816
186319,-0.017177,0.029954,0.004762,13.210025,-83.741859,-13.334343
186419,-0.031186,0.025092,-0.003931,13.200298,-83.727391,-13.340687
186519,-0.051499,-0.007129,-0.003821,13.218354,-83.7311,-13.386049
186619,-0.058961,-0.028895,0.001691,13.221558,-83.747864,-13.422691
186719,-0.046125,-0.032893,0.000989,13.241608,-83.767059,-13.468803
186819,-0.027834,-0.021562,-0.002759,13.27385,-83.779651,-13.517439
186919,-0.013547,-0.006012,-0.003186,13.298431,-83.783361,-13.549823
187019,-0.004398,0.000165,-0.005059,13.329095,-83.783287,-13.583271
187119,-0.001439,-0.015568,-0.008444,13.397946,-83.791286,-13.653231
187219,-0.006672,-0.045874,-0.010536,13.513284,-83.816172,-13.772876
187319,-0.014229,-0.069021,-0.010995,13.654242,-83.853665,-13.922975
187419,-0.02149,-0.079432,-0.001389,13.756181,-83.898429,-14.038075
187519,-0.028349,-0.074222,0.000316,13.840508,-83.940375,-14.139286
187619,-0.028394,-0.056069,0.000726,13.900585,-83.972206,-14.216073
187719,-0.030675,-0.037399,0.003787,13.918847,-83.994081,-14.252253
187819,-0.041784,-0.026601,0.007798,13.895815,-84.010624,-14.253332
187919,-0.053586,-0.02346,0.01127,13.84373,-84.025774,-14.231892
188019,-0.064424,-0.021533,0.013345,13.772632,-84.040267,-14.197478
188119,-0.064631,-0.020747,0.016313,13.682583,-84.054757,-14.144448
188219,-0.056618,-0.022711,0.015604,13.604251,-84.070149,-14.098355
188319,-0.053009,-0.025266,0.014552,13.536118,-84.086743,-14.0605
188419,-0.04579,-0.019191,0.01381,13.467085,-84.09996,-14.017789
188519,-0.042934,-0.02788,0.013082,13.416102,-84.117836,-13.991298
188619,-0.046989,-0.038767,0.010297,13.390963,-84.14134,-13.993248
188719,-0.055635,-0.043578,0.011942,13.356938,-84.167895,-13.991524
188819,-0.051821,-0.045825,0.015459,13.310336,-84.196369,-13.974758
188919,-0.040035,-0.043583,0.017312,13.2562,-84.223676,-13.943726
189019,-0.035705,-0.03797,0.015904,13.206667,-84.247809,-13.914551
189119,-0.0371,-0.036708,0.015687,13.156811,-84.271188,-13.885636
189219,-0.040775,-0.028557,0.010254,13.124476,-84.289513,-13.876461
189319,-0.039057,-0.025018,0.002098,13.1328,-84.304712,-13.907341
189419,-0.029957,-0.032936,-0.006586,13.20778,-84.323163,-13.999567
189519,-0.01704,-0.037494,-0.014034,13.340333,-84.343082,-14.141888
189619,-0.004627,-0.039958,-0.017192,13.502304,-84.36435,-14.306836
189719,0.000748,-0.037199,-0.016572,13.659369,-84.383566,-14.463842
189819,-0.005782,-0.03376,-0.009936,13.769629,-84.401794,-14.577856
189919,-0.012768,-0.025291,-0.005336,13.841087,-84.416029,-14.656539
190019,-0.025687,-0.014308,-0.001989,13.868965,-84.424609,-14.699216
190119,-0.036931,-0.00447,0.001358,13.857253,-84.428147,-14.708594
190219,-0.040284,0.003042,0.002627,13.825489,-84.427336,-14.699639
190319,-0.036046,0.002787,-0.000791,13.814827,-84.426364,-14.709742
190419,-0.027753,-0.002348,-0.00506,13.841513,-84.42768,-14.752458
190519,-0.018766,-0.010848,-0.00981,13.912494,-84.433018,-14.8345
190619,-0.009825,-0.018116,-0.011768,14.009575,-84.442105,-14.937741
190719,-0.010518,-0.013464,-0.011592,14.098955,-84.44859,-15.033628
190819,-0.015559,-0.002616,-0.006765,14.14231,-84.449646,-15.086156
190919,-0.026068,0.009089,-0.004179,14.147628,-84.44456,-15.106569
191019,-0.036621,0.024896,-0.002434,14.113905,-84.430965,-15.093899
191119,-0.04426,0.038354,-0.003988,14.066277,-84.409732,-15.071568
191219,-0.051212,0.033489,-0.005393,14.02958,-84.390932,-15.064234
191319,-0.052772,0.021882,-0.006668,14.015889,-84.378402,-15.080895
191419,-0.054614,0.015097,-0.008026,14.018257,-84.369466,-15.114779
191519,-0.053496,0.007517,-0.009242,14.038749,-84.364555,-15.166218
191619,-0.05439,0.018215,-0.012034,14.059174,-84.353291,-15.218105
191719,-0.051032,0.042592,-0.008897,14.029272,-84.328934,-15.217533
191819,-0.043637,0.052883,-0.009046,13.990165,-84.298785,-15.203427
191919,-0.039003,0.044454,-0.01328,13.989028,-84.272773,-15.22485
192019,-0.038499,0.029822,-0.022138,14.057448,-84.253687,-15.315885
192119,-0.046074,-0.002539,-0.030119,14.210434,-84.251458,-15.496239
192219,-0.04617,-0.018485,-0.028547,14.376423,-84.258187,-15.689808
192319,-0.037278,-0.011939,-0.02456,14.517217,-84.261818,-15.852833
192419,-0.018539,0.011663,-0.021544,14.617729,-84.252742,-15.964657
192519,-0.007338,0.04054,-0.018413,14.665311,-84.228092,-16.016839
192619,-2.5e-05,0.054164,-0.012065,14.66149,-84.196793,-16.013277
192719,-0.007179,0.047018,-0.013055,14.669714,-84.169276,-16.025822
192819,-0.011816,0.008593,-0.018691,14.761195,-84.162366,-16.124659
192919,-0.007961,-0.020533,-0.026767,14.939046,-84.170378,-16.308332
193019,0.00667,-0.023038,-0.035999,15.178954,-84.178251,-16.54603
193119,0.010401,-0.012159,-0.039028,15.422523,-84.179504,-16.785119
193219,0.004631,-0.004313,-0.033982,15.62263,-84.177195,-16.984071
193319,-0.005234,0.002391,-0.027649,15.771439,-84.172182,-17.137335
193419,-0.010631,0.007016,-0.023984,15.891888,-84.1651,-17.264852
193519,-0.009216,0.00753,-0.022692,16.004877,-84.157882,-17.384059
193619,-0.003147,0.000279,-0.022976,16.133592,-84.154526,-17.515579
193719,0.004035,-0.004469,-0.023662,16.277731,-84.153659,-17.658414
193819,0.009487,-0.008094,-0.024193,16.431902,-84.154807,-17.808548
193919,0.004073,-0.006791,-0.018806,16.553033,-84.155952,-17.928348
194019,-0.004238,-0.002212,-0.015528,16.646137,-84.155087,-18.024485
194119,-0.012391,-0.008437,-0.009467,16.711275,-84.158673,-18.097398
194219,-0.018015,-0.018126,-0.01117,16.799277,-84.167269,-18.196372
194319,-0.02217,-0.023843,-0.013795,16.908881,-84.178433,-18.319379
194419,-0.020097,-0.027074,-0.016613,17.04089,-84.190897,-18.463715
194519,-0.004173,-0.028746,-0.019443,17.200691,-84.203787,-18.626833
194619,0.01239,-0.019802,-0.015955,17.3368,-84.212315,-18.756567
194719,0.019826,-0.005938,-0.011725,17.431019,-84.213974,-18.839921
194819,0.015709,0.002941,-0.003136,17.461284,-84.212253,-18.86136
194919,-0.006145,0.008318,0.008729,17.405712,-84.209638,-18.809113
195019,-0.031476,-0.001725,0.018652,17.299061,-84.214199,-18.72011
195119,-0.047619,-0.02865,0.022111,17.209781,-84.23405,-18.657861
195219,-0.057478,-0.057456,0.020655,17.171229,-84.269396,-18.652272
195319,-0.068874,-0.061934,0.01979,17.138714,-84.307027,-18.659306
195419,-0.075724,-0.057232,0.015978,17.11551,-84.34143,-18.679638
195519,-0.072946,-0.051255,0.015268,17.087747,-84.37244,-18.693787
195619,-0.062984,-0.047672,0.019683,17.034679,-84.402234,-18.676774
195719,-0.050989,-0.048047,0.025602,16.955183,-84.433229,-18.626307
195819,-0.034018,-0.053912,0.020113,16.925456,-84.466522,-18.616083
195919,-0.010261,-0.058918,0.015312,16.94483,-84.501759,-18.641517
196019,0.012045,-0.056807,0.004956,17.03272,-84.5341,-18.722946
196119,0.030064,-0.057185,-0.00361,17.181926,-84.565179,-18.855594
196219,0.027792,-0.058281,-0.004773,17.34029,-84.59662,-18.998742
196319,0.01622,-0.052462,0.000766,17.451107,-84.625791,-19.100782
196419,-0.002503,-0.042148,0.007791,17.492453,-84.650523,-19.143816
196519,-0.022308,-0.028547,0.016355,17.447532,-84.669301,-19.111601
196619,-0.032126,-0.020916,0.02009,17.360605,-84.68455,-19.04285
196719,-0.036609,-0.018217,0.020671,17.26216,-84.698412,-18.965115
196819,-0.037985,-0.021819,0.018,17.184749,-84.713779,-18.9093
196919,-0.033545,-0.025771,0.012754,17.147815,-84.730413,-18.89158
197019,-0.026523,-0.027752,0.010878,17.129538,-84.747812,-18.888557
