SampleTimeFine,Roll,Pitch,Yaw
108178,-12.578278,-84.213164,12.516202
108278,-12.612152,-84.268721,12.585861
108378,-12.648514,-84.319671,12.651372
108478,-12.689971,-84.369701,12.713181
108578,-12.727436,-84.419773,12.768486
108678,-12.786191,-84.468239,12.84174
108778,-12.87592,-84.510352,12.938895
108878,-12.980584,-84.538357,13.047079
108978,-13.144657,-84.554308,13.213359
109078,-13.32651,-84.558287,13.396227
109178,-13.525018,-84.553943,13.587558
109278,-13.739336,-84.547911,13.777772
109378,-13.953928,-84.540422,13.953093
109478,-14.169516,-84.530413,14.115334
109578,-14.369109,-84.517055,14.243854
109678,-14.561477,-84.502338,14.352593
109778,-14.755408,-84.487685,14.456657
109878,-14.93651,-84.480105,14.556088
109978,-15.090737,-84.480331,14.6446
110078,-15.185111,-84.484983,14.691469
110178,-15.196281,-84.481508,14.673036
110278,-15.116244,-84.456241,14.57132
110378,-14.972891,-84.409451,14.401788
110478,-14.840524,-84.35179,14.233154
110578,-14.774939,-84.28978,14.12581
110678,-14.782346,-84.229211,14.092069
110778,-14.828181,-84.173188,14.098797
110878,-14.852984,-84.122938,14.08992
110978,-14.802348,-84.070389,14.017807
111078,-14.646537,-84.006385,13.853354
111178,-14.384061,-83.920336,13.587054
111278,-14.070507,-83.813632,13.26586
111378,-13.712255,-83.695416,12.889436
111478,-13.396704,-83.575339,12.544706
111578,-13.135725,-83.455586,12.246238
111678,-12.907129,-83.33701,11.97841
111778,-12.699817,-83.215703,11.732979
111878,-12.506736,-83.085875,11.503046
111978,-12.275201,-82.940417,11.230503
112078,-11.981697,-82.775591,10.891247
112178,-11.683532,-82.596621,10.537739
112278,-11.399805,-82.412079,10.188499
112378,-11.178254,-82.230551,9.896685
112478,-11.042114,-82.052629,9.694082
112578,-10.995728,-81.888177,9.590853
112678,-11.01568,-81.739043,9.551151
112778,-11.070417,-81.602665,9.563597
112878,-11.157186,-81.483522,9.618793
112978,-11.270741,-81.381211,9.702011
113078,-11.408742,-81.296215,9.814428
113178,-11.576981,-81.219322,9.96533
113278,-11.755296,-81.139519,10.130626
113378,-11.949185,-81.058634,10.317833
113478,-12.180541,-80.98183,10.54782
113578,-12.458361,-80.918349,10.825024
113678,-12.777866,-80.874858,11.141721
113778,-13.134428,-80.858979,11.495647
113878,-13.512875,-80.871652,11.874288
113978,-13.892816,-80.903578,12.259898
114078,-14.244477,-80.945769,12.622004
114178,-14.561093,-80.991836,12.949647
114278,-14.848583,-81.038807,13.245055
114378,-15.121362,-81.08837,13.521812
114478,-15.422958,-81.147134,13.820159
114578,-15.759336,-81.211665,14.143511
114678,-16.127216,-81.280013,14.493331
114778,-16.523296,-81.357165,14.864378
114878,-16.924398,-81.439692,15.231538
114978,-17.323095,-81.530241,15.5948
115078,-17.701964,-81.622102,15.941577
115178,-18.036616,-81.700974,16.2538
115278,-18.323538,-81.761819,16.535854
115378,-18.568297,-81.808367,16.802414
115478,-18.836569,-81.856371,17.122296
115578,-19.190921,-81.923147,17.554143
115678,-19.674993,-82.017656,18.140322
115778,-20.308714,-82.141113,18.897585
115878,-21.064806,-82.28155,19.791064
115978,-21.881435,-82.416302,20.748676
116078,-22.631636,-82.51375,21.635168
116178,-23.241347,-82.564845,22.369755
116278,-23.710223,-82.581179,22.945156
116378,-24.096092,-82.582217,23.416779
116478,-24.426583,-82.582377,23.815135
116578,-24.721775,-82.586137,24.163826
116678,-24.98707,-82.597869,24.472729
116778,-25.228526,-82.617085,24.750998
116878,-25.433919,-82.645031,24.991547
116978,-25.588758,-82.678235,25.18462
117078,-25.697404,-82.715781,25.336252
117178,-25.755412,-82.75584,25.438803
117278,-25.787295,-82.802473,25.510596
117378,-25.826651,-82.853764,25.583435
117478,-25.891053,-82.906151,25.678055
117578,-26.009103,-82.959668,25.824293
117678,-26.187977,-83.013943,26.02622
117778,-26.413654,-83.071935,26.269301
