SampleTimeFine,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
108178,0.069135,-0.106102,-0.012213,-12.578278,-84.213164,12.516202
108278,0.062059,-0.096989,-0.007169,-12.612152,-84.268721,12.585861
108378,0.050518,-0.088976,-0.006178,-12.648514,-84.319671,12.651372
108478,0.035198,-0.087277,-0.006513,-12.689971,-84.369701,12.713181
108578,0.030871,-0.087124,-0.007674,-12.727436,-84.419773,12.768486
108678,0.024898,-0.08509,-0.004176,-12.786191,-84.468239,12.84174
108778,0.012369,-0.075195,0.002049,-12.87592,-84.510352,12.938895
108878,0.005467,-0.051631,0.009182,-12.980584,-84.538357,13.047079
108978,0.002721,-0.033364,0.023202,-13.144657,-84.554308,13.213359
109078,0.000505,-0.013735,0.030597,-13.32651,-84.558287,13.396227
109178,-0.013864,-4.40E-05,0.035392,-13.525018,-84.553943,13.587558
109278,-0.043413,0.002718,0.036049,-13.739336,-84.547911,13.777772
109378,-0.069778,0.005613,0.03442,-13.953928,-84.540422,13.953093
109478,-0.094257,0.010236,0.033558,-14.169516,-84.530413,14.115334
109578,-0.124942,0.017122,0.029744,-14.369109,-84.517055,14.243854
109678,-0.146707,0.020112,0.027324,-14.561477,-84.502338,14.352593
109778,-0.157568,0.020088,0.026705,-14.755408,-84.487685,14.456657
109878,-0.143231,0.008254,0.022921,-14.93651,-84.480105,14.556088
109978,-0.115296,-0.004501,0.017669,-15.090737,-84.480331,14.6446
110078,-0.083175,-0.010175,0.008881,-15.185111,-84.484983,14.691469
110178,-0.0514,0.006359,0.001981,-15.196281,-84.481508,14.673036
110278,-0.03689,0.046707,-0.001661,-15.116244,-84.456241,14.57132
110378,-0.044172,0.085959,-0.003261,-14.972891,-84.409451,14.401788
110478,-0.061756,0.104289,0.001238,-14.840524,-84.35179,14.233154
110578,-0.071837,0.108972,0.012889,-14.774939,-84.28978,14.12581
110678,-0.071395,0.103292,0.0244,-14.782346,-84.229211,14.092069
110778,-0.068191,0.093776,0.029257,-14.828181,-84.173188,14.098797
110878,-0.058581,0.084711,0.024047,-14.852984,-84.122938,14.08992
110978,-0.036695,0.091482,0.014042,-14.802348,-84.070389,14.017807
111078,-0.01341,0.1151,0.002614,-14.646537,-84.006385,13.853354
111178,-0.003979,0.157089,-0.006647,-14.384061,-83.920336,13.587054
111278,-0.010012,0.194658,-0.009255,-14.070507,-83.813632,13.26586
111378,-0.027709,0.216853,-0.016811,-13.712255,-83.695416,12.889436
111478,-0.047119,0.218767,-0.012683,-13.396704,-83.575339,12.544706
111578,-0.062003,0.21632,-0.006256,-13.135725,-83.455586,12.246238
111678,-0.065283,0.213108,-0.002712,-12.907129,-83.33701,11.97841
111778,-0.063501,0.21689,0.001025,-12.699817,-83.215703,11.732979
111878,-0.061374,0.230843,0.005717,-12.506736,-83.085875,11.503046
111978,-0.067967,0.259583,0.000925,-12.275201,-82.940417,11.230503
112078,-0.075189,0.295878,-0.00858,-11.981697,-82.775591,10.891247
112178,-0.091511,0.320954,-0.009888,-11.683532,-82.596621,10.537739
112278,-0.109078,0.330594,-0.010544,-11.399805,-82.412079,10.188499
112378,-0.11802,0.323127,-0.001825,-11.178254,-82.230551,9.896685
112478,-0.112633,0.313147,0.015249,-11.042114,-82.052629,9.694082
112578,-0.097403,0.285673,0.032959,-10.995728,-81.888177,9.590853
112678,-0.103369,0.256559,0.04275,-11.01568,-81.739043,9.551151
112778,-0.073998,0.232226,0.051369,-11.070417,-81.602665,9.563597
112878,-0.056109,0.200554,0.056608,-11.157186,-81.483522,9.618793
112978,-0.05452,0.170228,0.058506,-11.270741,-81.381211,9.702011
113078,-0.046835,0.138962,0.060615,-11.408742,-81.296215,9.814428
113178,-0.033254,0.122903,0.068363,-11.576981,-81.219322,9.96533
113278,-0.026063,0.126875,0.073801,-11.755296,-81.139519,10.130626
113378,-0.015515,0.127246,0.0807,-11.949185,-81.058634,10.317833
113478,-0.007219,0.11751,0.091432,-12.180541,-80.98183,10.54782
113578,-0.006999,0.091592,0.100064,-12.458361,-80.918349,10.825024
113678,-0.01176,0.054627,0.10394,-12.777866,-80.874858,11.141721
113778,-0.012319,0.004761,0.103739,-13.134428,-80.858979,11.495647
