SampleTimeFine,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
287089,-0.05716,0.022574,-0.01793,-19.519583,-77.046799,19.05913
287189,-0.066411,0.026731,-0.025965,-19.473472,-77.041729,18.963396
287289,-0.067426,0.018717,-0.025205,-19.431274,-77.041978,18.878681
287389,-0.066929,0.008645,-0.016006,-19.423226,-77.046315,18.820232
287489,-0.064453,-0.006722,-0.008314,-19.445043,-77.057961,18.792125
287589,-0.066438,-0.015541,-0.002377,-19.488302,-77.071769,18.787136
287689,-0.067818,-0.020712,-0.000734,-19.541692,-77.087778,18.788916
287789,-0.06478,-0.014173,-0.002284,-19.58317,-77.100584,18.773828
287889,-0.05715,0.002557,-0.006685,-19.594345,-77.106065,18.748418
287989,-0.051571,0.028114,-0.009453,-19.579915,-77.10074,18.691329
288089,-0.050561,0.044129,-0.011529,-19.545234,-77.08566,18.613541
288189,-0.053621,0.054286,-0.008317,-19.504588,-77.062012,18.540105
288289,-0.058493,0.054673,-0.000258,-19.48948,-77.039233,18.481487
288389,-0.06709,0.054687,-0.001421,-19.477359,-77.01937,18.436856
288489,-0.060236,0.04886,0.00121,-19.469005,-76.997526,18.382923
288589,-0.050892,0.037727,-0.000833,-19.460812,-76.984231,18.341717
288689,-0.037939,0.040688,-0.00274,-19.439272,-76.969486,18.294334
288789,-0.023514,0.05237,0.000384,-19.409052,-76.951997,18.257031
288889,-0.017538,0.04667,0.008364,-19.39739,-76.93381,18.232077
288989,-0.0131,0.027833,0.01537,-19.415542,-76.924032,18.249313
289089,-0.002895,-0.004081,0.018182,-19.460046,-76.930756,18.294277
289189,0.007353,-0.030905,0.013337,-19.509077,-76.955656,18.363336
289289,0.016471,-0.045419,0.000305,-19.535785,-76.989637,18.419728
289389,0.033769,-0.04522,-0.009045,-19.526007,-77.024437,18.455214
289489,0.055639,-0.031111,-0.015913,-19.477026,-77.053862,18.462322
289589,0.082075,-0.017375,-0.020419,-19.391128,-77.075852,18.444876
289689,0.10577,-0.005688,-0.023966,-19.270106,-77.091554,18.411685
289789,0.112263,0.005608,-0.027734,-19.130225,-77.104112,18.359368
289889,0.107902,0.004487,-0.024528,-18.996173,-77.11775,18.329401
289989,0.09727,-0.015779,-0.018786,-18.901832,-77.143001,18.327894
290089,0.093795,-0.034467,-0.015206,-18.834874,-77.176748,18.341134
290189,0.090937,-0.04773,-0.018118,-18.768558,-77.218061,18.361849
290289,0.087496,-0.042298,-0.021129,-18.690836,-77.257927,18.375083
290389,0.07916,-0.024309,-0.02759,-18.587143,-77.288073,18.359276
290489,0.073975,-0.009948,-0.029385,-18.466205,-77.310798,18.326215
