PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Roll,Pitch,Yaw
00771,177139,9.640773,-0.188992,2.036423,-0.006676,0.030431,0.016843,-0.533124,0.100161,-0.386757,-7.780825,-77.468725,7.597659
00772,177239,9.617804,-0.161703,2.005216,-0.012799,0.027655,0.013354,-0.532635,0.095171,-0.387011,-7.810479,-77.452665,7.620546
00773,177339,9.601582,-0.161631,1.992950,-0.019366,0.021872,0.009779,-0.532615,0.096215,-0.387960,-7.836717,-77.440173,7.636083
00774,177439,9.585669,-0.147913,2.018082,-0.020496,0.016854,0.008210,-0.533131,0.096673,-0.386935,-7.861293,-77.430657,7.649254
00775,177539,9.606635,-0.148516,2.058957,-0.021945,0.015927,0.004465,-0.534617,0.096223,-0.387461,-7.877427,-77.421963,7.652929
00776,177639,9.622094,-0.190343,2.042268,-0.022238,0.024063,0.002375,-0.534606,0.096745,-0.387935,-7.885519,-77.408821,7.648193
00777,177739,9.642225,-0.238738,2.023704,-0.013769,0.042641,0.003739,-0.534147,0.095645,-0.385987,-7.885690,-77.385035,7.640312
00778,177839,9.611016,-0.232200,2.054512,-0.006410,0.052981,0.004165,-0.532635,0.095171,-0.387011,-7.879114,-77.355351,7.629838
00779,177939,9.614658,-0.198393,1.996072,-0.006774,0.064268,0.003525,-0.534089,0.097284,-0.388909,-7.867219,-77.319321,7.613698
00780,178039,9.586276,-0.197583,1.904949,-0.017922,0.067687,0.004263,-0.533600,0.097252,-0.388409,-7.862440,-77.281309,7.598304
00781,178139,9.515087,-0.239895,2.001771,-0.027284,0.051601,0.003873,-0.534082,0.095814,-0.389485,-7.867665,-77.252465,7.587666
00782,178239,9.571079,-0.214378,2.103126,-0.043456,0.027628,0.009711,-0.532608,0.094745,-0.388536,-7.905071,-77.236770,7.600523
00783,178339,9.664770,-0.195393,2.108501,-0.048543,0.019698,0.011434,-0.533598,0.098248,-0.388359,-7.952382,-77.225439,7.620549
00784,178439,9.676686,-0.173960,2.028008,-0.044246,0.030637,0.009535,-0.532610,0.093749,-0.388587,-7.988563,-77.208060,7.631689
00785,178539,9.666603,-0.179491,1.974137,-0.047059,0.044803,0.007123,-0.530114,0.096699,-0.388434,-8.015278,-77.182848,7.631472
00786,178639,9.644040,-0.191742,2.008190,-0.052661,0.059429,0.003996,-0.531598,0.097245,-0.388908,-8.032216,-77.149599,7.617937
00787,178739,9.567996,-0.178574,2.044582,-0.058149,0.060877,0.002506,-0.532566,0.097332,-0.390408,-8.048055,-77.115657,7.600050
00788,178839,9.487688,-0.199961,1.989767,-0.066506,0.044430,0.000243,-0.533060,0.099832,-0.390281,-8.068822,-77.091239,7.582303
00789,178939,9.492674,-0.148601,2.022249,-0.070845,0.018571,0.000255,-0.531606,0.098217,-0.388358,-8.101126,-77.081500,7.573845
00790,179039,9.556474,-0.117940,2.096722,-0.069373,-0.005322,0.001248,-0.532069,0.096826,-0.390434,-8.143394,-77.085238,7.576477
00791,179139,9.637659,-0.094303,2.122957,-0.063549,-0.018413,-0.000467,-0.534575,0.098811,-0.389333,-8.182676,-77.096543,7.579471
00792,179239,9.688733,-0.155117,2.188113,-0.058242,-0.013526,-0.005976,-0.530110,0.099190,-0.388307,-8.203513,-77.105526,7.566664
00793,179339,9.678422,-0.226006,2.187769,-0.060980,0.006063,-0.014819,-0.532611,0.098208,-0.387858,-8.197002,-77.104120,7.524194
00794,179439,9.645799,-0.359866,2.180870,-0.065799,0.030547,-0.018030,-0.531122,0.100652,-0.387231,-8.176643,-77.089084,7.464681
00795,179539,9.610495,-0.415201,2.168268,-0.070912,0.053792,-0.018068,-0.531600,0.101704,-0.388180,-8.151057,-77.060859,7.396791
00796,179639,9.523782,-0.426231,2.138808,-0.077366,0.066718,-0.014152,-0.529611,0.099680,-0.388281,-8.134534,-77.024976,7.334398
00797,179739,9.497082,-0.361396,2.098716,-0.081193,0.063105,-0.009870,-0.528564,0.101777,-0.390678,-8.132230,-76.990794,7.284336
00798,179839,9.513096,-0.276425,2.137327,-0.080128,0.049309,-0.004525,-0.529083,0.100242,-0.389755,-8.147363,-76.964005,7.252791
00799,179939,9.534624,-0.204916,2.150679,-0.080111,0.037361,0.000724,-0.529590,0.100724,-0.389230,-8.179513,-76.943568,7.238723
00800,180039,9.597469,-0.158179,2.186453,-0.080214,0.028131,0.002228,-0.525075,0.102719,-0.390626,-8.218566,-76.928244,7.231683
00801,180139,9.647455,-0.214080,2.212974,-0.068461,0.032836,-0.001645,-0.526114,0.100147,-0.388754,-8.239718,-76.910568,7.213177
00802,180239,9.639928,-0.294019,2.276900,-0.050884,0.036357,-0.004067,-0.528566,0.100781,-0.390729,-8.243664,-76.891087,7.187346
00803,180339,9.635615,-0.379712,2.260582,-0.027975,0.047962,-0.009146,-0.526544,0.101818,-0.392177,-8.218138,-76.865434,7.144726
00804,180439,9.611470,-0.469138,2.262560,-0.013820,0.056188,-0.014260,-0.526074,0.101738,-0.390678,-8.169440,-76.835519,7.086630
00805,180539,9.567986,-0.503271,2.245856,-0.008807,0.071610,-0.012798,-0.524557,0.098797,-0.392329,-8.116411,-76.796719,7.027025
00806,180639,9.503733,-0.413746,2.177606,-0.008347,0.077078,-0.010047,-0.524089,0.102679,-0.390126,-8.068262,-76.754581,6.972693
00807,180739,9.455024,-0.282297,2.104766,-0.009217,0.058285,-0.006773,-0.527051,0.101802,-0.391677,-8.035177,-76.722838,6.933317
00808,180839,9.493489,-0.265047,2.152335,-0.013164,0.035769,-0.007446,-0.526554,0.101296,-0.391703,-8.010505,-76.703921,6.900258
00809,180939,9.526609,-0.276972,2.220287,-0.014653,0.019231,-0.007016,-0.522608,0.100140,-0.389753,-7.993362,-76.694349,6.874056
00810,181039,9.554650,-0.319880,2.246588,-0.014229,0.011193,-0.008592,-0.526546,0.100323,-0.392253,-7.974940,-76.689457,6.846789
00811,181139,9.528932,-0.327271,2.328945,-0.001965,0.009092,-0.011878,-0.524068,0.098765,-0.391829,-7.942346,-76.686004,6.812177
00812,181239,9.518667,-0.272477,2.373303,0.019233,0.014123,-0.010596,-0.526110,0.102140,-0.388653,-7.899013,-76.679575,6.779011
00813,181339,9.518105,-0.269973,2.349125,0.039321,0.021529,-0.010728,-0.525562,0.098789,-0.391829,-7.841440,-76.668935,6.743038
00814,181439,9.544049,-0.238923,2.343165,0.047678,0.026383,-0.007958,-0.526565,0.100275,-0.391254,-7.784177,-76.655305,6.712303
00815,181539,9.601516,-0.256984,2.299387,0.038728,0.032617,-0.004295,-0.526567,0.099279,-0.391304,-7.738851,-76.637841,6.688565
00816,181639,9.598914,-0.283722,2.261251,0.017053,0.040837,0.000113,-0.524069,0.098267,-0.391854,-7.713891,-76.615365,6.672995
00817,181739,9.671255,-0.130856,2.185260,-0.001857,0.043993,0.000199,-0.525570,0.099761,-0.391279,-7.698968,-76.591096,6.656604
00818,181839,9.453056,-0.468710,2.240651,-0.000207,0.034303,0.004941,-0.525122,0.097640,-0.388881,-7.697614,-76.571959,6.655131
00819,181939,9.479085,-0.313550,2.230248,-0.020067,0.031913,0.006724,-0.524060,0.097793,-0.392380,-7.712655,-76.554040,6.658814
00820,182039,9.490529,-0.185640,2.212658,-0.000304,0.021536,0.003468,-0.523581,0.097737,-0.391380,-7.711935,-76.542265,6.657936
00821,182139,9.542983,-0.186383,2.304236,0.024183,0.023089,-0.002924,-0.527573,0.098772,-0.390831,-7.681510,-76.530094,6.640942
00822,182239,9.611962,-0.181088,2.341224,0.040074,0.033248,-0.006048,-0.523571,0.097761,-0.391880,-7.631362,-76.512384,6.613030
00823,182339,9.637780,-0.263788,2.397604,0.044250,0.046297,-0.010244,-0.525569,0.094803,-0.392032,-7.564891,-76.487564,6.570789
00824,182439,9.642132,-0.375320,2.368381,0.046176,0.060319,-0.013002,-0.524592,0.094739,-0.391033,-7.486689,-76.454965,6.517611
00825,182539,9.618888,-0.434685,2.369748,0.043541,0.070112,-0.010604,-0.528100,0.093251,-0.390110,-7.413002,-76.416598,6.467514
00826,182639,9.545937,-0.420124,2.353615,0.041201,0.078745,-0.007937,-0.530083,0.093307,-0.390611,-7.344694,-76.373107,6.421561
00827,182739,9.461018,-0.370653,2.321223,0.042538,0.077523,-0.000755,-0.527575,0.092319,-0.391660,-7.293168,-76.329767,6.393655
00828,182839,9.448899,-0.212572,2.301922,0.046603,0.071047,0.004106,-0.527066,0.093332,-0.392109,-7.252794,-76.289748,6.379621
00829,182939,9.492578,-0.091636,2.334750,0.046546,0.068113,0.006029,-0.529560,0.091877,-0.392186,-7.217883,-76.251252,6.371178
00830,183039,9.539804,-0.006192,2.331729,0.042988,0.069856,0.003971,-0.527562,0.089378,-0.392812,-7.179760,-76.211912,6.357333
00831,183139,9.602426,-0.033118,2.321236,0.036505,0.082405,0.000158,-0.527022,0.091958,-0.394685,-7.132975,-76.165710,6.330745
00832,183239,9.597761,-0.156701,2.341906,0.024859,0.094560,-0.005114,-0.528537,0.090937,-0.393736,-7.077454,-76.112965,6.288283
00833,183339,9.520110,-0.262402,2.349495,0.015140,0.095345,-0.005057,-0.527081,0.090319,-0.391762,-7.027772,-76.059758,6.246089
00834,183439,9.452859,-0.360192,2.346543,0.011360,0.080731,-0.007499,-0.529019,0.089498,-0.394812,-6.979145,-76.015019,6.202740
00835,183539,9.474537,-0.337707,2.339430,0.019817,0.068388,-0.005692,-0.529555,0.089410,-0.392813,-6.933534,-75.977164,6.167485
00836,183639,9.530895,-0.235807,2.402655,0.040529,0.055740,-0.000195,-0.529010,0.089522,-0.395312,-6.892244,-75.946112,6.148912
00837,183739,9.578485,-0.166503,2.374042,0.061381,0.058935,-0.002278,-0.530486,0.089594,-0.396312,-6.833529,-75.913382,6.124692
00838,183839,9.609678,-0.123268,2.333614,0.069846,0.067627,-0.006642,-0.528516,0.087023,-0.395439,-6.757912,-75.876001,6.088043
00839,183939,9.549124,-0.224248,2.301583,0.061247,0.067913,-0.011645,-0.528519,0.085529,-0.395515,-6.676146,-75.838785,6.039967
00840,184039,9.490154,-0.298607,2.358388,0.041599,0.048026,-0.010159,-0.528525,0.087497,-0.394913,-6.614521,-75.812774,6.001046
00841,184139,9.509757,-0.339681,2.378947,0.016701,0.034509,-0.001220,-0.529483,0.088108,-0.396888,-6.590965,-75.793858,5.986674
