PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Roll,Pitch,Yaw
01782,287089,9.577487,-0.616633,2.148323,-0.057160,0.022574,-0.017930,-0.503647,0.123730,-0.388028,-19.519583,-77.046799,19.059130
01783,287189,9.475635,-0.640168,2.060496,-0.066411,0.026731,-0.025965,-0.500172,0.122156,-0.387603,-19.473472,-77.041729,18.963396
01784,287289,9.460225,-0.651294,1.999937,-0.067426,0.018717,-0.025205,-0.503626,0.119817,-0.389731,-19.431274,-77.041978,18.878681
01785,287389,9.513967,-0.570891,2.055245,-0.066929,0.008645,-0.016006,-0.503640,0.122260,-0.388604,-19.423226,-77.046315,18.820232
01786,287489,9.574725,-0.526878,2.055642,-0.064453,-0.006722,-0.008314,-0.504635,0.122774,-0.388579,-19.445043,-77.057961,18.792125
01787,287589,9.622066,-0.514574,2.123665,-0.066438,-0.015541,-0.002377,-0.502154,0.122710,-0.388078,-19.488302,-77.071769,18.787136
01788,287689,9.650942,-0.547867,2.192713,-0.067818,-0.020712,-0.000734,-0.501663,0.123675,-0.387527,-19.541692,-77.087778,18.788916
01789,287789,9.629982,-0.608108,2.244577,-0.064780,-0.014173,-0.002284,-0.503627,0.124277,-0.389002,-19.583170,-77.100584,18.773828
01790,287889,9.621792,-0.660102,2.267748,-0.057150,0.002557,-0.006685,-0.503160,0.122204,-0.387604,-19.594345,-77.106065,18.748418
01791,287989,9.572844,-0.650656,2.263633,-0.051571,0.028114,-0.009453,-0.506163,0.124694,-0.386479,-19.579915,-77.100740,18.691329
01792,288089,9.530067,-0.618326,2.217612,-0.050561,0.044129,-0.011529,-0.504162,0.124686,-0.386978,-19.545234,-77.085660,18.613541
01793,288189,9.579756,-0.576214,2.190723,-0.053621,0.054286,-0.008317,-0.501150,0.121722,-0.388629,-19.504588,-77.062012,18.540105
01794,288289,9.587128,-0.541144,2.200831,-0.058493,0.054673,-0.000258,-0.505131,0.123778,-0.388528,-19.489480,-77.039233,18.481487
