PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Roll,Pitch,Yaw
00959,213949,9.503718,-0.652590,2.483729,0.006079,0.046811,-0.010530,-0.442353,0.124613,-0.415973,-19.068245,-75.615603,18.511799
00960,214049,9.554133,-0.575964,2.366179,0.010773,0.061362,-0.008845,-0.443379,0.124058,-0.414499,-18.985660,-75.594953,18.430984
00961,214149,9.493798,-0.582113,2.395855,0.006024,0.060869,-0.008734,-0.444835,0.124676,-0.416473,-18.907873,-75.573710,18.352796
00962,214249,9.454327,-0.667447,2.470776,-0.012216,0.038998,-0.011889,-0.443860,0.123118,-0.415550,-18.848908,-75.564082,18.283812
00963,214349,9.495812,-0.804423,2.531764,-0.027020,0.021313,-0.013629,-0.443327,0.121711,-0.417625,-18.806189,-75.562506,18.224550
00964,214449,9.530745,-0.943203,2.520545,-0.025506,0.032336,-0.011341,-0.442377,0.122073,-0.415100,-18.763556,-75.553806,18.164711
00965,214549,9.457506,-0.987927,2.429042,-0.008217,0.046935,-0.017775,-0.443829,0.124685,-0.416973,-18.691982,-75.536987,18.084537
00966,214649,9.338557,-0.952698,2.371150,0.001022,0.051457,-0.017704,-0.443835,0.121695,-0.417125,-18.610261,-75.516893,18.000530
00967,214749,9.325539,-0.837496,2.489394,0.011990,0.042777,-0.012847,-0.447345,0.118713,-0.416279,-18.538172,-75.500698,17.933181
00968,214849,9.364847,-0.678860,2.559085,0.029440,0.025647,-0.009926,-0.442856,0.122129,-0.416100,-18.479876,-75.491266,17.889136
00969,214949,9.483259,-0.573005,2.563666,0.039871,0.006351,-0.007159,-0.444834,0.119718,-0.417227,-18.434055,-75.491531,17.864803
00970,215049,9.577155,-0.585150,2.574783,0.044602,-0.009460,-0.009318,-0.443855,0.120651,-0.416177,-18.393732,-75.500328,17.848443
00971,215149,9.642048,-0.655216,2.618774,0.046839,-0.007725,-0.016710,-0.446385,0.119597,-0.414229,-18.335475,-75.509610,17.814753
00972,215249,9.606401,-0.862366,2.696388,0.043566,0.009347,-0.027239,-0.445889,0.118593,-0.414279,-18.245115,-75.511170,17.746114
00973,215349,9.494105,-1.005274,2.684508,0.035178,0.038301,-0.035140,-0.446375,0.119621,-0.414729,-18.123449,-75.498185,17.640134
00974,215449,9.385242,-0.965894,2.660253,0.027509,0.057665,-0.033092,-0.445914,0.120015,-0.412704,-17.997669,-75.474191,17.525300
00975,215549,9.338508,-0.800970,2.601587,0.022130,0.069829,-0.029515,-0.447375,0.117645,-0.414830,-17.874234,-75.442813,17.409855
00976,215649,9.332770,-0.631974,2.549024,0.015695,0.070106,-0.026039,-0.445881,0.117621,-0.414830,-17.762215,-75.410557,17.302359
00977,215749,9.405928,-0.485671,2.472994,0.009825,0.062040,-0.020849,-0.445870,0.118641,-0.415279,-17.670342,-75.381741,17.212173
00978,215849,9.435903,-0.449139,2.462424,0.000284,0.051936,-0.016220,-0.445409,0.118537,-0.413280,-17.600607,-75.357633,17.139179
00979,215949,9.470669,-0.536428,2.486340,-0.014960,0.046989,-0.016925,-0.445414,0.115548,-0.413432,-17.541390,-75.336330,17.068049
00980,216049,9.456844,-0.729495,2.645370,-0.016274,0.045300,-0.022197,-0.447385,0.117122,-0.414356,-17.473362,-75.316827,16.987016
00981,216149,9.455198,-0.950786,2.778385,-0.003942,0.044977,-0.026071,-0.446898,0.116094,-0.413907,-17.390608,-75.298116,16.898061
00982,216249,9.399958,-1.121386,2.841527,0.009453,0.049363,-0.027530,-0.446897,0.117090,-0.413856,-17.294654,-75.277192,16.803388
00983,216349,9.326161,-1.124247,2.762312,0.026680,0.050985,-0.023501,-0.446383,0.115137,-0.414957,-17.196432,-75.254630,16.716585
00984,216449,9.214185,-0.965699,2.641529,0.041397,0.045606,-0.019397,-0.447898,0.114117,-0.414009,-17.102098,-75.234289,16.642507
00985,216549,9.173964,-0.784924,2.550998,0.045573,0.031638,-0.015860,-0.448930,0.115032,-0.411959,-17.021907,-75.220974,16.585514
00986,216649,9.168710,-0.659086,2.518378,0.049315,0.012140,-0.016059,-0.447433,0.116005,-0.411908,-16.951622,-75.218333,16.540989
00987,216749,9.254762,-0.603497,2.569600,0.053042,-0.009997,-0.021460,-0.445424,0.115025,-0.412958,-16.881895,-75.228701,16.499257
00988,216849,9.348049,-0.631191,2.636765,0.054398,-0.021951,-0.024030,-0.446428,0.116013,-0.412407,-16.813500,-75.246045,16.459697
00989,216949,9.398347,-0.706962,2.648566,0.052041,-0.028821,-0.028522,-0.446444,0.112502,-0.412085,-16.741188,-75.267886,16.414698
00990,217049,9.381153,-0.762593,2.627358,0.049384,-0.028102,-0.030273,-0.446423,0.113546,-0.413034,-16.666183,-75.289590,16.365343
00991,217149,9.339271,-0.786777,2.576255,0.044748,-0.034050,-0.025779,-0.448456,0.111987,-0.411112,-16.606782,-75.313820,16.329374
00992,217249,9.343230,-0.735504,2.541376,0.041319,-0.044973,-0.019363,-0.446006,0.109858,-0.409213,-16.569480,-75.342978,16.314223
00993,217349,9.350692,-0.650628,2.494676,0.038563,-0.059791,-0.019386,-0.444977,0.107448,-0.411339,-16.542843,-75.380265,16.308473
00994,217449,9.335961,-0.584433,2.471689,0.038823,-0.073867,-0.020531,-0.444494,0.108886,-0.410263,-16.522427,-75.425475,16.309292
00995,217549,9.318589,-0.483943,2.499710,0.040345,-0.089379,-0.022407,-0.449942,0.111038,-0.411663,-16.506823,-75.479522,16.315977
00996,217649,9.313427,-0.408794,2.509017,0.040698,-0.104822,-0.022649,-0.446500,0.111859,-0.409112,-16.500154,-75.542084,16.332090
00997,217749,9.353621,-0.370887,2.517265,0.037093,-0.114152,-0.021683,-0.442535,0.111249,-0.408137,-16.503483,-75.609607,16.356385
00998,217849,9.391327,-0.398709,2.555458,0.028688,-0.124280,-0.015896,-0.445507,0.110348,-0.409188,-16.530596,-75.681761,16.400245
00999,217949,9.453645,-0.418097,2.571416,0.023132,-0.130669,-0.011735,-0.443507,0.114303,-0.408984,-16.574401,-75.756720,16.458020
01000,218049,9.488114,-0.432191,2.502195,0.014629,-0.132640,-0.006742,-0.443031,0.112254,-0.408086,-16.635614,-75.831941,16.528702
