PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Roll,Pitch,Yaw
00725,140819,9.576047,-0.484211,1.950264,-0.034449,-0.081425,-0.016348,-0.444548,0.106461,-0.380826,-15.619913,-77.444548,15.264001
00726,140919,9.589928,-0.572062,2.073972,-0.031229,-0.103838,-0.018556,-0.448984,0.106653,-0.383326,-15.661167,-77.506054,15.288499
00727,141019,9.613513,-0.629624,2.130172,-0.037068,-0.123121,-0.017728,-0.448044,0.105994,-0.380352,-15.721762,-77.578054,15.329371
00728,141119,9.640624,-0.649479,2.121178,-0.036411,-0.128070,-0.016616,-0.447075,0.106902,-0.378802,-15.788922,-77.652592,15.377333
00729,141219,9.675829,-0.581408,2.137389,-0.033050,-0.118725,-0.015432,-0.450562,0.106958,-0.378803,-15.851126,-77.721773,15.422182
00730,141319,9.713413,-0.442845,2.097862,-0.026851,-0.108394,-0.014016,-0.449550,0.104997,-0.379904,-15.906433,-77.785026,15.463598
00731,141419,9.722427,-0.369259,2.040690,-0.019123,-0.098239,-0.016606,-0.452106,0.104370,-0.376431,-15.943682,-77.843087,15.491065
00732,141519,9.758921,-0.379364,2.039190,-0.014096,-0.086391,-0.022643,-0.449626,0.103808,-0.375956,-15.954066,-77.895571,15.493996
00733,141619,9.739337,-0.492453,2.012002,-0.019184,-0.064150,-0.029564,-0.453143,0.102795,-0.374509,-15.933173,-77.936893,15.461960
00734,141719,9.663503,-0.625510,1.965651,-0.028657,-0.049037,-0.033810,-0.453635,0.105792,-0.374357,-15.895458,-77.970551,15.407177
00735,141819,9.587875,-0.688345,1.981396,-0.035607,-0.046170,-0.039187,-0.452626,0.102835,-0.375508,-15.845478,-78.003458,15.335785
00736,141919,9.522595,-0.686053,1.989673,-0.035910,-0.048651,-0.038237,-0.456155,0.105261,-0.372883,-15.799698,-78.037565,15.268516
00737,142019,9.503523,-0.669226,2.007949,-0.030382,-0.054952,-0.037101,-0.454663,0.103743,-0.372959,-15.758079,-78.074949,15.208742
00738,142119,9.478587,-0.633182,2.025953,-0.023740,-0.057457,-0.034229,-0.455663,0.101765,-0.373061,-15.721738,-78.113249,15.158258
00739,142219,9.477434,-0.581065,2.024056,-0.021385,-0.057535,-0.028272,-0.453134,0.102819,-0.375008,-15.699500,-78.150653,15.123570
00740,142319,9.534269,-0.565058,2.002910,-0.014137,-0.052358,-0.025108,-0.456627,0.099386,-0.375187,-15.677450,-78.184701,15.093320
00741,142419,9.582108,-0.616487,2.002968,-0.012477,-0.044457,-0.021604,-0.452703,0.101148,-0.371586,-15.657741,-78.213838,15.066435
00742,142519,9.583137,-0.648137,2.026016,-0.009047,-0.034954,-0.020539,-0.453707,0.102136,-0.371036,-15.631770,-78.237555,15.035162
00743,142619,9.587011,-0.623995,1.998662,-0.006591,-0.023831,-0.018277,-0.452698,0.099179,-0.372187,-15.602072,-78.254773,15.001520
00744,142719,9.577999,-0.548343,1.944191,-0.009598,-0.014997,-0.013322,-0.452214,0.101116,-0.371086,-15.580645,-78.266348,14.974565
00745,142819,9.600792,-0.463648,1.955596,-0.015789,-0.015548,-0.010632,-0.452186,0.101188,-0.372586,-15.570259,-78.277812,14.955267
00746,142919,9.630180,-0.429459,1.949983,-0.022187,-0.033313,-0.007067,-0.451671,0.100232,-0.373636,-15.586155,-78.298532,14.959070
00747,143019,9.647596,-0.492731,2.000174,-0.029896,-0.045859,-0.007377,-0.452656,0.101766,-0.374059,-15.615016,-78.326217,14.971600
00748,143119,9.659075,-0.535974,2.076753,-0.031294,-0.045995,-0.012589,-0.452187,0.100690,-0.372611,-15.630918,-78.354769,14.970081
00749,143219,9.634516,-0.586245,2.073023,-0.028287,-0.033347,-0.017516,-0.450220,0.102080,-0.371035,-15.622429,-78.377088,14.945418
00750,143319,9.562055,-0.549239,1.981891,-0.014997,-0.024668,-0.018809,-0.452710,0.102618,-0.371010,-15.596279,-78.394808,14.910500
00751,143419,9.504026,-0.518431,1.854774,-0.005391,-0.022991,-0.016324,-0.449216,0.101092,-0.371585,-15.569969,-78.411220,14.881037
00752,143519,9.524431,-0.486726,1.796327,-0.000468,-0.038937,-0.018853,-0.449206,0.101614,-0.372059,-15.545902,-78.436828,14.856746
00753,143619,9.570680,-0.521124,1.900644,0.000677,-0.050335,-0.021153,-0.452221,0.102586,-0.370510,-15.523421,-78.469078,14.834744
00754,143719,9.594494,-0.595340,1.994964,0.002184,-0.051273,-0.024207,-0.448743,0.103005,-0.369984,-15.492396,-78.502301,14.804906
00755,143819,9.612322,-0.632338,2.071674,-0.006877,-0.041690,-0.021731,-0.449222,0.103061,-0.370984,-15.465952,-78.529834,14.774446
00756,143919,9.599841,-0.596442,2.088759,-0.012982,-0.026065,-0.018807,-0.446248,0.100000,-0.370635,-15.439098,-78.548270,14.740000
00757,144019,9.595621,-0.550954,2.046947,-0.014465,-0.014725,-0.014545,-0.448780,0.102909,-0.367985,-15.416106,-78.559778,14.708629
00758,144119,9.544365,-0.552237,1.962910,-0.019386,-0.007417,-0.016099,-0.447820,0.103295,-0.365959,-15.386152,-78.567473,14.667279
00759,144219,9.523888,-0.618927,1.917579,-0.020258,-0.010276,-0.014880,-0.448295,0.100884,-0.367586,-15.362175,-78.576552,14.631516
00760,144319,9.506170,-0.677288,1.935128,-0.016499,-0.011911,-0.012879,-0.450764,0.102466,-0.368510,-15.342773,-78.586219,14.602615
00761,144419,9.497614,-0.655174,1.980888,-0.008891,-0.009943,-0.010395,-0.447797,0.100378,-0.367611,-15.324352,-78.594407,14.579160
00762,144519,9.538302,-0.543461,1.997747,-0.003196,-0.013391,-0.006592,-0.448776,0.099943,-0.368637,-15.315656,-78.603912,14.568956
00763,144619,9.572260,-0.431629,2.001476,-0.007661,-0.018343,-0.007916,-0.449331,0.099308,-0.365664,-15.309550,-78.616346,14.558786
00764,144719,9.652865,-0.371672,2.031164,-0.019449,-0.012487,-0.008884,-0.450805,0.100377,-0.366613,-15.303056,-78.625681,14.541333
00765,144819,9.683584,-0.397896,1.979358,-0.023514,0.009979,-0.006910,-0.449314,0.098360,-0.366714,-15.287368,-78.622296,14.512131
00766,144919,9.593376,-0.470508,1.880710,-0.026567,0.039925,-0.008416,-0.449310,0.100353,-0.366612,-15.246900,-78.602584,14.455864
00767,145019,9.510049,-0.544652,1.757812,-0.032282,0.048335,-0.007903,-0.450862,0.099236,-0.363665,-15.205054,-78.578147,14.394846
00768,145119,9.465451,-0.614109,1.837324,-0.032973,0.038510,-0.006856,-0.452293,0.098432,-0.367215,-15.174013,-78.558975,14.344441
00769,145219,9.436357,-0.683083,2.021289,-0.034783,0.009470,-0.005383,-0.453312,0.096406,-0.366317,-15.169689,-78.555622,14.320232
00770,145319,9.571747,-0.637394,2.095856,-0.024446,-0.016405,0.002119,-0.449836,0.100787,-0.365088,-15.199172,-78.565431,14.336551
00771,145419,9.655957,-0.517513,2.068690,-0.005234,-0.004338,0.008546,-0.450323,0.096359,-0.366316,-15.226251,-78.567587,14.361656
00772,145519,9.653038,-0.421669,1.896806,0.007130,0.012307,0.012187,-0.449832,0.097324,-0.365765,-15.243784,-78.559995,14.384246
00773,145619,9.687038,-0.402031,1.885266,0.005072,0.019373,0.014851,-0.448822,0.099823,-0.366138,-15.264442,-78.548097,14.408824
00774,145719,9.675388,-0.379183,1.952666,-0.001554,0.025555,0.017217,-0.446817,0.096850,-0.367289,-15.290620,-78.532423,14.435168
00775,145819,9.630035,-0.387739,1.959503,-0.009334,0.025630,0.015786,-0.448791,0.101888,-0.367535,-15.317202,-78.516921,14.457374
00776,145919,9.523648,-0.411947,1.866974,-0.014822,0.014069,0.014402,-0.447299,0.100868,-0.367586,-15.351671,-78.508017,14.484427
00777,146019,9.486628,-0.362027,1.844040,-0.016730,-0.000039,0.009693,-0.451273,0.101454,-0.368061,-15.384890,-78.507628,14.509092
00778,146119,9.513518,-0.301050,1.799546,-0.016687,-0.014418,0.005084,-0.449269,0.102941,-0.368484,-15.416264,-78.515887,14.531900
00779,146219,9.593549,-0.226254,1.795459,-0.020202,-0.024249,0.000948,-0.447789,0.104862,-0.367383,-15.445731,-78.530220,14.550710
00780,146319,9.648379,-0.258703,1.857538,-0.028130,-0.027016,-0.005778,-0.448754,0.107441,-0.368755,-15.463465,-78.547115,14.552917
00781,146419,9.686762,-0.364560,1.933898,-0.028956,-0.021530,-0.013032,-0.451245,0.106982,-0.368781,-15.457688,-78.562092,14.530660
00782,146519,9.711971,-0.536999,2.006477,-0.030612,-0.012680,-0.017806,-0.450759,0.110414,-0.367604,-15.433120,-78.572899,14.488259
00783,146619,9.650886,-0.663786,1.991662,-0.028891,-0.000191,-0.020798,-0.449226,0.111483,-0.369552,-15.389966,-78.577245,14.427903
00784,146719,9.554427,-0.734667,1.873963,-0.026430,0.007123,-0.022693,-0.449188,0.112077,-0.371526,-15.334793,-78.577824,14.356722
00785,146819,9.468729,-0.740398,1.752734,-0.027506,-0.003510,-0.020816,-0.452203,0.112551,-0.370002,-15.293435,-78.583991,14.298998
00786,146919,9.477133,-0.663390,1.746207,-0.025395,-0.023517,-0.015452,-0.454685,0.112116,-0.370528,-15.280549,-78.600402,14.271554
00787,147019,9.548519,-0.599085,1.807844,-0.020225,-0.045812,-0.008352,-0.452189,0.115066,-0.370375,-15.300930,-78.628064,14.281062
00788,147119,9.644346,-0.482097,1.892822,-0.013834,-0.055700,-0.005387,-0.453680,0.112124,-0.371027,-15.333324,-78.660742,14.306563
00789,147219,9.674727,-0.382406,1.962106,-0.014658,-0.057601,-0.006160,-0.453711,0.115516,-0.368850,-15.365630,-78.694582,14.331486
00790,147319,9.693750,-0.394792,1.915992,-0.018116,-0.042789,-0.010695,-0.452638,0.117187,-0.372772,-15.376179,-78.720922,14.332205
00791,147419,9.669794,-0.431047,1.891336,-0.026875,-0.029564,-0.011840,-0.453103,0.120257,-0.374119,-15.378482,-78.740133,14.319397
00792,147519,9.598011,-0.470110,1.823317,-0.035110,-0.017181,-0.014568,-0.454130,0.118207,-0.372722,-15.368436,-78.752921,14.289193
00793,147619,9.528528,-0.481102,1.738793,-0.038225,-0.014944,-0.017052,-0.452691,0.118537,-0.369697,-15.351532,-78.764857,14.250174
00794,147719,9.542170,-0.491151,1.733272,-0.038967,-0.028009,-0.014010,-0.454119,0.119228,-0.373171,-15.353457,-78.783557,14.229921
00795,147819,9.578484,-0.481066,1.763133,-0.038652,-0.045782,-0.010421,-0.448119,0.121174,-0.374067,-15.378834,-78.811537,14.233759
00796,147919,9.618869,-0.483702,1.792169,-0.033821,-0.057647,-0.008937,-0.455074,0.121831,-0.375043,-15.414820,-78.845854,14.251232
00797,148019,9.664113,-0.487242,1.863844,-0.032030,-0.062266,-0.006590,-0.451107,0.122218,-0.374017,-15.460124,-78.882358,14.279246
00798,148119,9.674154,-0.535589,1.930144,-0.028738,-0.055417,-0.006364,-0.451061,0.126799,-0.375788,-15.499078,-78.915034,14.302706
00799,148219,9.660306,-0.595601,1.925010,-0.024823,-0.044987,-0.009247,-0.453061,0.128301,-0.375212,-15.519671,-78.942382,14.309739
00800,148319,9.603802,-0.610044,1.845142,-0.019877,-0.031703,-0.010854,-0.450569,0.128759,-0.375186,-15.522546,-78.962639,14.301603
00801,148419,9.556008,-0.589880,1.817731,-0.015598,-0.024645,-0.009030,-0.447536,0.127836,-0.377735,-15.522613,-78.978716,14.293105
00802,148519,9.517130,-0.509582,1.791534,-0.016122,-0.031518,-0.004705,-0.450997,0.131925,-0.378532,-15.540689,-78.997925,14.302645
00803,148619,9.561559,-0.400214,1.786427,-0.023569,-0.042943,-0.002818,-0.449538,0.132802,-0.376482,-15.577469,-79.023153,14.326894
00804,148719,9.640120,-0.351316,1.824880,-0.029097,-0.052720,-0.000066,-0.451025,0.131355,-0.377059,-15.633144,-79.053350,14.367163
00805,148819,9.710553,-0.328153,1.851312,-0.032252,-0.058629,-0.000997,-0.445067,0.131212,-0.376057,-15.692904,-79.086945,14.409750
00806,148919,9.759341,-0.389941,1.888809,-0.033648,-0.059174,-0.002571,-0.449510,0.132874,-0.377981,-15.749654,-79.121075,14.448455
00807,149019,9.795675,-0.453026,1.916924,-0.024863,-0.051368,-0.010085,-0.448508,0.136346,-0.377803,-15.773665,-79.152058,14.458946
00808,149119,9.704889,-0.576397,1.852309,-0.015955,-0.036781,-0.014418,-0.447520,0.136306,-0.377303,-15.768307,-79.175667,14.444729
00809,149219,9.589688,-0.691699,1.788699,-0.003621,-0.023612,-0.020967,-0.447498,0.138347,-0.378201,-15.726273,-79.193025,14.400363
00810,149319,9.491147,-0.786264,1.760265,0.003755,-0.021600,-0.020251,-0.450016,0.138812,-0.376677,-15.680439,-79.209151,14.356428
00811,149419,9.462943,-0.819590,1.738687,0.009152,-0.025827,-0.015538,-0.448471,0.141400,-0.379049,-15.648627,-79.226866,14.329910
00812,149519,9.487111,-0.746714,1.759403,0.015326,-0.037037,-0.008744,-0.449484,0.142364,-0.377999,-15.642147,-79.249709,14.332776
00813,149619,9.510323,-0.592078,1.774287,0.018095,-0.046889,0.002907,-0.446409,0.144028,-0.382420,-15.676096,-79.276181,14.378403
00814,149719,9.595924,-0.431206,1.825358,0.017826,-0.053445,0.008416,-0.447889,0.146568,-0.382793,-15.731842,-79.305405,14.446054
00815,149819,9.691530,-0.287989,1.854049,0.013758,-0.048903,0.009221,-0.445415,0.147476,-0.381742,-15.788760,-79.331985,14.512523
00816,149919,9.810373,-0.242921,1.827285,0.005926,-0.039331,0.009052,-0.446902,0.146528,-0.382293,-15.841900,-79.353307,14.570581
00817,150019,9.860339,-0.255177,1.781472,-0.008339,-0.034556,0.006310,-0.446857,0.151108,-0.384063,-15.891297,-79.372423,14.616515
00818,150119,9.825583,-0.331666,1.820988,-0.020516,-0.026350,0.003638,-0.443850,0.151109,-0.385062,-15.933024,-79.387433,14.647548
