PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Roll,Pitch,Yaw
00730,134859,9.603356,-0.657285,1.844062,-0.007239,-0.007549,0.003589,-0.483707,0.006183,-0.298300,-22.518594,-77.914159,22.067848
00731,134959,9.612556,-0.745881,1.824125,0.001560,-0.002313,-0.002679,-0.484741,0.006102,-0.296301,-22.510351,-77.916973,22.060810
00732,135059,9.588698,-0.812984,1.796425,0.009555,0.004680,-0.005411,-0.482730,0.006119,-0.297300,-22.483650,-77.916685,22.039578
00733,135159,9.560712,-0.833866,1.789212,0.012622,0.001768,-0.005686,-0.484733,0.005130,-0.296851,-22.457548,-77.918005,22.020753
00734,135259,9.573086,-0.796686,1.821695,0.008008,-0.002455,-0.000867,-0.485192,0.006729,-0.298775,-22.450370,-77.920506,22.018574
00735,135359,9.595205,-0.753305,1.809885,0.006888,-0.010320,0.000631,-0.484236,0.004624,-0.296877,-22.455596,-77.926852,22.028424
00736,135459,9.625033,-0.705078,1.802273,0.003528,-0.021286,0.004552,-0.485722,0.004174,-0.297402,-22.483716,-77.938154,22.059715
00737,135559,9.652286,-0.639137,1.822354,0.001157,-0.032025,0.005823,-0.482737,0.002133,-0.297503,-22.527412,-77.954865,22.105546
00738,135659,9.658449,-0.643979,1.882259,0.005812,-0.030670,0.004923,-0.481803,0.003443,-0.293928,-22.564912,-77.971057,22.147764
00739,135759,9.651198,-0.721957,1.904645,0.009752,-0.023527,0.001963,-0.481767,0.003042,-0.295953,-22.585498,-77.984113,22.174995
00740,135859,9.655603,-0.770134,1.885554,0.016286,-0.009885,-0.001252,-0.482263,0.004046,-0.295902,-22.580294,-77.990660,22.179683
00741,135959,9.637110,-0.814894,1.870442,0.015045,0.001707,-0.002200,-0.482255,0.003572,-0.296427,-22.561482,-77.991282,22.169733
00742,136059,9.602984,-0.764914,1.853789,0.009037,0.012825,0.001044,-0.479747,0.002584,-0.297477,-22.542713,-77.985307,22.156305
00743,136159,9.563657,-0.716055,1.830876,0.000677,0.009301,0.003756,-0.480249,0.005557,-0.296825,-22.539148,-77.980606,22.153521
00744,136259,9.575562,-0.635899,1.837424,-0.002706,-0.005476,0.007091,-0.480267,0.001049,-0.296554,-22.560997,-77.983000,22.174748
00745,136359,9.601015,-0.614441,1.831475,-0.004230,-0.031821,0.007398,-0.479782,0.003983,-0.295401,-22.611757,-77.999267,22.224633
00746,136459,9.656695,-0.617956,1.902234,-0.002735,-0.036616,0.003754,-0.477770,0.004497,-0.296375,-22.657643,-78.018864,22.270412
00747,136559,9.638122,-0.694651,1.890584,-0.003743,-0.024546,0.000755,-0.480314,0.005388,-0.293326,-22.684180,-78.032744,22.295819
00748,136659,9.621812,-0.738713,1.855358,-0.008164,-0.010093,-0.003878,-0.482758,0.006047,-0.295800,-22.686655,-78.040002,22.294041
