PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Roll,Pitch,Yaw
04477,511298,9.505119,-0.644804,2.317279,-0.012779,0.050258,-0.011124,-0.261144,0.115703,-0.384158,-14.645071,-75.739063,14.212325
04478,511398,9.500500,-0.642098,2.329538,-0.012415,0.051110,-0.011558,-0.262144,0.113725,-0.384259,-14.594142,-75.713353,14.185776
04479,511498,9.494192,-0.626105,2.307203,-0.007367,0.052386,-0.010444,-0.261156,0.114184,-0.383734,-14.542731,-75.686755,14.144659
04480,511598,9.526940,-0.591169,2.328408,-0.002533,0.054216,-0.008294,-0.259746,0.113445,-0.379261,-14.492854,-75.658837,14.091478
04481,511698,9.534090,-0.570994,2.328554,-0.004657,0.060355,-0.005399,-0.254712,0.112016,-0.382334,-14.446921,-75.626851,14.059796
04482,511798,9.521841,-0.537274,2.300044,-0.009359,0.062033,-0.005177,-0.258171,0.117102,-0.383081,-14.404269,-75.594084,13.996527
04483,511898,9.509982,-0.485603,2.305831,-0.017004,0.052411,-0.003545,-0.255245,0.113422,-0.380259,-14.374704,-75.566311,13.956378
04484,511998,9.517449,-0.490031,2.295000,-0.017465,0.040865,-0.003761,-0.257229,0.112980,-0.380785,-14.351419,-75.544986,13.922792
04485,512098,9.495610,-0.536719,2.292819,-0.018605,0.024559,-0.007186,-0.255180,0.113093,-0.383783,-14.330459,-75.533154,13.892615
04486,512198,9.508022,-0.617043,2.340056,-0.016958,0.015420,-0.012736,-0.256683,0.113590,-0.383258,-14.301769,-75.527206,13.851758
04487,512298,9.502826,-0.668275,2.383783,-0.012777,0.021392,-0.013248,-0.256201,0.115029,-0.382182,-14.266427,-75.518014,13.803968
04488,512398,9.485482,-0.673719,2.423497,-0.009723,0.032772,-0.014891,-0.254220,0.113479,-0.381758,-14.219620,-75.502711,13.747937
04489,512498,9.461540,-0.656851,2.394245,-0.005864,0.032616,-0.013676,-0.256232,0.113462,-0.380759,-14.173418,-75.487321,13.694278
04490,512598,9.432166,-0.620589,2.436087,-0.008082,0.025005,-0.009610,-0.254193,0.113053,-0.383283,-14.141406,-75.475570,13.654657
04491,512698,9.523882,-0.562075,2.411883,-0.002934,0.024311,-0.003184,-0.253234,0.112941,-0.381283,-14.120660,-75.463304,13.629219
04492,512798,9.557958,-0.510161,2.427655,0.005002,0.032779,0.002370,-0.250672,0.116557,-0.384603,-14.102764,-75.445554,13.610945
04493,512898,9.514325,-0.539629,2.347755,0.010211,0.034877,-0.001272,-0.253194,0.114532,-0.383206,-14.072995,-75.427148,13.583913
04494,512998,9.530363,-0.588872,2.281588,0.011765,0.032281,-0.004657,-0.254252,0.116372,-0.379606,-14.036585,-75.410658,13.550394
04495,513098,9.493387,-0.624860,2.415523,0.015036,0.028702,-0.007840,-0.254708,0.114009,-0.382233,-13.993470,-75.396588,13.512602
04496,513198,9.450155,-0.658356,2.551291,0.008373,0.016142,-0.011758,-0.252784,0.112314,-0.378809,-13.952551,-75.390034,13.473111
04497,513298,9.512160,-0.648845,2.587629,0.005725,0.014904,-0.009082,-0.253728,0.115440,-0.381156,-13.919561,-75.383792,13.439879
04498,513398,9.517332,-0.542783,2.491942,0.015805,0.030337,-0.005898,-0.253734,0.111952,-0.381334,-13.879460,-75.368519,13.405755
04499,513498,9.503248,-0.487770,2.396412,0.025480,0.049649,-0.002707,-0.253243,0.113415,-0.380758,-13.830572,-75.342061,13.367946
04500,513598,9.458412,-0.462896,2.352489,0.034067,0.044993,-0.002613,-0.254740,0.111944,-0.380835,-13.779538,-75.318173,13.333149
04501,513698,9.499595,-0.499125,2.410980,0.036390,0.037535,-0.003532,-0.253746,0.110433,-0.380911,-13.729225,-75.298552,13.300547
04502,513798,9.485113,-0.537168,2.446464,0.033376,0.025452,-0.006998,-0.251272,0.111342,-0.379860,-13.679645,-75.286120,13.266707
04503,513898,9.476389,-0.563025,2.421412,0.028313,0.011593,-0.012147,-0.254244,0.110441,-0.380911,-13.629244,-75.282094,13.229114
