PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Roll,Pitch,Yaw
01006,168318,9.435490,-0.108502,2.423402,-0.048847,0.054306,-0.010056,-0.386708,0.047973,-0.419317,-4.106845,-75.929437,3.984030
01007,168418,9.526036,-0.163617,2.428190,-0.048166,0.057717,-0.008477,-0.387701,0.044525,-0.419995,-4.103073,-75.897925,3.951821
01008,168518,9.568315,-0.195548,2.381285,-0.032656,0.088902,-0.008051,-0.387728,0.050407,-0.417691,-4.086451,-75.848571,3.915513
01009,168618,9.551288,-0.179770,2.338082,-0.015144,0.122468,-0.006760,-0.386719,0.046952,-0.418868,-4.057545,-75.779980,3.876878
01010,168718,9.528743,-0.141060,2.312492,-0.004899,0.141908,-0.004943,-0.387658,0.048109,-0.421816,-4.024118,-75.700204,3.839622
01011,168818,9.454900,-0.104460,2.226463,-0.008265,0.124091,-0.004916,-0.385705,0.046486,-0.419893,-3.995828,-75.630618,3.805668
01012,168918,9.436123,-0.110720,2.204449,-0.013287,0.081019,-0.005024,-0.387181,0.046558,-0.420893,-3.977100,-75.585665,3.778607
01013,169018,9.515213,-0.110311,2.336201,-0.011405,0.043031,-0.002154,-0.385176,0.048045,-0.421316,-3.969630,-75.562316,3.764279
01014,169118,9.574570,-0.085443,2.459052,-0.008145,0.024160,-0.002101,-0.385663,0.049572,-0.421739,-3.963321,-75.549747,3.753080
01015,169218,9.569750,-0.068339,2.514901,-0.009660,0.028761,-0.004613,-0.386203,0.046494,-0.419893,-3.951595,-75.534641,3.735392
01016,169318,9.547293,-0.088847,2.474821,-0.015681,0.045225,-0.010056,-0.387219,0.045964,-0.418919,-3.928782,-75.510333,3.702689
01017,169418,9.504648,-0.095726,2.394769,-0.019437,0.068110,-0.012146,-0.383678,0.050014,-0.421214,-3.900144,-75.473023,3.661742
01018,169518,9.449807,-0.033471,2.310169,-0.021982,0.078916,-0.007834,-0.384695,0.048986,-0.420265,-3.880982,-75.429372,3.629074
01019,169618,9.451559,0.024281,2.263112,-0.017404,0.076163,-0.005509,-0.384676,0.049532,-0.421239,-3.864810,-75.387216,3.602204
01020,169718,9.433190,0.046850,2.292244,-0.019528,0.055341,-0.000962,-0.383704,0.051437,-0.419638,-3.862931,-75.356796,3.588846
01021,169818,9.429924,0.020335,2.307010,-0.022934,0.020313,0.000505,-0.384648,0.049604,-0.422739,-3.871349,-75.346353,3.584117
01022,169918,9.463145,-0.092236,2.415761,-0.028115,-0.014040,0.002104,-0.384690,0.051975,-0.420113,-3.891307,-75.355488,3.588247
01023,170018,9.502639,-0.196012,2.540921,-0.026185,-0.020567,-0.002073,-0.384125,0.053132,-0.423560,-3.902018,-75.368507,3.583961
01024,170118,9.514882,-0.197249,2.581337,-0.021075,-0.002393,-0.006486,-0.383156,0.053044,-0.422061,-3.897439,-75.371298,3.566899
01025,170218,9.463083,-0.055043,2.542688,-0.009473,0.009545,-0.006751,-0.382656,0.054033,-0.422010,-3.883823,-75.367266,3.547368
01026,170318,9.451422,0.075318,2.445861,-0.004605,0.013757,-0.003617,-0.383136,0.054089,-0.423009,-3.873593,-75.360702,3.534222
01027,170418,9.488205,0.090998,2.364622,-0.002889,0.011760,-0.001223,-0.382635,0.055576,-0.422933,-3.867850,-75.355194,3.526734
01028,170518,9.552385,-0.008049,2.391720,-0.016219,0.005377,0.000106,-0.382585,0.052731,-0.426084,-3.873554,-75.353288,3.523187
01029,170618,9.562846,-0.189070,2.468505,-0.031130,0.004903,-0.003210,-0.382635,0.055576,-0.422933,-3.880639,-75.351782,3.512234
01030,170718,9.544979,-0.349700,2.548871,-0.044930,0.011581,-0.008394,-0.382598,0.055672,-0.424932,-3.883369,-75.346650,3.488604
01031,170818,9.516532,-0.374713,2.555948,-0.050256,0.018887,-0.008560,-0.381083,0.056693,-0.425881,-3.887785,-75.337338,3.463558
01032,170918,9.464707,-0.269801,2.523962,-0.042240,0.025829,-0.008598,-0.382089,0.056684,-0.425381,-3.886552,-75.324052,3.437417
01033,171018,9.444490,-0.081970,2.489124,-0.027931,0.019653,-0.006320,-0.380103,0.058123,-0.424805,-3.883011,-75.314202,3.417362
01034,171118,9.472611,-0.018422,2.519096,-0.015201,0.008347,-0.004453,-0.380090,0.055182,-0.425956,-3.877884,-75.310737,3.403215
01035,171218,9.516600,-0.069518,2.561785,-0.002926,0.006303,-0.002019,-0.381598,0.057649,-0.424830,-3.871322,-75.308339,3.394850
01036,171318,9.587806,-0.233477,2.603068,0.002734,0.010410,-0.008098,-0.380094,0.058147,-0.425304,-3.847688,-75.303816,3.372189
01037,171418,9.595619,-0.359023,2.539367,-0.000323,0.033445,-0.013129,-0.383034,0.059312,-0.427754,-3.811582,-75.286307,3.334818
01038,171518,9.518723,-0.363254,2.478202,-0.003780,0.051518,-0.015774,-0.378560,0.059217,-0.427252,-3.769276,-75.258556,3.288981
01039,171618,9.479844,-0.282728,2.385071,-0.006073,0.058465,-0.016121,-0.379564,0.060205,-0.426702,-3.726764,-75.226845,3.241562
