PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Roll,Pitch,Yaw
00618,111119,0.005173,0.116337,9.864634,0.000375,-0.001537,0.001307,0.061168,-0.248340,-1.057722,0.636622,-0.010836,0.000000
00619,111219,0.016317,0.116220,9.883540,0.001499,-0.000281,0.002083,0.060607,-0.252463,-1.054926,0.637001,-0.011497,0.001216
00620,111319,0.008509,0.116809,9.879606,0.001253,-0.002604,0.000396,0.060607,-0.252961,-1.054952,0.637402,-0.013470,0.001505
00621,111419,0.008608,0.134872,9.889912,0.000204,-0.002658,0.000664,0.059134,-0.250896,-1.055850,0.636432,-0.015983,0.002179
00622,111519,0.018740,0.120421,9.885215,0.001252,-0.000486,0.000770,0.061123,-0.252921,-1.055951,0.636729,-0.016594,0.002616
00623,111619,0.019145,0.112030,9.868914,-0.000307,0.001328,0.000367,0.058139,-0.250382,-1.055825,0.635307,-0.017145,0.003351
00624,111719,0.030144,0.099940,9.875947,0.000866,0.003111,0.002165,0.060127,-0.252905,-1.055952,0.635383,-0.016042,0.004906
00625,111819,0.002784,0.106480,9.886944,0.000055,0.000963,0.000921,0.055160,-0.250311,-1.056326,0.634107,-0.017809,0.006807
00626,111919,0.009327,0.114450,9.877133,0.001752,0.003670,0.002508,0.061594,-0.252503,-1.054426,0.634700,-0.015833,0.007985
00627,112019,-0.001912,0.119393,9.884173,0.000210,0.004329,0.001309,0.061145,-0.250880,-1.056849,0.633654,-0.013729,0.008587
00628,112119,0.000707,0.117875,9.880291,0.002430,-0.000517,0.002759,0.059629,-0.252897,-1.055952,0.634624,-0.014872,0.010614
00629,112219,0.010901,0.113225,9.894148,0.004712,0.005230,0.002887,0.059669,-0.251306,-1.057875,0.636189,-0.012796,0.012678
00630,112319,0.008649,0.110943,9.840024,-0.000225,0.003527,0.001673,0.058665,-0.250318,-1.057324,0.634661,-0.011993,0.014123
00631,112419,0.000226,0.115993,9.862154,0.001135,0.003405,0.001292,0.057637,-0.252367,-1.055927,0.634713,-0.011545,0.015823
00632,112519,0.009841,0.100472,9.901964,0.002455,0.002059,0.001794,0.061098,-0.251498,-1.054376,0.635372,-0.010674,0.016593
00633,112619,0.008496,0.109817,9.883547,0.000749,0.002376,0.000579,0.062128,-0.253411,-1.056476,0.635485,-0.009379,0.016881
00634,112719,0.006681,0.115026,9.889429,0.002194,0.004734,0.001627,0.058635,-0.251387,-1.055876,0.635819,-0.007856,0.018349
00635,112819,0.007948,0.105072,9.876972,0.002068,0.004183,0.001459,0.058657,-0.249844,-1.056799,0.635495,-0.006678,0.019549
00636,112919,0.006814,0.114890,9.873460,0.002582,0.000228,0.001465,0.058590,-0.251009,-1.053352,0.636152,-0.007644,0.020640
00637,113019,0.010063,0.132377,9.886156,0.001947,0.002161,0.001781,0.059136,-0.249900,-1.055799,0.635867,-0.007423,0.021796
00638,113119,0.021007,0.096947,9.880267,0.003134,0.000074,0.000934,0.060109,-0.252455,-1.054927,0.637160,-0.008046,0.022545
00639,113219,0.011182,0.104321,9.875827,0.001101,0.000509,0.002105,0.060119,-0.252431,-1.055426,0.637234,-0.008441,0.023999
00640,113319,0.005802,0.118207,9.874827,-0.000872,0.000932,0.001168,0.063096,-0.253997,-1.055002,0.636724,-0.007618,0.024372
00641,113419,0.020425,0.100786,9.878437,0.003031,0.000638,0.001064,0.061147,-0.249883,-1.056799,0.636962,-0.007652,0.024665
00642,113519,0.009680,0.104625,9.878563,0.001951,0.000363,-0.000288,0.061611,-0.253451,-1.055477,0.637840,-0.007645,0.024513
00643,113619,0.007121,0.124259,9.878039,0.000379,-0.001392,0.001525,0.060629,-0.250920,-1.055850,0.636977,-0.008969,0.025275
00644,113719,0.011028,0.099449,9.878742,0.001667,-0.000731,0.001629,0.061095,-0.252993,-1.054452,0.637634,-0.009712,0.026171
00645,113819,0.013167,0.105928,9.878075,-0.000272,-0.001803,0.000766,0.061571,-0.250084,-1.052800,0.636400,-0.010828,0.025863
00646,113919,0.010178,0.104464,9.878527,0.001466,-0.000797,0.000542,0.061144,-0.251876,-1.056900,0.636375,-0.011668,0.026158
00647,114019,0.014252,0.117631,9.886741,0.000995,0.001088,0.001449,0.059106,-0.250968,-1.054351,0.636017,-0.011980,0.027147
00648,114119,0.012869,0.126272,9.874439,0.000723,0.001708,0.001616,0.059162,-0.250824,-1.057350,0.635201,-0.012034,0.028461
00649,114219,0.011141,0.109648,9.871184,0.001326,0.004345,0.001766,0.060123,-0.249940,-1.055300,0.634631,-0.010199,0.029335
00650,114319,0.018447,0.106130,9.870081,0.001650,0.002202,0.000951,0.062629,-0.251924,-1.056400,0.634780,-0.008849,0.029478
00651,114419,0.016429,0.127189,9.849309,0.001797,0.002279,0.001259,0.060157,-0.251836,-1.057400,0.634899,-0.008283,0.030506
00652,114519,-0.003075,0.112098,9.869497,0.001321,0.000247,0.001813,0.060603,-0.249996,-1.054300,0.634434,-0.008614,0.031195
00653,114619,0.013535,0.100585,9.886515,0.000295,-0.000929,0.001065,0.059153,-0.250848,-1.056850,0.633437,-0.010162,0.032159
