PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Roll,Pitch,Yaw
03899,524388,9.656492,0.060152,1.709147,0.035440,-0.004441,0.022716,-0.246369,0.226729,-0.412551,-0.659318,-79.945343,0.649192
03900,524488,9.744941,0.193373,1.712120,0.036820,0.002453,0.026453,-0.243439,0.225043,-0.409628,-0.719934,-79.944401,0.732361
03901,524588,9.785966,0.224200,1.677933,0.036509,0.005153,0.025682,-0.239875,0.226675,-0.413549,-0.778075,-79.941904,0.812839
03902,524688,9.816387,0.196867,1.675527,0.034827,0.001529,0.021885,-0.240872,0.231150,-0.412821,-0.825028,-79.941502,0.880972
03903,524788,9.806361,0.115518,1.716541,0.040347,0.002028,0.012933,-0.242844,0.232227,-0.413770,-0.839862,-79.940882,0.919703
03904,524888,9.809722,-0.030760,1.780219,0.049340,0.003148,0.002237,-0.240865,0.230178,-0.413371,-0.814949,-79.939709,0.923305
03905,524988,9.788128,-0.125497,1.809740,0.053496,0.012715,-0.005721,-0.240856,0.229704,-0.413896,-0.761558,-79.933116,0.900398
03906,525088,9.718306,-0.222310,1.804289,0.057122,0.031004,-0.011436,-0.240865,0.230178,-0.413371,-0.687011,-79.916081,0.858108
03907,525188,9.645331,-0.244026,1.759396,0.056233,0.049573,-0.015117,-0.237804,0.234285,-0.416666,-0.600718,-79.888419,0.803358
03908,525288,9.605162,-0.202463,1.715490,0.051131,0.067100,-0.013264,-0.238852,0.236648,-0.413540,-0.523159,-79.850692,0.754486
03909,525388,9.593375,-0.096068,1.660829,0.047516,0.074313,-0.006874,-0.239330,0.237700,-0.414489,-0.468328,-79.808791,0.726608
03910,525488,9.635162,0.041229,1.628898,0.045109,0.071796,-0.000310,-0.235295,0.239750,-0.416885,-0.436101,-79.768301,0.720299
03911,525588,9.678787,0.132594,1.602757,0.035937,0.066251,0.008205,-0.234324,0.241157,-0.415309,-0.436309,-79.730954,0.741578
03912,525688,9.694252,0.176251,1.618615,0.027653,0.058846,0.009162,-0.234795,0.245697,-0.416080,-0.444355,-79.697847,0.765958
03913,525788,9.729584,0.158882,1.652886,0.021367,0.048779,0.006205,-0.233315,0.247618,-0.414979,-0.446833,-79.670524,0.781027
03914,525888,9.762485,0.106033,1.694553,0.017063,0.042894,0.001197,-0.233775,0.248719,-0.416927,-0.436153,-79.646596,0.780277
03915,525988,9.727803,0.055501,1.725884,0.008876,0.045791,-0.004363,-0.233248,0.249281,-0.418401,-0.412717,-79.621033,0.761818
03916,526088,9.689958,-0.015254,1.726091,0.006588,0.049695,-0.011106,-0.236186,0.251442,-0.420799,-0.369572,-79.593259,0.721897
03917,526188,9.650291,-0.049850,1.744863,0.007383,0.056336,-0.014295,-0.234289,0.250173,-0.415852,-0.316162,-79.561686,0.671883
03918,526288,9.633683,-0.008836,1.702567,0.003515,0.060549,-0.015531,-0.236212,0.252865,-0.419224,-0.261384,-79.527695,0.618253
03919,526388,9.614807,0.076931,1.679952,-0.000857,0.061267,-0.013904,-0.235738,0.254777,-0.417623,-0.214471,-79.493284,0.569776
03920,526488,9.619210,0.122701,1.702016,-0.008477,0.060222,-0.014982,-0.235215,0.252849,-0.419224,-0.168892,-79.459463,0.518942
03921,526588,9.633329,0.121003,1.725947,-0.014798,0.058816,-0.015500,-0.237690,0.256898,-0.419521,-0.125650,-79.426450,0.465872
