PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Roll,Pitch,Yaw
00750,182619,9.807072,0.279225,1.095276,-0.039744,0.006755,-0.017461,-0.444388,0.009363,-0.376757,9.006185,-83.604737,-8.951051
00751,182719,9.775943,0.281255,1.030774,-0.038692,0.028787,-0.017580,-0.444431,0.006277,-0.374911,9.075129,-83.589098,-9.039445
00752,182819,9.782078,0.288391,1.045023,-0.035428,0.033412,-0.013888,-0.443941,0.006744,-0.374385,9.121359,-83.571291,-9.103614
00753,182919,9.791177,0.263383,1.041915,-0.036572,0.037279,-0.011849,-0.440953,0.006696,-0.374384,9.151676,-83.550483,-9.152576
00754,183019,9.769653,0.231884,1.055615,-0.047896,0.029348,-0.006605,-0.440454,0.007187,-0.374359,9.153440,-83.534559,-9.179773
00755,183119,9.747077,0.183247,1.103369,-0.049783,0.014556,-0.002054,-0.440438,0.005740,-0.375434,9.148801,-83.526893,-9.200192
00756,183219,9.732996,0.169357,1.157574,-0.038505,-0.000086,-0.002430,-0.442942,0.008223,-0.374309,9.156052,-83.529004,-9.228316
00757,183319,9.722930,0.123853,1.159414,-0.022509,-0.006619,-0.004175,-0.441950,0.006214,-0.374410,9.193762,-83.534031,-9.276162
00758,183419,9.693032,0.169005,1.143004,-0.014321,-0.005993,-0.005786,-0.442966,0.005185,-0.373461,9.248470,-83.539231,-9.335765
00759,183519,9.683963,0.199371,1.096711,-0.013568,-0.006486,-0.009160,-0.439480,0.005130,-0.373461,9.317694,-83.542960,-9.409862
00760,183619,9.681943,0.273524,1.095424,-0.014939,-0.000338,-0.012623,-0.441926,0.009251,-0.375257,9.380848,-83.543240,-9.481944
00761,183719,9.694283,0.329013,1.086259,-0.015673,0.003538,-0.014201,-0.440967,0.009139,-0.373258,9.449007,-83.541678,-9.559915
00762,183819,9.733158,0.319078,1.101337,-0.017360,-0.000370,-0.016460,-0.439459,0.006174,-0.374409,9.541598,-83.540760,-9.660553
00763,183919,9.787828,0.265881,1.144122,-0.019259,-0.006882,-0.015698,-0.440960,0.007668,-0.373834,9.629026,-83.544499,-9.758641
00764,184019,9.804495,0.157197,1.176030,-0.017811,-0.007332,-0.015303,-0.437982,0.007099,-0.373358,9.715779,-83.547466,-9.855018
00765,184119,9.761566,0.131229,1.191790,-0.005914,-0.007878,-0.016299,-0.438509,0.006536,-0.371884,9.817766,-83.551465,-9.959782
00766,184219,9.748112,0.186909,1.216196,0.001265,-0.011133,-0.016246,-0.439492,0.008569,-0.372283,9.917169,-83.557555,-10.059648
00767,184319,9.776355,0.274899,1.161271,0.000129,-0.017195,-0.019661,-0.436976,0.007107,-0.373857,10.041585,-83.564788,-10.183782
00768,184419,9.831175,0.315167,1.150540,-0.003909,-0.020434,-0.024003,-0.437476,0.006119,-0.373909,10.192630,-83.573479,-10.336222
00769,184519,9.804944,0.362689,1.132346,-0.003289,-0.028801,-0.028837,-0.437997,0.003587,-0.373036,10.387534,-83.586736,-10.530478
00770,184619,9.748688,0.395269,1.122848,0.001518,-0.039606,-0.029925,-0.436482,0.004608,-0.373985,10.593420,-83.604815,-10.734123
00771,184719,9.714489,0.291284,1.126210,0.002708,-0.037504,-0.027343,-0.437000,0.004070,-0.373011,10.788277,-83.622494,-10.925950
00772,184819,9.728913,0.176671,1.128158,0.010478,-0.022287,-0.029716,-0.438013,0.005034,-0.371961,10.981277,-83.632249,-11.112821
00773,184919,9.682752,0.091355,1.118435,0.011705,-0.011924,-0.026084,-0.437011,0.003049,-0.372561,11.153380,-83.635642,-11.276223
00774,185019,9.657834,0.099118,1.100314,0.009188,-0.013484,-0.022315,-0.436514,0.002543,-0.372587,11.307087,-83.640042,-11.422404
00775,185119,9.693197,0.160636,1.143909,0.000932,-0.022979,-0.017756,-0.435546,0.002455,-0.371087,11.442198,-83.650560,-11.555279
00776,185219,9.726645,0.177303,1.163255,-0.001305,-0.028963,-0.020076,-0.434064,0.000414,-0.370689,11.601441,-83.663504,-11.712246
