PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Roll,Pitch,Yaw
01344,324109,9.693268,0.376878,0.859739,0.017146,0.033526,-0.058084,-0.476520,-0.025116,-0.314418,8.203953,-83.621957,-8.153860
01345,324209,9.788750,0.350956,0.996423,0.032949,0.029430,-0.056773,-0.475026,-0.025140,-0.314417,8.545526,-83.605737,-8.470234
01346,324309,9.895967,0.347976,1.096898,0.039943,0.033440,-0.056612,-0.477041,-0.027647,-0.313545,8.892466,-83.587839,-8.785937
01347,324409,9.927095,0.287052,1.113042,0.032867,0.038471,-0.054245,-0.473050,-0.024223,-0.313366,9.188053,-83.565084,-9.064717
01348,324509,9.922494,0.288294,1.108035,0.021009,0.044139,-0.053356,-0.475020,-0.027109,-0.315019,9.474019,-83.538414,-9.333967
01349,324609,9.871987,0.338464,1.090592,0.008880,0.050301,-0.055035,-0.475999,-0.027543,-0.316044,9.749729,-83.507574,-9.600162
01350,324709,9.760249,0.427112,1.024922,-0.004194,0.048220,-0.054969,-0.473043,-0.025195,-0.313917,10.002766,-83.477731,-9.859216
01351,324809,9.674179,0.385996,0.930249,-0.011488,0.039447,-0.054003,-0.474537,-0.025172,-0.313917,10.250847,-83.453116,-10.117980
01352,324909,9.735246,0.411867,0.913214,-0.012938,0.020860,-0.054460,-0.473976,-0.026506,-0.317492,10.514812,-83.436797,-10.388771
01353,325009,9.798259,0.354653,1.020817,-0.014184,0.021582,-0.052086,-0.474570,-0.027735,-0.312545,10.769934,-83.422183,-10.654376
01354,325109,9.779548,0.329317,1.039363,-0.014906,0.027431,-0.048057,-0.473538,-0.028651,-0.314595,10.996550,-83.403246,-10.889394
01355,325209,9.735172,0.231131,1.080401,-0.024010,0.038267,-0.044089,-0.476527,-0.029102,-0.314621,11.187532,-83.379238,-11.094054
01356,325309,9.640776,0.308040,1.052957,-0.034543,0.039319,-0.036858,-0.476555,-0.029174,-0.313122,11.334191,-83.355707,-11.261639
