PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Roll,Pitch,Yaw
00400,128188,9.784980,0.231763,1.276015,-0.026803,-0.028446,-0.016332,-0.432665,0.004112,-0.364987,13.831163,-82.743308,-13.724583
00401,128288,9.732872,0.376342,1.218289,-0.023839,-0.016486,-0.021693,-0.431190,0.003541,-0.364012,13.936810,-82.750049,-13.844744
00402,128388,9.716202,0.442514,1.193345,-0.010734,-0.021341,-0.024693,-0.432721,0.003967,-0.361988,14.068751,-82.759028,-13.983837
00403,128488,9.723214,0.526503,1.184567,-0.003354,-0.037153,-0.021069,-0.431719,0.001982,-0.362589,14.207172,-82.777244,-14.125191
00404,128588,9.803603,0.501374,1.188348,0.001761,-0.046031,-0.014932,-0.431683,0.001580,-0.364614,14.332453,-82.801202,-14.250337
00405,128688,9.773274,0.382643,1.171309,-0.007561,-0.047740,-0.011374,-0.430729,-0.001521,-0.362767,14.439505,-82.826577,-14.362486
00406,128788,9.734894,0.264761,1.210137,-0.018992,-0.047014,-0.006832,-0.427752,0.002369,-0.361563,14.519693,-82.852168,-14.454158
00407,128888,9.731444,0.154470,1.255314,-0.029591,-0.038841,-0.004166,-0.431211,0.001998,-0.363089,14.572813,-82.873585,-14.524670
00408,128988,9.671166,0.193168,1.230817,-0.021952,-0.038061,-0.005911,-0.430738,0.003911,-0.361488,14.637272,-82.894295,-14.602201
00409,129088,9.649116,0.248761,1.184232,-0.012306,-0.041318,-0.009805,-0.429774,0.001332,-0.360115,14.728688,-82.916225,-14.701327
00410,129188,9.667138,0.323583,1.167960,0.003772,-0.059537,-0.014009,-0.426745,0.002876,-0.362037,14.870280,-82.947600,-14.841724
00411,129288,9.713641,0.350261,1.206520,0.014889,-0.075007,-0.019021,-0.424804,0.000232,-0.359664,15.060688,-82.986730,-15.024880
00412,129388,9.783277,0.312685,1.220326,0.022135,-0.077932,-0.024629,-0.428760,0.000866,-0.361140,15.286191,-83.026539,-15.239200
00413,129488,9.794952,0.244849,1.228930,0.026923,-0.061367,-0.024965,-0.428824,0.001196,-0.357615,15.497431,-83.057032,-15.436372
00414,129588,9.783052,0.142427,1.200890,0.025297,-0.035597,-0.026290,-0.425830,-0.000820,-0.358216,15.682300,-83.073010,-15.607914
00415,129688,9.743749,0.146812,1.171328,0.020784,-0.014339,-0.026380,-0.427304,0.000248,-0.359165,15.838051,-83.077189,-15.752730
00416,129788,9.709848,0.221309,1.127047,0.018210,-0.008411,-0.026306,-0.425303,-0.000258,-0.359690,15.984252,-83.078070,-15.889414
00417,129888,9.733565,0.278239,1.101977,0.015547,-0.020490,-0.024794,-0.424823,-0.000314,-0.358690,16.137833,-83.085801,-16.035070
