PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Roll,Pitch,Yaw
01383,197858,9.736479,0.044019,1.782648,-0.035213,-0.047088,-0.010514,-0.436597,0.103423,-0.434082,-3.457597,-79.567885,3.400579
01384,197958,9.740004,-0.058845,1.801442,-0.027274,-0.036204,-0.015134,-0.436601,0.100931,-0.434209,-3.423842,-79.588796,3.350753
01385,198058,9.704420,-0.116887,1.772384,-0.030216,-0.015151,-0.020700,-0.437119,0.100393,-0.433235,-3.369164,-79.598353,3.278114
01386,198158,9.617771,-0.140074,1.748515,-0.040117,0.002101,-0.027549,-0.437071,0.101012,-0.435709,-3.296711,-79.597303,3.182274
01387,198258,9.629364,-0.083002,1.699576,-0.043832,0.009119,-0.030083,-0.435078,0.101478,-0.435683,-3.219074,-79.591572,3.078596
01388,198358,9.641852,0.004087,1.682275,-0.045489,0.008255,-0.027546,-0.437090,0.100964,-0.434709,-3.148413,-79.587409,2.981066
01389,198458,9.669502,0.115260,1.693648,-0.045748,-0.007572,-0.026554,-0.436630,0.100361,-0.432735,-3.082588,-79.592808,2.888011
01390,198558,9.707680,0.108860,1.733590,-0.035143,-0.032542,-0.021346,-0.440108,0.099942,-0.433261,-3.028273,-79.613354,2.813619
01391,198658,9.773853,0.069992,1.852645,-0.027737,-0.048599,-0.018891,-0.437580,0.099999,-0.435260,-2.981105,-79.641025,2.752330
01392,198758,9.791128,-0.027310,1.868069,-0.024337,-0.042913,-0.018544,-0.437089,0.101462,-0.434684,-2.935444,-79.665256,2.692551
01393,198858,9.743110,-0.092340,1.887241,-0.025319,-0.025881,-0.021773,-0.439054,0.101067,-0.436209,-2.875358,-79.679917,2.619048
01394,198958,9.673228,-0.096937,1.835822,-0.029888,-0.018326,-0.025097,-0.436156,0.102274,-0.431134,-2.810602,-79.691102,2.533359
01395,199058,9.673685,-0.050274,1.751683,-0.031809,-0.010231,-0.024054,-0.432144,0.101785,-0.432657,-2.749821,-79.695292,2.452704
01396,199158,9.632740,0.042830,1.728827,-0.029303,-0.010033,-0.026015,-0.433631,0.100836,-0.433209,-2.678254,-79.699802,2.364119
01397,199258,9.636222,0.114522,1.637097,-0.019080,-0.020730,-0.029181,-0.432137,0.100314,-0.433234,-2.592058,-79.709813,2.267413
01398,199358,9.652808,0.059273,1.646413,-0.005874,-0.031862,-0.033890,-0.433139,0.097340,-0.433386,-2.477495,-79.726646,2.153378
01399,199458,9.628808,-0.024068,1.735272,0.004547,-0.043928,-0.042398,-0.433626,0.098369,-0.433836,-2.334142,-79.750376,2.014926
