PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Roll,Pitch,Yaw
00924,329799,0.097520,-0.012841,9.848434,-0.000258,0.000582,0.002346,0.902923,-0.542103,-0.610297,-0.175207,-0.537998,0.000000
00925,329899,0.101247,-0.009896,9.833290,0.002524,0.002623,0.001400,0.901947,-0.546001,-0.612000,-0.174328,-0.536947,0.001004
00926,329999,0.090236,-0.018341,9.827621,0.000986,0.001922,0.002176,0.900454,-0.545479,-0.611975,-0.174381,-0.536444,0.002081
00927,330099,0.097859,-0.017342,9.836299,0.001288,0.000712,0.002103,0.901933,-0.543558,-0.610874,-0.174320,-0.536341,0.001924
00928,330199,0.099355,-0.015011,9.829379,0.002750,0.000731,0.002135,0.904938,-0.545052,-0.611949,-0.173383,-0.536085,0.002913
00929,330299,0.102129,-0.024465,9.843171,0.001151,-0.000165,0.001285,0.902493,-0.545390,-0.614474,-0.173543,-0.536955,0.003678
00930,330399,0.095016,-0.024580,9.836281,-0.000329,0.000709,0.002084,0.900455,-0.544981,-0.611950,-0.174387,-0.537145,0.004352
00931,330499,0.103584,-0.024341,9.812117,0.000767,-0.000299,0.000735,0.900936,-0.544040,-0.610900,-0.174582,-0.537717,0.003644
00932,330599,0.099729,-0.020377,9.840781,0.002856,-0.000103,0.002901,0.903444,-0.544530,-0.611924,-0.173632,-0.538078,0.004724
00933,330699,0.093041,-0.009091,9.823400,-0.000018,0.000650,0.000363,0.900943,-0.545012,-0.611450,-0.174242,-0.538180,0.004433
00934,330799,0.088560,-0.005746,9.844131,0.000736,0.000743,0.001578,0.901472,-0.543453,-0.612873,-0.174663,-0.538398,0.004008
00935,330899,0.112498,-0.013813,9.826953,0.000339,0.001085,0.002639,0.901456,-0.542007,-0.611797,-0.175343,-0.538273,0.003219
00936,330999,0.102241,-0.012994,9.802360,0.001112,0.000459,0.002365,0.899486,-0.544892,-0.613450,-0.175488,-0.538916,0.004049
00937,331099,0.101467,-0.001965,9.817113,0.001026,0.003003,0.001672,0.902448,-0.544514,-0.611924,-0.175577,-0.537599,0.004331
00938,331199,0.090175,-0.022376,9.839004,0.000982,-0.000465,0.002474,0.901435,-0.543550,-0.610874,-0.175689,-0.538215,0.004341
00939,331299,0.103475,-0.013741,9.814383,0.002653,0.002039,0.002446,0.899451,-0.543494,-0.611374,-0.174895,-0.537665,0.004203
00940,331399,0.097737,-0.025357,9.823341,0.000976,0.001259,0.002641,0.901453,-0.544000,-0.611899,-0.175062,-0.537443,0.004646
00941,331499,0.088820,-0.020631,9.832944,0.001928,0.001984,0.002205,0.901933,-0.543558,-0.610874,-0.174632,-0.536616,0.004515
00942,331599,0.074290,-0.013404,9.828103,0.001238,0.000498,0.001561,0.902480,-0.541950,-0.613296,-0.174916,-0.536955,0.003240
00943,331699,0.088845,-0.009893,9.817165,0.002475,0.000513,0.002074,0.902430,-0.544064,-0.610899,-0.174131,-0.536924,0.003352
00944,331799,0.096459,-0.025638,9.833307,0.001185,0.001425,0.001234,0.900459,-0.547946,-0.612602,-0.173918,-0.536779,0.005351
00945,331899,0.109818,-0.044356,9.833844,0.001646,0.002372,0.002121,0.902448,-0.544514,-0.611924,-0.173662,-0.535831,0.005851
00946,331999,0.099288,-0.025356,9.824360,0.001343,0.000389,0.001114,0.903503,-0.542891,-0.614846,-0.173934,-0.536359,0.005080
00947,332099,0.081224,-0.024364,9.815574,0.002004,0.001069,0.002270,0.901969,-0.543960,-0.612899,-0.173597,-0.536348,0.005375
00948,332199,0.079259,-0.027690,9.805906,0.000538,0.000059,0.000631,0.900514,-0.542843,-0.614847,-0.174337,-0.537345,0.004129
00949,332299,0.092387,-0.016014,9.828097,0.002356,0.001456,0.001459,0.901944,-0.542537,-0.611323,-0.173776,-0.536897,0.002992
00950,332399,0.110635,-0.004501,9.837228,0.000625,-0.000303,0.002960,0.901940,-0.544530,-0.611424,-0.174063,-0.537452,0.003908
00951,332499,0.094025,-0.029181,9.832180,0.001997,0.000015,0.002653,0.899470,-0.543446,-0.612374,-0.173734,-0.538203,0.003975
00952,332599,0.107122,-0.012754,9.812433,0.000426,0.001073,0.003335,0.902522,-0.544819,-0.615948,-0.174481,-0.538561,0.005624
00953,332699,0.098965,-0.019016,9.814888,0.001924,0.000039,0.002168,0.901497,-0.544876,-0.614449,-0.174239,-0.539391,0.006486
00954,332799,0.091175,-0.018171,9.825213,0.000689,0.003202,0.003036,0.902450,-0.543517,-0.611873,-0.174606,-0.537959,0.006877
00955,332899,0.099535,-0.024366,9.830505,0.002465,0.000457,0.003767,0.900966,-0.542473,-0.612323,-0.174083,-0.538312,0.007025
00956,332999,0.098801,-0.013263,9.817756,0.000217,0.000972,0.000300,0.899966,-0.544451,-0.612425,-0.174685,-0.538468,0.006355
00957,333099,0.105095,-0.025098,9.838355,-0.000433,0.001443,0.002800,0.899417,-0.542096,-0.609299,-0.175604,-0.537971,0.005461
00958,333199,0.098012,-0.011040,9.833934,0.001916,0.003678,0.000806,0.899969,-0.542956,-0.612349,-0.175346,-0.536581,0.004241
00959,333299,0.101249,-0.000527,9.827966,0.001067,0.001854,0.001960,0.900459,-0.542490,-0.611823,-0.175571,-0.536120,0.003390
00960,333399,0.093548,-0.026217,9.842343,0.000570,0.001589,0.002203,0.901487,-0.545398,-0.613975,-0.176027,-0.535996,0.004534
00961,333499,0.084721,-0.019711,9.822851,-0.000348,-0.000105,0.001776,0.903462,-0.544980,-0.612949,-0.176946,-0.536513,0.005101
00962,333599,0.100679,-0.013169,9.834206,0.001301,0.000218,0.002126,0.902465,-0.545462,-0.612974,-0.176890,-0.536937,0.006159
00963,333699,0.107233,-0.006482,9.840555,0.001186,0.001363,0.002799,0.901490,-0.543904,-0.613899,-0.177102,-0.536938,0.006768
00964,333799,0.098378,-0.011130,9.834850,0.001694,-0.000006,0.002788,0.902988,-0.541934,-0.613796,-0.177159,-0.537584,0.006241
00965,333899,0.094108,-0.021675,9.817094,0.000471,0.000749,0.003233,0.902477,-0.543943,-0.613398,-0.177733,-0.537769,0.007080
00966,333999,0.093244,-0.025841,9.839249,0.001412,-0.000089,0.000850,0.902942,-0.546515,-0.612025,-0.177444,-0.538179,0.007898
00967,334099,0.103666,-0.004231,9.821905,0.000140,0.001554,0.000625,0.901475,-0.546917,-0.613551,-0.177980,-0.537996,0.008949
00968,334199,0.101296,-0.022283,9.816260,0.000468,0.001260,0.002898,0.899948,-0.544499,-0.611425,-0.178362,-0.537838,0.009684
00969,334299,0.099354,-0.017600,9.832942,0.000650,-0.000587,0.002399,0.899968,-0.543454,-0.612374,-0.178790,-0.538876,0.009609
00970,334399,0.105927,-0.014411,9.832823,0.000756,0.000283,0.000647,0.902972,-0.545446,-0.613474,-0.179071,-0.539279,0.009883
00971,334499,0.105060,-0.034097,9.825504,0.001539,0.000340,0.001693,0.901967,-0.545454,-0.612975,-0.178873,-0.539669,0.010693
00972,334599,0.094701,-0.019508,9.818472,0.003063,0.002514,0.002078,0.902423,-0.543091,-0.610348,-0.177777,-0.538426,0.010142
00973,334699,0.104783,-0.022274,9.828091,0.001485,0.000393,0.002681,0.900983,-0.543422,-0.613373,-0.177807,-0.538952,0.010320
00974,334799,0.104792,-0.002349,9.821481,-0.000367,0.000823,0.001645,0.902436,-0.546033,-0.611501,-0.178539,-0.538813,0.011310
00975,334899,0.091041,0.003211,9.844572,0.003124,0.002414,0.001192,0.902985,-0.543429,-0.613873,-0.177652,-0.538074,0.010783
00976,334999,0.105918,-0.016370,9.826661,0.001689,0.000836,0.003716,0.902494,-0.544394,-0.614423,-0.177573,-0.538347,0.012273
00977,335099,0.094328,-0.009804,9.814197,0.001968,-0.000560,0.000708,0.903951,-0.544514,-0.612423,-0.177145,-0.539009,0.012031
00978,335199,0.110544,-0.025290,9.828169,0.000620,0.001059,0.001451,0.902963,-0.545470,-0.612974,-0.177468,-0.538903,0.012759
00979,335299,0.104684,-0.031578,9.822459,0.000760,0.001076,0.002484,0.898474,-0.543430,-0.612374,-0.177835,-0.539129,0.012520
00980,335399,0.098123,-0.019421,9.830141,0.001197,0.000445,0.001785,0.900463,-0.545455,-0.612475,-0.177799,-0.539531,0.013223
00981,335499,0.089305,-0.005830,9.833974,0.001342,0.000380,0.002687,0.900975,-0.542947,-0.612848,-0.177898,-0.539993,0.013052
00982,335599,0.083814,-0.028330,9.835596,0.001222,0.001612,0.001798,0.900959,-0.541501,-0.611772,-0.178085,-0.539615,0.011447
00983,335699,0.104399,-0.016982,9.815466,0.000605,-0.000147,0.001035,0.900973,-0.543944,-0.612899,-0.178526,-0.540379,0.010943
00984,335799,0.102521,-0.011143,9.815545,0.000565,0.001792,0.001387,0.899500,-0.542377,-0.613823,-0.179184,-0.540306,0.009788
00985,335899,0.092929,-0.023636,9.825624,0.002150,0.002565,0.001950,0.903459,-0.546475,-0.613025,-0.178556,-0.539288,0.011298
00986,335999,0.085727,-0.018051,9.815467,0.002012,0.000295,0.000873,0.901427,-0.542578,-0.610323,-0.178087,-0.539417,0.009702
00987,336099,0.106219,-0.002750,9.821351,0.001293,0.002953,0.001152,0.900990,-0.544892,-0.613949,-0.178145,-0.538547,0.009904
00988,336199,0.097522,-0.014772,9.833915,0.002390,0.000673,-0.000010,0.902477,-0.543943,-0.613398,-0.177589,-0.538784,0.008912
00989,336299,0.092780,-0.032340,9.822382,0.001982,0.001836,0.001225,0.899997,-0.542883,-0.613848,-0.177398,-0.538648,0.007993
00990,336399,0.102423,-0.026475,9.825249,0.000784,0.002701,0.002438,0.900002,-0.545351,-0.614475,-0.177767,-0.538078,0.009223
00991,336499,0.110543,-0.017079,9.826357,0.000694,0.001460,0.000490,0.903943,-0.544039,-0.611898,-0.178055,-0.537529,0.008483
00992,336599,0.114227,-0.019742,9.838557,0.000707,0.000221,0.000689,0.900475,-0.543936,-0.612899,-0.178434,-0.538138,0.007787
00993,336699,0.097355,-0.017225,9.821582,0.000885,0.000555,0.001359,0.900976,-0.542449,-0.612823,-0.178814,-0.538511,0.006657
00994,336799,0.095568,-0.007679,9.822792,0.000828,0.001020,0.001190,0.899487,-0.544394,-0.613424,-0.179135,-0.538815,0.006562
00995,336899,0.099505,-0.005657,9.837425,0.001350,0.001199,0.001868,0.900967,-0.541975,-0.612297,-0.179241,-0.538751,0.005418
00996,336999,0.111055,-0.033319,9.832258,0.001102,0.001452,0.000604,0.900455,-0.544981,-0.611950,-0.179237,-0.538517,0.005207
00997,337099,0.102273,-0.021263,9.832597,0.001066,0.000527,0.001972,0.899462,-0.542972,-0.611849,-0.179404,-0.538901,0.004650
00998,337199,0.096164,-0.011222,9.836723,0.001756,0.002716,0.001874,0.900465,-0.544458,-0.612425,-0.179109,-0.538011,0.004930
00999,337299,0.097599,-0.011247,9.846890,0.001486,0.000432,0.002700,0.900974,-0.543446,-0.612873,-0.179079,-0.538451,0.005160
01000,337399,0.094124,-0.022023,9.825790,0.001739,0.000434,0.002535,0.899963,-0.546443,-0.612526,-0.178665,-0.538904,0.006927
01001,337499,0.092104,-0.016789,9.817393,0.001491,0.001637,0.000475,0.901989,-0.542915,-0.613847,-0.178729,-0.538705,0.005669
01002,337599,0.093679,-0.021051,9.844626,0.000306,0.001846,0.002787,0.902449,-0.544016,-0.611899,-0.179252,-0.538068,0.006153
01003,337699,0.087378,-0.004205,9.847654,-0.000990,0.001492,0.003526,0.902023,-0.544811,-0.615948,-0.180779,-0.538207,0.007906
01004,337799,0.099466,-0.026846,9.835369,0.001587,-0.000199,0.001531,0.901441,-0.545020,-0.611450,-0.180456,-0.538758,0.008185
01005,337899,0.090955,-0.024353,9.825566,0.002844,0.004038,0.001815,0.899963,-0.546443,-0.612526,-0.179408,-0.537149,0.009503
01006,337999,0.110770,-0.010214,9.811563,0.001046,0.001566,0.002147,0.901472,-0.543453,-0.612873,-0.179625,-0.536899,0.009388
01007,338099,0.100651,-0.005763,9.833665,0.001491,0.002613,0.001316,0.900513,-0.543341,-0.614873,-0.179748,-0.536409,0.008923
01008,338199,0.084982,-0.009331,9.852148,0.000443,0.002591,0.002383,0.901490,-0.543405,-0.613873,-0.180391,-0.535708,0.009024
01009,338299,0.107062,-0.006576,9.834665,0.001555,0.000490,0.000884,0.900462,-0.545953,-0.612501,-0.180105,-0.536094,0.009548
01010,338399,0.088040,-0.032727,9.839065,0.001992,0.001730,0.002147,0.902900,-0.544642,-0.609425,-0.179424,-0.535155,0.009783
01011,338499,0.077280,-0.012649,9.844721,0.000598,0.002489,0.002571,0.903947,-0.541548,-0.611771,-0.179939,-0.534038,0.008785
01012,338599,0.102239,-0.011093,9.823746,0.001823,0.000145,0.001448,0.901490,-0.543405,-0.613873,-0.179786,-0.534744,0.008364
01013,338699,0.096078,-0.023468,9.833414,0.001922,0.001782,0.002113,0.900033,-0.543285,-0.615873,-0.179751,-0.534905,0.008462
01014,338799,0.108819,-0.011946,9.836663,0.000252,0.002442,0.003185,0.900511,-0.544836,-0.614949,-0.180494,-0.534506,0.009927
01015,338899,0.110204,-0.026053,9.830416,0.000871,0.001312,0.001688,0.901461,-0.544474,-0.612424,-0.180701,-0.534341,0.010074
01016,338999,0.097373,-0.021940,9.823443,0.001359,0.003586,0.001517,0.900485,-0.543414,-0.613373,-0.180780,-0.533100,0.009627
01017,339099,0.096784,-0.021708,9.818924,0.002687,0.000403,0.002306,0.902439,-0.544538,-0.611424,-0.179864,-0.533240,0.010056
01018,339199,0.102316,-0.010417,9.830965,0.002231,0.002330,0.000543,0.900971,-0.544940,-0.612950,-0.179299,-0.532610,0.009852
01019,339299,0.098048,0.001620,9.833433,0.001194,0.002589,0.000870,0.899507,-0.543350,-0.614373,-0.179554,-0.532165,0.009099
01020,339399,0.094690,-0.028398,9.833945,0.002623,0.000794,0.001193,0.899489,-0.543398,-0.613374,-0.178914,-0.532614,0.008467
01021,339499,0.094106,-0.002935,9.829516,0.000932,0.001532,0.000641,0.901454,-0.543003,-0.611848,-0.179137,-0.532275,0.007145
01022,339599,0.113717,0.004710,9.820903,0.001616,0.001519,0.001473,0.900472,-0.545431,-0.612975,-0.178896,-0.532153,0.007777
01023,339699,0.096381,-0.042294,9.826924,0.001622,0.001932,0.001708,0.900004,-0.544354,-0.614424,-0.178842,-0.532037,0.008100
01024,339799,0.086220,-0.016187,9.826976,0.001503,0.000436,0.002241,0.901502,-0.542385,-0.614322,-0.178977,-0.532654,0.007612
01025,339899,0.083391,-0.017264,9.815509,0.000814,0.000996,0.002712,0.899997,-0.542883,-0.613848,-0.179447,-0.533007,0.007645
01026,339999,0.114853,-0.014103,9.811695,0.001850,0.002165,0.002647,0.902493,-0.545390,-0.614474,-0.179185,-0.532535,0.009042
01027,340099,0.088986,-0.025127,9.829873,0.003093,0.000309,0.002494,0.902459,-0.543493,-0.612373,-0.178181,-0.532873,0.009082
01028,340199,0.096740,-0.012644,9.820348,0.001440,-0.000403,0.001543,0.899438,-0.546009,-0.611002,-0.177860,-0.533667,0.009855
01029,340299,0.095945,-0.018619,9.831161,0.002231,0.001226,0.002416,0.899451,-0.543494,-0.611374,-0.177290,-0.533603,0.009753
01030,340399,0.092127,-0.037281,9.832461,0.001636,0.001399,0.002032,0.900488,-0.541919,-0.613297,-0.177308,-0.533622,0.008765
01031,340499,0.092429,-0.007122,9.832270,-0.000195,0.003144,0.002485,0.900026,-0.542313,-0.615322,-0.178508,-0.532939,0.008527
01032,340599,0.100237,-0.024759,9.824581,0.001722,0.001818,0.000674,0.900013,-0.544330,-0.614924,-0.178433,-0.532947,0.008343
01033,340699,0.091734,-0.030290,9.838951,0.002835,0.000303,0.002470,0.901952,-0.543011,-0.611848,-0.177572,-0.533269,0.008028
