PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Roll,Pitch,Yaw
00431,97519,0.359962,-0.222709,9.816729,0.002130,0.001675,0.002862,-0.501453,0.466644,-0.456220,-1.292902,-2.062100,0.000000
00432,97619,0.329404,-0.238335,9.809213,0.001751,0.001559,0.001653,-0.503392,0.465326,-0.459296,-1.288743,-2.060209,-0.000725
00433,97719,0.339686,-0.264446,9.808371,0.001732,0.000755,0.000026,-0.502934,0.469183,-0.456593,-1.287684,-2.059733,-0.001245
00434,97819,0.325992,-0.233917,9.844307,0.000935,0.001598,0.001892,-0.505526,0.469456,-0.451071,-1.289561,-2.062162,-0.002699
00435,97919,0.350808,-0.238948,9.818304,0.000574,0.000090,0.001892,-0.505554,0.469383,-0.449571,-1.292217,-2.066000,-0.004061
00436,98019,0.333136,-0.232262,9.835325,0.000891,0.001778,0.001829,-0.501477,0.469063,-0.454593,-1.292448,-2.064895,-0.002027
00437,98119,0.351131,-0.226097,9.823429,0.000919,0.002270,0.001445,-0.499444,0.465664,-0.457270,-1.289892,-2.061395,0.001104
00438,98219,0.325449,-0.250260,9.829491,0.003215,0.000801,0.000901,-0.504905,0.465800,-0.458271,-1.285638,-2.061119,-0.001344
00439,98319,0.337507,-0.239336,9.833083,0.001129,0.001295,0.000524,-0.504485,0.468564,-0.453620,-1.285889,-2.062191,-0.002879
00440,98419,0.347959,-0.225623,9.822849,0.000417,0.001675,0.002214,-0.505576,0.472799,-0.447894,-1.290977,-2.065819,-0.003509
00441,98519,0.357449,-0.237528,9.813590,0.000741,0.000071,0.002327,-0.500563,0.469328,-0.450070,-1.293329,-2.066947,0.000080
00442,98619,0.341898,-0.226851,9.836269,0.002215,0.002150,0.001858,-0.501496,0.468517,-0.453619,-1.292926,-2.066005,0.002086
00443,98719,0.353292,-0.235785,9.814980,0.001343,0.000654,0.000506,-0.501401,0.464796,-0.459320,-1.288866,-2.063647,0.002437
00444,98819,0.345342,-0.209977,9.810186,0.001108,-0.000117,0.001351,-0.501905,0.466773,-0.458719,-1.286185,-2.062275,0.003105
00445,98919,0.348970,-0.236081,9.811235,0.001181,0.002934,0.001885,-0.506390,0.470805,-0.458018,-1.285651,-2.061721,0.000639
00446,99019,0.342947,-0.249456,9.835931,-0.000033,0.001292,0.001842,-0.504019,0.471449,-0.451468,-1.288798,-2.063421,0.000860
00447,99119,0.337396,-0.248436,9.826960,0.000828,0.000240,0.001788,-0.503587,0.470774,-0.447995,-1.292520,-2.066764,0.001653
00448,99219,0.340124,-0.246540,9.816825,0.000326,-0.000665,0.000612,-0.503023,0.465977,-0.452248,-1.292503,-2.068624,0.001361
00449,99319,0.336870,-0.227184,9.815692,0.001235,0.002231,0.001041,-0.499439,0.468155,-0.457143,-1.291074,-2.065357,0.004406
00450,99419,0.348317,-0.249066,9.843499,0.000729,-0.000025,0.001507,-0.502421,0.466732,-0.457720,-1.289031,-2.064564,0.004730
00451,99519,0.345436,-0.241933,9.829392,0.001130,0.000579,0.003261,-0.506963,0.470621,-0.454019,-1.290037,-2.067031,0.002942
00452,99619,0.360346,-0.218951,9.814979,0.000555,0.000565,0.001371,-0.505524,0.470452,-0.451020,-1.292445,-2.069930,0.001506
00453,99719,0.344986,-0.241429,9.817306,0.001587,0.000958,0.000625,-0.505055,0.469874,-0.449546,-1.294553,-2.072889,0.000092
00454,99819,0.347013,-0.229707,9.838917,0.002439,-0.000432,0.001959,-0.503500,0.467528,-0.453171,-1.293682,-2.074483,0.000317
00455,99919,0.352233,-0.243445,9.832202,0.002114,0.000914,0.002405,-0.500956,0.466138,-0.456245,-1.291191,-2.072954,0.002656
00456,100019,0.342768,-0.245796,9.836415,0.001707,0.001036,0.002697,-0.500937,0.466684,-0.457219,-1.288827,-2.071026,0.005089
00457,100119,0.351782,-0.210169,9.830334,0.003421,0.002470,0.002461,-0.506476,0.469592,-0.453570,-1.288190,-2.072273,0.003155
00458,100219,0.334427,-0.232045,9.813705,0.001915,0.000265,0.001689,-0.504047,0.471377,-0.449969,-1.290638,-2.075006,0.003426
00459,100319,0.331231,-0.231452,9.827124,0.002933,0.001009,0.001582,-0.504527,0.470935,-0.450994,-1.291864,-2.077131,0.003055
00460,100419,0.335849,-0.211189,9.828187,0.000486,0.000417,0.002455,-0.502965,0.467118,-0.455196,-1.291145,-2.077231,0.003827
00461,100519,0.344160,-0.230315,9.837380,0.001326,0.000882,0.001509,-0.499436,0.464692,-0.457820,-1.287874,-2.074459,0.006657
00462,100619,0.347169,-0.231915,9.835274,0.000942,-0.000089,0.002260,-0.501359,0.467383,-0.461193,-1.284751,-2.071997,0.008179
00463,100719,0.336662,-0.239319,9.819397,0.001624,0.000155,0.001309,-0.503981,0.472044,-0.453442,-1.286261,-2.073524,0.008186
00464,100819,0.324354,-0.234008,9.814511,0.000185,0.002317,0.002035,-0.505520,0.472943,-0.450893,-1.289933,-2.075420,0.007555
00465,100919,0.347217,-0.224598,9.828584,0.000256,-0.000930,0.001650,-0.504055,0.471851,-0.449444,-1.293605,-2.078981,0.007927
00466,101019,0.349624,-0.231000,9.839991,0.000812,0.001474,0.003480,-0.502492,0.468533,-0.453620,-1.293938,-2.078854,0.009912
00467,101119,0.357819,-0.236730,9.840799,0.001177,0.003098,0.001457,-0.501953,0.465656,-0.456271,-1.291766,-2.076575,0.010615
00468,101219,0.344943,-0.221618,9.818199,0.000340,0.001352,0.000429,-0.504859,0.465422,-0.460795,-1.288245,-2.074998,0.007897
00469,101319,0.335680,-0.243538,9.827302,0.002748,0.000227,0.002006,-0.504986,0.467077,-0.453697,-1.286806,-2.076665,0.006775
