SampleTimeFine,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
213949,0.006079,0.046811,-0.01053,-19.068245,-75.615603,18.511799
214049,0.010773,0.061362,-0.008845,-18.98566,-75.594953,18.430984
214149,0.006024,0.060869,-0.008734,-18.907873,-75.57371,18.352796
214249,-0.012216,0.038998,-0.011889,-18.848908,-75.564082,18.283812
214349,-0.02702,0.021313,-0.013629,-18.806189,-75.562506,18.22455
214449,-0.025506,0.032336,-0.011341,-18.763556,-75.553806,18.164711
214549,-0.008217,0.046935,-0.017775,-18.691982,-75.536987,18.084537
214649,0.001022,0.051457,-0.017704,-18.610261,-75.516893,18.00053
214749,0.01199,0.042777,-0.012847,-18.538172,-75.500698,17.933181
214849,0.02944,0.025647,-0.009926,-18.479876,-75.491266,17.889136
214949,0.039871,0.006351,-0.007159,-18.434055,-75.491531,17.864803
215049,0.044602,-0.00946,-0.009318,-18.393732,-75.500328,17.848443
215149,0.046839,-0.007725,-0.01671,-18.335475,-75.50961,17.814753
215249,0.043566,0.009347,-0.027239,-18.245115,-75.51117,17.746114
215349,0.035178,0.038301,-0.03514,-18.123449,-75.498185,17.640134
215449,0.027509,0.057665,-0.033092,-17.997669,-75.474191,17.5253
215549,0.02213,0.069829,-0.029515,-17.874234,-75.442813,17.409855
215649,0.015695,0.070106,-0.026039,-17.762215,-75.410557,17.302359
215749,0.009825,0.06204,-0.020849,-17.670342,-75.381741,17.212173
215849,0.000284,0.051936,-0.01622,-17.600607,-75.357633,17.139179
215949,-0.01496,0.046989,-0.016925,-17.54139,-75.33633,17.068049
216049,-0.016274,0.0453,-0.022197,-17.473362,-75.316827,16.987016
216149,-0.003942,0.044977,-0.026071,-17.390608,-75.298116,16.898061
216249,0.009453,0.049363,-0.02753,-17.294654,-75.277192,16.803388
216349,0.02668,0.050985,-0.023501,-17.196432,-75.25463,16.716585
216449,0.041397,0.045606,-0.019397,-17.102098,-75.234289,16.642507
216549,0.045573,0.031638,-0.01586,-17.021907,-75.220974,16.585514
216649,0.049315,0.01214,-0.016059,-16.951622,-75.218333,16.540989
216749,0.053042,-0.009997,-0.02146,-16.881895,-75.228701,16.499257
216849,0.054398,-0.021951,-0.02403,-16.8135,-75.246045,16.459697
216949,0.052041,-0.028821,-0.028522,-16.741188,-75.267886,16.414698
217049,0.049384,-0.028102,-0.030273,-16.666183,-75.28959,16.365343
217149,0.044748,-0.03405,-0.025779,-16.606782,-75.31382,16.329374
217249,0.041319,-0.044973,-0.019363,-16.56948,-75.342978,16.314223
217349,0.038563,-0.059791,-0.019386,-16.542843,-75.380265,16.308473
217449,0.038823,-0.073867,-0.020531,-16.522427,-75.425475,16.309292
217549,0.040345,-0.089379,-0.022407,-16.506823,-75.479522,16.315977
217649,0.040698,-0.104822,-0.022649,-16.500154,-75.542084,16.33209
217749,0.037093,-0.114152,-0.021683,-16.503483,-75.609607,16.356385
217849,0.028688,-0.12428,-0.015896,-16.530596,-75.681761,16.400245
