SampleTimeFine,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
140819,-0.034449,-0.081425,-0.016348,-15.619913,-77.444548,15.264001
140919,-0.031229,-0.103838,-0.018556,-15.661167,-77.506054,15.288499
141019,-0.037068,-0.123121,-0.017728,-15.721762,-77.578054,15.329371
141119,-0.036411,-0.12807,-0.016616,-15.788922,-77.652592,15.377333
141219,-0.03305,-0.118725,-0.015432,-15.851126,-77.721773,15.422182
141319,-0.026851,-0.108394,-0.014016,-15.906433,-77.785026,15.463598
141419,-0.019123,-0.098239,-0.016606,-15.943682,-77.843087,15.491065
141519,-0.014096,-0.086391,-0.022643,-15.954066,-77.895571,15.493996
141619,-0.019184,-0.06415,-0.029564,-15.933173,-77.936893,15.46196
141719,-0.028657,-0.049037,-0.03381,-15.895458,-77.970551,15.407177
141819,-0.035607,-0.04617,-0.039187,-15.845478,-78.003458,15.335785
141919,-0.03591,-0.048651,-0.038237,-15.799698,-78.037565,15.268516
142019,-0.030382,-0.054952,-0.037101,-15.758079,-78.074949,15.208742
142119,-0.02374,-0.057457,-0.034229,-15.721738,-78.113249,15.158258
142219,-0.021385,-0.057535,-0.028272,-15.6995,-78.150653,15.12357
142319,-0.014137,-0.052358,-0.025108,-15.67745,-78.184701,15.09332
142419,-0.012477,-0.044457,-0.021604,-15.657741,-78.213838,15.066435
142519,-0.009047,-0.034954,-0.020539,-15.63177,-78.237555,15.035162
142619,-0.006591,-0.023831,-0.018277,-15.602072,-78.254773,15.00152
142719,-0.009598,-0.014997,-0.013322,-15.580645,-78.266348,14.974565
142819,-0.015789,-0.015548,-0.010632,-15.570259,-78.277812,14.955267
142919,-0.022187,-0.033313,-0.007067,-15.586155,-78.298532,14.95907
143019,-0.029896,-0.045859,-0.007377,-15.615016,-78.326217,14.9716
143119,-0.031294,-0.045995,-0.012589,-15.630918,-78.354769,14.970081
143219,-0.028287,-0.033347,-0.017516,-15.622429,-78.377088,14.945418
143319,-0.014997,-0.024668,-0.018809,-15.596279,-78.394808,14.9105
143419,-0.005391,-0.022991,-0.016324,-15.569969,-78.41122,14.881037
143519,-0.000468,-0.038937,-0.018853,-15.545902,-78.436828,14.856746
143619,0.000677,-0.050335,-0.021153,-15.523421,-78.469078,14.834744
143719,0.002184,-0.051273,-0.024207,-15.492396,-78.502301,14.804906
143819,-0.006877,-0.04169,-0.021731,-15.465952,-78.529834,14.774446
143919,-0.012982,-0.026065,-0.018807,-15.439098,-78.54827,14.74
144019,-0.014465,-0.014725,-0.014545,-15.416106,-78.559778,14.708629
144119,-0.019386,-0.007417,-0.016099,-15.386152,-78.567473,14.667279
144219,-0.020258,-0.010276,-0.01488,-15.362175,-78.576552,14.631516
144319,-0.016499,-0.011911,-0.012879,-15.342773,-78.586219,14.602615
144419,-0.008891,-0.009943,-0.010395,-15.324352,-78.594407,14.57916
144519,-0.003196,-0.013391,-0.006592,-15.315656,-78.603912,14.568956
144619,-0.007661,-0.018343,-0.007916,-15.30955,-78.616346,14.558786
144719,-0.019449,-0.012487,-0.008884,-15.303056,-78.625681,14.541333
144819,-0.023514,0.009979,-0.00691,-15.287368,-78.622296,14.512131
144919,-0.026567,0.039925,-0.008416,-15.2469,-78.602584,14.455864
145019,-0.032282,0.048335,-0.007903,-15.205054,-78.578147,14.394846
145119,-0.032973,0.03851,-0.006856,-15.174013,-78.558975,14.344441
145219,-0.034783,0.00947,-0.005383,-15.169689,-78.555622,14.320232
145319,-0.024446,-0.016405,0.002119,-15.199172,-78.565431,14.336551
145419,-0.005234,-0.004338,0.008546,-15.226251,-78.567587,14.361656
145519,0.00713,0.012307,0.012187,-15.243784,-78.559995,14.384246
145619,0.005072,0.019373,0.014851,-15.264442,-78.548097,14.408824
145719,-0.001554,0.025555,0.017217,-15.29062,-78.532423,14.435168
145819,-0.009334,0.02563,0.015786,-15.317202,-78.516921,14.457374
145919,-0.014822,0.014069,0.014402,-15.351671,-78.508017,14.484427
146019,-0.01673,-3.9e-05,0.009693,-15.38489,-78.507628,14.509092
146119,-0.016687,-0.014418,0.005084,-15.416264,-78.515887,14.5319
146219,-0.020202,-0.024249,0.000948,-15.445731,-78.53022,14.55071
146319,-0.02813,-0.027016,-0.005778,-15.463465,-78.547115,14.552917
146419,-0.028956,-0.02153,-0.013032,-15.457688,-78.562092,14.53066
146519,-0.030612,-0.01268,-0.017806,-15.43312,-78.572899,14.488259
146619,-0.028891,-0.000191,-0.020798,-15.389966,-78.577245,14.427903
146719,-0.02643,0.007123,-0.022693,-15.334793,-78.577824,14.356722
146819,-0.027506,-0.00351,-0.020816,-15.293435,-78.583991,14.298998
146919,-0.025395,-0.023517,-0.015452,-15.280549,-78.600402,14.271554
147019,-0.020225,-0.045812,-0.008352,-15.30093,-78.628064,14.281062
147119,-0.013834,-0.0557,-0.005387,-15.333324,-78.660742,14.306563
147219,-0.014658,-0.057601,-0.00616,-15.36563,-78.694582,14.331486
147319,-0.018116,-0.042789,-0.010695,-15.376179,-78.720922,14.332205
147419,-0.026875,-0.029564,-0.01184,-15.378482,-78.740133,14.319397
147519,-0.03511,-0.017181,-0.014568,-15.368436,-78.752921,14.289193
147619,-0.038225,-0.014944,-0.017052,-15.351532,-78.764857,14.250174
147719,-0.038967,-0.028009,-0.01401,-15.353457,-78.783557,14.229921
147819,-0.038652,-0.045782,-0.010421,-15.378834,-78.811537,14.233759
147919,-0.033821,-0.057647,-0.008937,-15.41482,-78.845854,14.251232
148019,-0.03203,-0.062266,-0.00659,-15.460124,-78.882358,14.279246
148119,-0.028738,-0.055417,-0.006364,-15.499078,-78.915034,14.302706
148219,-0.024823,-0.044987,-0.009247,-15.519671,-78.942382,14.309739
148319,-0.019877,-0.031703,-0.010854,-15.522546,-78.962639,14.301603
148419,-0.015598,-0.024645,-0.00903,-15.522613,-78.978716,14.293105
148519,-0.016122,-0.031518,-0.004705,-15.540689,-78.997925,14.302645
148619,-0.023569,-0.042943,-0.002818,-15.577469,-79.023153,14.326894
148719,-0.029097,-0.05272,-6.6e-05,-15.633144,-79.05335,14.367163
148819,-0.032252,-0.058629,-0.000997,-15.692904,-79.086945,14.40975
148919,-0.033648,-0.059174,-0.002571,-15.749654,-79.121075,14.448455
149019,-0.024863,-0.051368,-0.010085,-15.773665,-79.152058,14.458946
149119,-0.015955,-0.036781,-0.014418,-15.768307,-79.175667,14.444729
149219,-0.003621,-0.023612,-0.020967,-15.726273,-79.193025,14.400363
149319,0.003755,-0.0216,-0.020251,-15.680439,-79.209151,14.356428
149419,0.009152,-0.025827,-0.015538,-15.648627,-79.226866,14.32991
149519,0.015326,-0.037037,-0.008744,-15.642147,-79.249709,14.332776
149619,0.018095,-0.046889,0.002907,-15.676096,-79.276181,14.378403
149719,0.017826,-0.053445,0.008416,-15.731842,-79.305405,14.446054
149819,0.013758,-0.048903,0.009221,-15.78876,-79.331985,14.512523
149919,0.005926,-0.039331,0.009052,-15.8419,-79.353307,14.570581
150019,-0.008339,-0.034556,0.00631,-15.891297,-79.372423,14.616515
150119,-0.020516,-0.02635,0.003638,-15.933024,-79.387433,14.647548
150219,-0.027853,-0.019596,-0.003188,-15.953268,-79.399789,14.652447
150319,-0.030938,-0.013073,-0.010543,-15.948177,-79.409703,14.629771
150419,-0.031636,-0.009824,-0.009729,-15.943184,-79.417689,14.606786
150519,-0.026919,-0.01065,-0.006406,-15.946004,-79.425602,14.594498
150619,-0.02002,-0.01449,-0.000311,-15.966082,-79.434668,14.603788
150719,-0.014521,-0.01776,0.002402,-15.993748,-79.445111,14.624005
150819,-0.012665,-0.024983,-8.5e-05,-16.019077,-79.459929,14.642929
150919,-0.014144,-0.029381,-0.008461,-16.024158,-79.478498,14.640399
151019,-0.019278,-0.029798,-0.015373,-16.011992,-79.498386,14.617337
151119,-0.023106,-0.033898,-0.017215,-15.999991,-79.520809,14.592211
151219,-0.025659,-0.02632,-0.023652,-15.963741,-79.540058,14.54094
151319,-0.035109,-0.022101,-0.025225,-15.924526,-79.557204,14.481146
151419,-0.049287,-0.015997,-0.013343,-15.923689,-79.5691,14.452118
151519,-0.046775,0.002657,-0.003077,-15.93616,-79.569096,14.438087
151619,-0.03932,0.026646,-0.001604,-15.928254,-79.555653,14.407679
151719,-0.04647,0.023715,0.002535,-15.939311,-79.543188,14.39239
