SampleTimeFine,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
134859,-0.007239,-0.007549,0.003589,-22.518594,-77.914159,22.067848
134959,0.00156,-0.002313,-0.002679,-22.510351,-77.916973,22.06081
135059,0.009555,0.00468,-0.005411,-22.48365,-77.916685,22.039578
135159,0.012622,0.001768,-0.005686,-22.457548,-77.918005,22.020753
135259,0.008008,-0.002455,-0.000867,-22.45037,-77.920506,22.018574
135359,0.006888,-0.01032,0.000631,-22.455596,-77.926852,22.028424
135459,0.003528,-0.021286,0.004552,-22.483716,-77.938154,22.059715
135559,0.001157,-0.032025,0.005823,-22.527412,-77.954865,22.105546
135659,0.005812,-0.03067,0.004923,-22.564912,-77.971057,22.147764
135759,0.009752,-0.023527,0.001963,-22.585498,-77.984113,22.174995
135859,0.016286,-0.009885,-0.001252,-22.580294,-77.99066,22.179683
135959,0.015045,0.001707,-0.0022,-22.561482,-77.991282,22.169733
136059,0.009037,0.012825,0.001044,-22.542713,-77.985307,22.156305
136159,0.000677,0.009301,0.003756,-22.539148,-77.980606,22.153521
136259,-0.002706,-0.005476,0.007091,-22.560997,-77.983,22.174748
136359,-0.00423,-0.031821,0.007398,-22.611757,-77.999267,22.224633
136459,-0.002735,-0.036616,0.003754,-22.657643,-78.018864,22.270412
136559,-0.003743,-0.024546,0.000755,-22.68418,-78.032744,22.295819
136659,-0.008164,-0.010093,-0.003878,-22.686655,-78.040002,22.294041
136759,-0.015928,-0.001816,-0.004083,-22.684442,-78.042929,22.282922
136859,-0.008779,0.015202,-0.000247,-22.669957,-78.036026,22.263447
136959,-0.005761,0.022926,-0.0008,-22.644306,-78.02516,22.234329
137059,-0.007455,0.020633,-0.00649,-22.607905,-78.016761,22.193221
137159,-0.012652,0.020457,-0.008877,-22.568754,-78.008984,22.146259
137259,-0.027914,0.018045,-0.010367,-22.537177,-78.00279,22.098101
137359,-0.031137,0.018003,-0.008648,-22.511823,-77.996237,22.054415
137459,-0.032746,0.032751,-0.008003,-22.473836,-77.981734,21.996874
137559,-0.032178,0.046417,-0.004399,-22.430587,-77.959205,21.934279
137659,-0.025346,0.044861,-0.00448,-22.385006,-77.937534,21.873295
137759,-0.019472,0.02559,-0.010008,-22.34206,-77.927278,21.818455
137859,-0.023849,0.006976,-0.011928,-22.315798,-77.927309,21.778106
137959,-0.03316,-0.017739,-0.020906,-22.297633,-77.942404,21.740593
138059,-0.037957,-0.038414,-0.030894,-22.278361,-77.970633,21.699138
138159,-0.037468,-0.042143,-0.038927,-22.242422,-78.002569,21.640937
138259,-0.029803,-0.033227,-0.043241,-22.181993,-78.030685,21.562189
138359,-0.015667,-0.016993,-0.042623,-22.098148,-78.050028,21.467796
138459,-0.00469,-0.001644,-0.040543,-21.99742,-78.06074,21.362574
138559,-0.008189,0.005403,-0.033826,-21.90826,-78.06621,21.267131
138659,-0.016195,0.003868,-0.028988,-21.837365,-78.071437,21.185665
138759,-0.025071,0.001522,-0.025376,-21.782907,-78.077123,21.115814
138859,-0.035756,0.002618,-0.023049,-21.739335,-78.081706,21.050823
138959,-0.038822,0.011069,-0.02256,-21.690241,-78.081664,20.978396
139059,-0.030718,0.020091,-0.022488,-21.627665,-78.076785,20.896935
