SampleTimeFine,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
329799,-0.000258,0.000582,0.002346,-0.175207,-0.537998,0.0
329899,0.002524,0.002623,0.0014,-0.174328,-0.536947,0.001004
329999,0.000986,0.001922,0.002176,-0.174381,-0.536444,0.002081
330099,0.001288,0.000712,0.002103,-0.17432,-0.536341,0.001924
330199,0.00275,0.000731,0.002135,-0.173383,-0.536085,0.002913
330299,0.001151,-0.000165,0.001285,-0.173543,-0.536955,0.003678
330399,-0.000329,0.000709,0.002084,-0.174387,-0.537145,0.004352
330499,0.000767,-0.000299,0.000735,-0.174582,-0.537717,0.003644
330599,0.002856,-0.000103,0.002901,-0.173632,-0.538078,0.004724
330699,-1.8e-05,0.00065,0.000363,-0.174242,-0.53818,0.004433
330799,0.000736,0.000743,0.001578,-0.174663,-0.538398,0.004008
330899,0.000339,0.001085,0.002639,-0.175343,-0.538273,0.003219
330999,0.001112,0.000459,0.002365,-0.175488,-0.538916,0.004049
331099,0.001026,0.003003,0.001672,-0.175577,-0.537599,0.004331
331199,0.000982,-0.000465,0.002474,-0.175689,-0.538215,0.004341
331299,0.002653,0.002039,0.002446,-0.174895,-0.537665,0.004203
331399,0.000976,0.001259,0.002641,-0.175062,-0.537443,0.004646
331499,0.001928,0.001984,0.002205,-0.174632,-0.536616,0.004515
331599,0.001238,0.000498,0.001561,-0.174916,-0.536955,0.00324
331699,0.002475,0.000513,0.002074,-0.174131,-0.536924,0.003352
331799,0.001185,0.001425,0.001234,-0.173918,-0.536779,0.005351
331899,0.001646,0.002372,0.002121,-0.173662,-0.535831,0.005851
331999,0.001343,0.000389,0.001114,-0.173934,-0.536359,0.00508
332099,0.002004,0.001069,0.00227,-0.173597,-0.536348,0.005375
332199,0.000538,5.9e-05,0.000631,-0.174337,-0.537345,0.004129
332299,0.002356,0.001456,0.001459,-0.173776,-0.536897,0.002992
332399,0.000625,-0.000303,0.00296,-0.174063,-0.537452,0.003908
332499,0.001997,1.5e-05,0.002653,-0.173734,-0.538203,0.003975
332599,0.000426,0.001073,0.003335,-0.174481,-0.538561,0.005624
332699,0.001924,3.9e-05,0.002168,-0.174239,-0.539391,0.006486
332799,0.000689,0.003202,0.003036,-0.174606,-0.537959,0.006877
332899,0.002465,0.000457,0.003767,-0.174083,-0.538312,0.007025
332999,0.000217,0.000972,0.0003,-0.174685,-0.538468,0.006355
333099,-0.000433,0.001443,0.0028,-0.175604,-0.537971,0.005461
333199,0.001916,0.003678,0.000806,-0.175346,-0.536581,0.004241
333299,0.001067,0.001854,0.00196,-0.175571,-0.53612,0.00339
333399,0.00057,0.001589,0.002203,-0.176027,-0.535996,0.004534
333499,-0.000348,-0.000105,0.001776,-0.176946,-0.536513,0.005101
333599,0.001301,0.000218,0.002126,-0.17689,-0.536937,0.006159
333699,0.001186,0.001363,0.002799,-0.177102,-0.536938,0.006768
333799,0.001694,-6e-06,0.002788,-0.177159,-0.537584,0.006241
333899,0.000471,0.000749,0.003233,-0.177733,-0.537769,0.00708
333999,0.001412,-8.9e-05,0.00085,-0.177444,-0.538179,0.007898
334099,0.00014,0.001554,0.000625,-0.17798,-0.537996,0.008949
334199,0.000468,0.00126,0.002898,-0.178362,-0.537838,0.009684
334299,0.00065,-0.000587,0.002399,-0.17879,-0.538876,0.009609
334399,0.000756,0.000283,0.000647,-0.179071,-0.539279,0.009883
334499,0.001539,0.00034,0.001693,-0.178873,-0.539669,0.010693
334599,0.003063,0.002514,0.002078,-0.177777,-0.538426,0.010142
334699,0.001485,0.000393,0.002681,-0.177807,-0.538952,0.01032
334799,-0.000367,0.000823,0.001645,-0.178539,-0.538813,0.01131
334899,0.003124,0.002414,0.001192,-0.177652,-0.538074,0.010783
334999,0.001689,0.000836,0.003716,-0.177573,-0.538347,0.012273
335099,0.001968,-0.00056,0.000708,-0.177145,-0.539009,0.012031
335199,0.00062,0.001059,0.001451,-0.177468,-0.538903,0.012759
335299,0.00076,0.001076,0.002484,-0.177835,-0.539129,0.01252
335399,0.001197,0.000445,0.001785,-0.177799,-0.539531,0.013223
335499,0.001342,0.00038,0.002687,-0.177898,-0.539993,0.013052
335599,0.001222,0.001612,0.001798,-0.178085,-0.539615,0.011447
335699,0.000605,-0.000147,0.001035,-0.178526,-0.540379,0.010943
335799,0.000565,0.001792,0.001387,-0.179184,-0.540306,0.009788
335899,0.00215,0.002565,0.00195,-0.178556,-0.539288,0.011298
335999,0.002012,0.000295,0.000873,-0.178087,-0.539417,0.009702
336099,0.001293,0.002953,0.001152,-0.178145,-0.538547,0.009904
336199,0.00239,0.000673,-1e-05,-0.177589,-0.538784,0.008912
336299,0.001982,0.001836,0.001225,-0.177398,-0.538648,0.007993
336399,0.000784,0.002701,0.002438,-0.177767,-0.538078,0.009223
336499,0.000694,0.00146,0.00049,-0.178055,-0.537529,0.008483
336599,0.000707,0.000221,0.000689,-0.178434,-0.538138,0.007787
336699,0.000885,0.000555,0.001359,-0.178814,-0.538511,0.006657
336799,0.000828,0.00102,0.00119,-0.179135,-0.538815,0.006562
336899,0.00135,0.001199,0.001868,-0.179241,-0.538751,0.005418
336999,0.001102,0.001452,0.000604,-0.179237,-0.538517,0.005207
337099,0.001066,0.000527,0.001972,-0.179404,-0.538901,0.00465
337199,0.001756,0.002716,0.001874,-0.179109,-0.538011,0.00493
337299,0.001486,0.000432,0.0027,-0.179079,-0.538451,0.00516
337399,0.001739,0.000434,0.002535,-0.178665,-0.538904,0.006927
337499,0.001491,0.001637,0.000475,-0.178729,-0.538705,0.005669
337599,0.000306,0.001846,0.002787,-0.179252,-0.538068,0.006153
337699,-0.00099,0.001492,0.003526,-0.180779,-0.538207,0.007906
337799,0.001587,-0.000199,0.001531,-0.180456,-0.538758,0.008185
337899,0.002844,0.004038,0.001815,-0.179408,-0.537149,0.009503
337999,0.001046,0.001566,0.002147,-0.179625,-0.536899,0.009388
338099,0.001491,0.002613,0.001316,-0.179748,-0.536409,0.008923
338199,0.000443,0.002591,0.002383,-0.180391,-0.535708,0.009024
338299,0.001555,0.00049,0.000884,-0.180105,-0.536094,0.009548
338399,0.001992,0.00173,0.002147,-0.179424,-0.535155,0.009783
338499,0.000598,0.002489,0.002571,-0.179939,-0.534038,0.008785
338599,0.001823,0.000145,0.001448,-0.179786,-0.534744,0.008364
338699,0.001922,0.001782,0.002113,-0.179751,-0.534905,0.008462
338799,0.000252,0.002442,0.003185,-0.180494,-0.534506,0.009927
338899,0.000871,0.001312,0.001688,-0.180701,-0.534341,0.010074
338999,0.001359,0.003586,0.001517,-0.18078,-0.5331,0.009627
339099,0.002687,0.000403,0.002306,-0.179864,-0.53324,0.010056
339199,0.002231,0.00233,0.000543,-0.179299,-0.53261,0.009852
339299,0.001194,0.002589,0.00087,-0.179554,-0.532165,0.009099
339399,0.002623,0.000794,0.001193,-0.178914,-0.532614,0.008467
339499,0.000932,0.001532,0.000641,-0.179137,-0.532275,0.007145
339599,0.001616,0.001519,0.001473,-0.178896,-0.532153,0.007777
339699,0.001622,0.001932,0.001708,-0.178842,-0.532037,0.0081
339799,0.001503,0.000436,0.002241,-0.178977,-0.532654,0.007612
339899,0.000814,0.000996,0.002712,-0.179447,-0.533007,0.007645
339999,0.00185,0.002165,0.002647,-0.179185,-0.532535,0.009042
340099,0.003093,0.000309,0.002494,-0.178181,-0.532873,0.009082
340199,0.00144,-0.000403,0.001543,-0.17786,-0.533667,0.009855
340299,0.002231,0.001226,0.002416,-0.17729,-0.533603,0.009753
340399,0.001636,0.001399,0.002032,-0.177308,-0.533622,0.008765
340499,-0.000195,0.003144,0.002485,-0.178508,-0.532939,0.008527
340599,0.001722,0.001818,0.000674,-0.178433,-0.532947,0.008343
340699,0.002835,0.000303,0.00247,-0.177572,-0.533269,0.008028
340799,0.001607,0.000953,0.000874,-0.177355,-0.5333,0.007972
340899,0.001954,0.002313,0.002892,-0.177215,-0.532961,0.008177
340999,0.000938,0.000614,0.002393,-0.177642,-0.53347,0.008054
341099,0.000353,0.001481,0.001681,-0.178415,-0.533605,0.008165
341199,0.000375,-0.001115,0.001454,-0.17903,-0.534907,0.00681
341299,0.002948,-0.000601,0.002204,-0.177846,-0.535519,0.007003
341399,0.000442,0.001073,0.001201,-0.178328,-0.535519,0.00686
341499,0.000882,0.000763,0.002655,-0.178565,-0.535712,0.007291
341599,0.002391,0.003889,0.003622,-0.178172,-0.534176,0.006941
341699,0.001258,0.002337,0.002888,-0.178501,-0.533881,0.007016
341799,0.000337,0.001997,0.002134,-0.179148,-0.533382,0.006858
341899,0.001696,0.000408,0.002391,-0.179089,-0.53406,0.008087
341999,0.001862,0.00203,0.001692,-0.178645,-0.533146,0.006852
342099,0.001531,0.002036,0.002003,-0.178577,-0.532646,0.00666
342199,-0.000735,0.000337,0.003127,-0.179603,-0.53272,0.007251
342299,0.001604,-0.000551,0.003281,-0.179785,-0.534217,0.007756
342399,0.001176,0.000971,0.002082,-0.179739,-0.534128,0.008427
342499,0.000598,0.000974,0.002,-0.180145,-0.534266,0.008785
342599,0.000853,0.000201,0.001566,-0.180362,-0.534565,0.008098
342699,0.001544,0.000588,0.001576,-0.180086,-0.534615,0.007919
342799,0.000315,0.0018,0.001995,-0.180621,-0.534494,0.009283
342899,0.001356,0.001853,0.00363,-0.180555,-0.53422,0.011423
342999,0.001683,0.000736,0.001588,-0.180356,-0.534157,0.010442
343099,0.002055,0.001907,0.002305,-0.179854,-0.533854,0.012062
343199,0.000198,0.000317,0.001946,-0.180435,-0.534186,0.012211
343299,0.00247,0.001517,0.002164,-0.179693,-0.533651,0.012078
343399,0.002744,0.000874,0.001228,-0.178844,-0.533712,0.01107
343499,0.000997,0.001776,0.002526,-0.179121,-0.533421,0.011199
343599,0.0022,0.000709,0.001612,-0.178578,-0.533733,0.011331
343699,0.000832,0.000323,0.002615,-0.178725,-0.53392,0.01245
343799,0.002067,0.001758,0.002454,-0.178407,-0.533779,0.012896
343899,0.001531,-0.000101,0.002868,-0.17823,-0.534353,0.013541
343999,0.00095,0.002736,0.002317,-0.178574,-0.533594,0.013344
344099,0.000574,0.001448,0.002252,-0.179255,-0.533777,0.013547
344199,0.002225,0.001997,0.002168,-0.178472,-0.53292,0.014827
344299,0.001615,0.003727,0.002816,-0.178405,-0.531595,0.014635
344399,0.000883,0.001916,0.002128,-0.178641,-0.531338,0.015136
344499,0.001418,0.000692,0.001187,-0.178751,-0.531778,0.014817
344599,0.000756,0.001116,0.001573,-0.17914,-0.531713,0.013738
344699,0.000956,0.000961,0.003064,-0.179628,-0.531906,0.013154
344799,0.001257,0.001906,0.002273,-0.179588,-0.531202,0.01303
344899,0.001517,-0.000622,0.001155,-0.179407,-0.532064,0.012409
344999,0.000712,-0.001863,0.002095,-0.179766,-0.533904,0.013314
345099,0.002536,0.001168,0.002683,-0.178856,-0.53349,0.013792
345199,0.004051,0.001034,0.002105,-0.177308,-0.533713,0.014723
345299,0.001392,0.000394,0.002282,-0.177363,-0.534213,0.015164
345399,0.000155,-2.9e-05,0.001069,-0.178013,-0.534869,0.015087
345499,0.001414,0.000115,0.001854,-0.177815,-0.535391,0.015421
345599,0.0036,0.001417,0.002687,-0.176396,-0.535093,0.016392
345699,0.001716,0.001735,0.001973,-0.17619,-0.534952,0.017252
345799,0.00086,-0.000982,0.000901,-0.176408,-0.536381,0.017745
345899,-0.000168,0.002271,0.002651,-0.177151,-0.535459,0.017597
345999,0.001411,0.002411,0.001222,-0.1771,-0.534644,0.016799
346099,0.00226,0.001745,0.000733,-0.176501,-0.534189,0.016452
346199,0.00234,0.001735,0.001679,-0.175963,-0.533865,0.016007
346299,-0.000245,0.001527,0.00069,-0.176779,-0.533403,0.015287
346399,0.000986,0.000386,0.002697,-0.176948,-0.533728,0.015832
346499,0.001055,0.001458,0.00293,-0.177258,-0.533663,0.016233
346599,0.00052,-0.000758,0.003181,-0.177704,-0.534736,0.016865
346699,0.002015,0.001754,0.002568,-0.177266,-0.534181,0.016991
346799,0.001808,0.002474,0.00067,-0.176933,-0.533182,0.016005
346899,0.003251,0.000371,0.003085,-0.175735,-0.533436,0.016657
346999,0.00069,0.000577,0.002066,-0.176217,-0.533875,0.016308
347099,0.00075,0.001096,0.001138,-0.176525,-0.534079,0.016648
347199,0.001248,0.00092,0.002515,-0.176603,-0.533936,0.015989
347299,0.001298,0.002076,0.002437,-0.176644,-0.53343,0.016934
347399,0.00207,0.001663,0.001813,-0.17613,-0.533062,0.016942
347499,0.001462,0.001262,0.002845,-0.176052,-0.533041,0.018133
347599,0.001466,-5e-06,0.001158,-0.175901,-0.533742,0.01833
347699,-0.000605,0.001206,0.00273,-0.177013,-0.533619,0.018911
347799,0.000137,0.000904,0.002138,-0.177653,-0.533612,0.018592
347899,0.001202,0.000851,0.001006,-0.177881,-0.533821,0.017643
347999,0.001159,0.000761,0.00211,-0.177886,-0.53378,0.016966
348099,0.002285,0.002168,0.001735,-0.177386,-0.533283,0.016645
348199,0.003306,0.001729,0.001524,-0.176237,-0.532978,0.016818
348299,0.001937,0.001693,0.001582,-0.17598,-0.532796,0.017153
348399,0.001966,0.000762,0.002893,-0.175701,-0.532923,0.016903
348499,0.001061,0.000934,0.001644,-0.175798,-0.533035,0.016407
348599,0.002289,0.00141,0.002407,-0.175303,-0.53281,0.01587
348699,0.001812,0.00083,0.002957,-0.175017,-0.532856,0.015796
348799,0.000949,0.000308,0.001414,-0.17548,-0.533716,0.016068
348899,0.00277,0.002781,0.002486,-0.174778,-0.533075,0.017278
348999,0.002434,0.0016,0.001107,-0.17408,-0.532897,0.017452
349099,0.002576,0.004453,0.002688,-0.173369,-0.531113,0.017889
349199,0.001661,0.002133,0.001972,-0.173179,-0.530316,0.016918
349299,0.000293,-0.001222,0.003683,-0.173735,-0.531665,0.018039
349399,0.000698,0.000797,0.003167,-0.174378,-0.53198,0.016835
349499,-0.000257,0.000674,0.001221,-0.175282,-0.532194,0.016252
349599,0.001039,0.001516,-0.000115,-0.175441,-0.532127,0.015613
349699,0.001453,0.001402,0.002003,-0.175207,-0.531533,0.014176
349799,0.000553,0.001736,0.001164,-0.175738,-0.531206,0.013227
349899,-1e-05,0.00114,0.001488,-0.176434,-0.531114,0.013135
349999,0.002773,0.000496,0.001285,-0.175505,-0.531408,0.012645
350099,0.002853,0.001666,0.002649,-0.174616,-0.530985,0.012404
350199,0.002456,0.001562,0.001772,-0.174028,-0.53074,0.011805
