SampleTimeFine,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw,Gyr_Z(rad/sec),Heading (rad) 
108178,0.069135,-0.106102,-0.012213,-12.578278,-84.213164,12.516202,-0.000213153,0.218407725
108278,0.062059,-0.096989,-0.007169,-12.612152,-84.268721,12.585861,-0.000125121,0.219623274
108378,0.050518,-0.088976,-0.006178,-12.648514,-84.319671,12.651372,-0.000107825,0.220766441
108478,0.035198,-0.087277,-0.006513,-12.689971,-84.369701,12.713181,-0.000113671,0.221845008
108578,0.030871,-0.087124,-0.007674,-12.727436,-84.419773,12.768486,-0.000133934,0.222810081
108678,0.024898,-0.08509,-0.004176,-12.786191,-84.468239,12.84174,-7.28837E-05,0.224088363
108778,0.012369,-0.075195,0.002049,-12.87592,-84.510352,12.938895,3.57612E-05,0.225783718
108878,0.005467,-0.051631,0.009182,-12.980584,-84.538357,13.047079,0.000160253,0.227671529
108978,0.002721,-0.033364,0.023202,-13.144657,-84.554308,13.213359,0.000404945,0.230573115
109078,0.000505,-0.013735,0.030597,-13.32651,-84.558287,13.396227,0.000534009,0.233764161
109178,-0.013864,-4.40E-05,0.035392,-13.525018,-84.553943,13.587558,0.000617697,0.237102887
109278,-0.043413,0.002718,0.036049,-13.739336,-84.547911,13.777772,0.000629163,0.240422121
109378,-0.069778,0.005613,0.03442,-13.953928,-84.540422,13.953093,0.000600732,0.243481473
109478,-0.094257,0.010236,0.033558,-14.169516,-84.530413,14.115334,0.000585688,0.246312578
109578,-0.124942,0.017122,0.029744,-14.369109,-84.517055,14.243854,0.000519122,0.248555252
109678,-0.146707,0.020112,0.027324,-14.561477,-84.502338,14.352593,0.000476886,0.250452748
109778,-0.157568,0.020088,0.026705,-14.755408,-84.487685,14.456657,0.000466082,0.252268665
109878,-0.143231,0.008254,0.022921,-14.93651,-84.480105,14.556088,0.00040004,0.254003736
109978,-0.115296,-0.004501,0.017669,-15.090737,-84.480331,14.6446,0.000308377,0.25554827
110078,-0.083175,-0.010175,0.008881,-15.185111,-84.484983,14.691469,0.000155,0.256366134
110178,-0.0514,0.006359,0.001981,-15.196281,-84.481508,14.673036,3.45744E-05,0.256044478
110278,-0.03689,0.046707,-0.001661,-15.116244,-84.456241,14.57132,-2.89894E-05,0.254269534
110378,-0.044172,0.085959,-0.003261,-14.972891,-84.409451,14.401788,-5.69142E-05,0.251311201
110478,-0.061756,0.104289,0.001238,-14.840524,-84.35179,14.233154,2.16068E-05,0.248368537
110578,-0.071837,0.108972,0.012889,-14.774939,-84.28978,14.12581,0.000224952,0.246495385
110678,-0.071395,0.103292,0.0244,-14.782346,-84.229211,14.092069,0.000425853,0.245906604
110778,-0.068191,0.093776,0.029257,-14.828181,-84.173188,14.098797,0.000510622,0.246024008
110878,-0.058581,0.084711,0.024047,-14.852984,-84.122938,14.08992,0.000419692,0.245869104
110978,-0.036695,0.091482,0.014042,-14.802348,-84.070389,14.017807,0.000245075,0.244610732
111078,-0.01341,0.1151,0.002614,-14.646537,-84.006385,13.853354,4.56221E-05,0.241741027
111178,-0.003979,0.157089,-0.006647,-14.384061,-83.920336,13.587054,-0.00011601,0.237094092
111278,-0.010012,0.194658,-0.009255,-14.070507,-83.813632,13.26586,-0.000161528,0.231489257
111378,-0.027709,0.216853,-0.016811,-13.712255,-83.695416,12.889436,-0.000293402,0.224920658
111478,-0.047119,0.218767,-0.012683,-13.396704,-83.575339,12.544706,-0.000221356,0.21890512
111578,-0.062003,0.21632,-0.006256,-13.135725,-83.455586,12.246238,-0.000109186,0.213696853
111678,-0.065283,0.213108,-0.002712,-12.907129,-83.33701,11.97841,-4.73325E-05,0.209023255
