SampleTimeFine,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw,Yaw (rad),Reference,,,
97519,0.00213,0.001675,0.002862,-1.292902,-2.0621,0,0,0,,variance,0.000226943
97619,0.001751,0.001559,0.001653,-1.288743,-2.060209,-0.000725,-1.26513E-05,0,,variance deg,0.745291973
97719,0.001732,0.000755,2.60E-05,-1.287684,-2.059733,-0.001245,-2.17253E-05,0,,,
97819,0.000935,0.001598,0.001892,-1.289561,-2.062162,-0.002699,-4.70976E-05,0,,,
97919,0.000574,9.00E-05,0.001892,-1.292217,-2.066,-0.004061,-7.08645E-05,0,,,
98019,0.000891,0.001778,0.001829,-1.292448,-2.064895,-0.002027,-3.53712E-05,0,,,
98119,0.000919,0.00227,0.001445,-1.289892,-2.061395,0.001104,1.92648E-05,0,,,
98219,0.003215,0.000801,0.000901,-1.285638,-2.061119,-0.001344,-2.34528E-05,0,,,
98319,0.001129,0.001295,0.000524,-1.285889,-2.062191,-0.002879,-5.02386E-05,0,,,
98419,0.000417,0.001675,0.002214,-1.290977,-2.065819,-0.003509,-6.12321E-05,0,,,
98519,0.000741,7.10E-05,0.002327,-1.293329,-2.066947,8.00E-05,0.000001396,0,,,
98619,0.002215,0.00215,0.001858,-1.292926,-2.066005,0.002086,3.64007E-05,0,,,
98719,0.001343,0.000654,0.000506,-1.288866,-2.063647,0.002437,4.25257E-05,0,,,
98819,0.001108,-0.000117,0.001351,-1.286185,-2.062275,0.003105,5.41823E-05,0,,,
98919,0.001181,0.002934,0.001885,-1.285651,-2.061721,0.000639,1.11506E-05,0,,,
99019,-3.30E-05,0.001292,0.001842,-1.288798,-2.063421,0.00086,0.000015007,0,,,
99119,0.000828,0.00024,0.001788,-1.29252,-2.066764,0.001653,2.88449E-05,0,,,
99219,0.000326,-0.000665,0.000612,-1.292503,-2.068624,0.001361,2.37495E-05,0,,,
99319,0.001235,0.002231,0.001041,-1.291074,-2.065357,0.004406,7.68847E-05,0,,,
99419,0.000729,-2.50E-05,0.001507,-1.289031,-2.064564,0.00473,8.25385E-05,0,,,
99519,0.00113,0.000579,0.003261,-1.290037,-2.067031,0.002942,5.13379E-05,0,,,
99619,0.000555,0.000565,0.001371,-1.292445,-2.06993,0.001506,2.62797E-05,0,,,
99719,0.001587,0.000958,0.000625,-1.294553,-2.072889,9.20E-05,1.6054E-06,0,,,
99819,0.002439,-0.000432,0.001959,-1.293682,-2.074483,0.000317,5.53165E-06,0,,,
99919,0.002114,0.000914,0.002405,-1.291191,-2.072954,0.002656,4.63472E-05,0,,,
100019,0.001707,0.001036,0.002697,-1.288827,-2.071026,0.005089,8.88031E-05,0,,,
100119,0.003421,0.00247,0.002461,-1.28819,-2.072273,0.003155,5.50548E-05,0,,,
100219,0.001915,0.000265,0.001689,-1.290638,-2.075006,0.003426,5.97837E-05,0,,,
100319,0.002933,0.001009,0.001582,-1.291864,-2.077131,0.003055,5.33098E-05,0,,,
100419,0.000486,0.000417,0.002455,-1.291145,-2.077231,0.003827,6.67812E-05,0,,,
100519,0.001326,0.000882,0.001509,-1.287874,-2.074459,0.006657,0.000116165,0,,,
100619,0.000942,-8.90E-05,0.00226,-1.284751,-2.071997,0.008179,0.000142724,0,,,
100719,0.001624,0.000155,0.001309,-1.286261,-2.073524,0.008186,0.000142846,0,,,
100819,0.000185,0.002317,0.002035,-1.289933,-2.07542,0.007555,0.000131835,0,,,
100919,0.000256,-0.00093,0.00165,-1.293605,-2.078981,0.007927,0.000138326,0,,,
101019,0.000812,0.001474,0.00348,-1.293938,-2.078854,0.009912,0.000172964,0,,,
101119,0.001177,0.003098,0.001457,-1.291766,-2.076575,0.010615,0.000185232,0,,,
101219,0.00034,0.001352,0.000429,-1.288245,-2.074998,0.007897,0.000137803,0,,,
101319,0.002748,0.000227,0.002006,-1.286806,-2.076665,0.006775,0.000118224,0,,,
101419,0.003697,-0.000521,0.002428,-1.288144,-2.080029,0.006661,0.000116234,0,,,
101519,0.000938,0.00029,0.001766,-1.291052,-2.083777,0.00569,9.92905E-05,0,,,
101619,0.000384,0.00037,0.002478,-1.291796,-2.084225,0.007604,0.00013269,0,,,
101719,0.00015,0.00334,0.000634,-1.288906,-2.08175,0.006047,0.00010552,0,,,
101819,-0.002529,0.002666,0.001767,-1.287824,-2.079679,0.005178,9.03561E-05,0,,,
101919,-0.001221,0.004403,0.001044,-1.289174,-2.077795,0.005305,9.25723E-05,0,,,
102019,0.000766,0.001656,0.001507,-1.292358,-2.079515,0.005049,8.81051E-05,0,,,
102119,0.001756,0.002846,0.00025,-1.295017,-2.080617,0.004862,8.48419E-05,0,,,
102219,0.002232,0.002369,0.002216,-1.292073,-2.078475,0.006929,0.000120911,0,,,
102319,0.002372,0.002517,0.003153,-1.288502,-2.07461,0.010557,0.00018422,0,,,
102419,0.001832,0.001556,0.002982,-1.284655,-2.072383,0.011347,0.000198005,0,,,
102519,0.00188,0.001093,0.001246,-1.284475,-2.073502,0.009636,0.000168148,0,,,
102619,0.001598,0.002298,0.001151,-1.285563,-2.075079,0.007268,0.000126827,0,,,
102719,-0.000927,0.003514,0.00062,-1.289009,-2.076092,0.00553,9.64985E-05,0,,,
102819,-0.001307,0.002187,-9.70E-05,-1.29,-2.076097,0.004929,8.60111E-05,0,,,
102919,0.002254,0.002036,0.001422,-1.285501,-2.073599,0.004943,8.62554E-05,0,,,
103019,0.002398,0.002656,0.001826,-1.281613,-2.071239,0.00445,7.76525E-05,0,,,
103119,-0.001189,0.000175,0.000631,-1.283196,-2.072251,0.003608,6.29596E-05,0,,,
103219,0.001276,0.000353,0.002673,-1.28525,-2.074641,0.003468,6.05166E-05,0,,,
103319,-1.80E-05,0.002265,0.002299,-1.289402,-2.07694,0.003709,6.47221E-05,0,,,
103419,0.000584,0.00153,0.000286,-1.289487,-2.077303,0.002162,3.77269E-05,0,,,
103519,0.001054,0.001554,0.002342,-1.285598,-2.074725,0.003233,5.64159E-05,0,,,
103619,0.000644,0.001011,0.00238,-1.283726,-2.073506,0.003748,6.54026E-05,0,,,
103719,0.001779,0.000981,0.001389,-1.284492,-2.074201,0.002658,4.63821E-05,0,,,
103819,0.000781,0.002733,0.00329,-1.28737,-2.075954,0.003276,5.71662E-05,0,,,
103919,0.00059,0.00245,0.00264,-1.290234,-2.076603,0.005094,8.88903E-05,0,,,
104019,-0.000871,1.40E-05,0.003708,-1.291165,-2.07714,0.007122,0.000124279,0,,,
104119,0.001308,0.000423,0.001263,-1.287485,-2.075396,0.007988,0.000139391,0,,,
