SampleTimeFine,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
511298,-0.012779,0.050258,-0.011124,-14.645071,-75.739063,14.212325
511398,-0.012415,0.05111,-0.011558,-14.594142,-75.713353,14.185776
511498,-0.007367,0.052386,-0.010444,-14.542731,-75.686755,14.144659
511598,-0.002533,0.054216,-0.008294,-14.492854,-75.658837,14.091478
511698,-0.004657,0.060355,-0.005399,-14.446921,-75.626851,14.059796
511798,-0.009359,0.062033,-0.005177,-14.404269,-75.594084,13.996527
511898,-0.017004,0.052411,-0.003545,-14.374704,-75.566311,13.956378
511998,-0.017465,0.040865,-0.003761,-14.351419,-75.544986,13.922792
512098,-0.018605,0.024559,-0.007186,-14.330459,-75.533154,13.892615
512198,-0.016958,0.01542,-0.012736,-14.301769,-75.527206,13.851758
512298,-0.012777,0.021392,-0.013248,-14.266427,-75.518014,13.803968
512398,-0.009723,0.032772,-0.014891,-14.21962,-75.502711,13.747937
512498,-0.005864,0.032616,-0.013676,-14.173418,-75.487321,13.694278
512598,-0.008082,0.025005,-0.00961,-14.141406,-75.47557,13.654657
512698,-0.002934,0.024311,-0.003184,-14.12066,-75.463304,13.629219
512798,0.005002,0.032779,0.00237,-14.102764,-75.445554,13.610945
512898,0.010211,0.034877,-0.001272,-14.072995,-75.427148,13.583913
512998,0.011765,0.032281,-0.004657,-14.036585,-75.410658,13.550394
513098,0.015036,0.028702,-0.00784,-13.99347,-75.396588,13.512602
513198,0.008373,0.016142,-0.011758,-13.952551,-75.390034,13.473111
513298,0.005725,0.014904,-0.009082,-13.919561,-75.383792,13.439879
513398,0.015805,0.030337,-0.005898,-13.87946,-75.368519,13.405755
513498,0.02548,0.049649,-0.002707,-13.830572,-75.342061,13.367946
513598,0.034067,0.044993,-0.002613,-13.779538,-75.318173,13.333149
513698,0.03639,0.037535,-0.003532,-13.729225,-75.298552,13.300547
513798,0.033376,0.025452,-0.006998,-13.679645,-75.28612,13.266707
513898,0.028313,0.011593,-0.012147,-13.629244,-75.282094,13.229114
513998,0.029257,0.002064,-0.016783,-13.573384,-75.283991,13.186324
514098,0.032118,0.010796,-0.018862,-13.507013,-75.28129,13.134359
514198,0.037134,0.028232,-0.017717,-13.431378,-75.268702,13.075929
514298,0.034098,0.049618,-0.014377,-13.353913,-75.243732,13.013675
514398,0.025753,0.059855,-0.012211,-13.280928,-75.212748,12.951053
514498,0.015442,0.047274,-0.008129,-13.228955,-75.188227,12.904297
514598,0.003724,0.033431,-0.007211,-13.192622,-75.1713,12.866573
514698,-0.000836,0.021482,-0.011485,-13.155862,-75.161589,12.825779
514798,0.001087,0.016483,-0.015838,-13.111342,-75.155227,12.778019
514898,0.006728,0.02005,-0.021315,-13.050364,-75.147573,12.716548
514998,0.016723,0.030066,-0.02399,-12.973236,-75.134651,12.644385
515098,0.028124,0.040674,-0.025357,-12.881733,-75.115953,12.564067
515198,0.03277,0.047789,-0.024497,-12.786196,-75.093137,12.482281
515298,0.034504,0.043199,-0.021611,-12.698145,-75.072488,12.409381
515398,0.030259,0.041854,-0.02201,-12.612542,-75.052613,12.336348
515498,0.025647,0.046113,-0.022218,-12.527368,-75.030353,12.261148
515598,0.016266,0.045792,-0.02214,-12.448122,-75.008235,12.186428
515698,0.010736,0.045207,-0.018412,-12.380317,-74.985959,12.120309
515798,0.008066,0.050795,-0.017887,-12.312794,-74.96047,12.052891
515898,0.006116,0.059696,-0.016403,-12.245684,-74.929797,11.984674
515998,0.000818,0.061429,-0.017215,-12.179415,-74.898233,11.914258
516098,-0.007591,0.051225,-0.013218,-12.13106,-74.871885,11.857352
516198,-0.015122,0.033218,-0.012178,-12.097324,-74.85549,11.811127
516298,-0.018572,0.020056,-0.012178,-12.071466,-74.846464,11.770944
516398,-0.018009,0.01295,-0.012703,-12.047366,-74.841477,11.732999
516498,-0.012239,0.007836,-0.012277,-12.023117,-74.839301,11.698275
516598,-0.007818,0.012183,-0.013057,-11.992821,-74.834776,11.659999
516698,-0.008237,0.01843,-0.009694,-11.967011,-74.826345,11.626038
516798,-0.010417,0.023164,-0.005268,-11.949559,-74.814732,11.599443
516898,-0.009528,0.020078,-0.000277,-11.943277,-74.804256,11.584989
516998,-0.01386,0.013765,0.00414,-11.951356,-74.796796,11.582799
517098,-0.013107,-0.000669,0.00645,-11.970064,-74.797154,11.592096
517198,-0.007986,-0.01746,0.00854,-11.997503,-74.806674,11.613506
517298,-0.003477,-0.023773,0.002519,-12.012729,-74.820446,11.624899
517398,-0.005501,-0.019296,0.000749,-12.023512,-74.83192,11.630454
517498,-0.005428,-0.015621,-0.000793,-12.029458,-74.841517,11.631069
517598,-0.003377,-0.012816,-0.000301,-12.034016,-74.849483,11.631537
517698,0.004753,-0.006773,-0.000316,-12.031223,-74.854064,11.629216
517798,0.013951,-0.005687,0.000987,-12.025382,-74.857881,11.629075
517898,0.025595,-0.003491,0.000627,-12.011152,-74.86051,11.627186
517998,0.032945,-0.006886,0.000473,-11.993882,-74.86506,11.626535
518098,0.030125,-0.009651,0.000254,-11.978987,-74.871184,11.626687
518198,0.023322,-0.014875,0.002645,-11.975247,-74.879949,11.634378
518298,0.012964,-0.021996,0.003674,-11.982725,-74.892584,11.647468
518398,0.009446,-0.020644,0.008255,-12.001164,-74.903914,11.6698
518498,0.0217,0.005093,0.015613,-12.016508,-74.899942,11.696256
518598,0.035315,0.017584,0.016513,-12.020377,-74.888863,11.719004
518698,0.038509,0.018875,0.017486,-12.023844,-74.876946,11.743158
518798,0.036664,0.01132,0.015409,-12.027382,-74.869514,11.766187
518898,0.027954,-0.008561,0.012968,-12.039624,-74.873513,11.793112
518998,0.015133,-0.029946,0.016339,-12.0757,-74.889089,11.837086
519098,0.011489,-0.025648,0.0161,-12.111535,-74.902275,11.878632
519198,0.015389,-0.00718,0.018557,-12.142045,-74.904814,11.917027
519298,0.019209,0.00459,0.017612,-12.163144,-74.90087,11.948028
519398,0.023284,0.015095,0.014646,-12.171038,-74.8914,11.967683
519498,0.029877,0.010207,0.017156,-12.182533,-74.884364,11.994981
519598,0.03408,-0.01049,0.013758,-12.193838,-74.88933,12.024568
519698,0.031967,-0.036099,0.011984,-12.214196,-74.908849,12.062292
519798,0.024853,-0.051365,0.011665,-12.244937,-74.936949,12.106562
519898,0.020346,-0.05452,0.010476,-12.277356,-74.966953,12.149893
519998,0.012069,-0.038031,0.01009,-12.306349,-74.987765,12.184754
520098,0.007325,-0.020643,0.013117,-12.336524,-74.998469,12.218033
520198,0.005274,-0.006801,0.01469,-12.364864,-75.001229,12.248187
520298,0.007233,0.000175,0.016777,-12.39325,-74.999825,12.279568
520398,0.008987,-0.008581,0.018241,-12.427715,-75.003138,12.318258
520498,0.008575,-0.020196,0.019974,-12.471419,-75.012728,12.366274
520598,0.001244,-0.031578,0.022059,-12.52903,-75.028415,12.424335
520698,-0.004764,-0.03478,0.01976,-12.586888,-75.046163,12.479086
520798,-0.012562,-0.032095,0.018748,-12.645963,-75.062521,12.530474
520898,-0.017257,-0.022143,0.017565,-12.700662,-75.073452,12.574544
520998,-0.016394,-0.011569,0.015011,-12.744565,-75.078785,12.607953
521098,-0.011126,-0.009758,0.015033,-12.784663,-75.083098,12.640545
521198,-0.000196,-0.004268,0.008887,-12.803012,-75.085121,12.657107
521298,0.002369,-0.01274,0.008218,-12.822543,-75.09196,12.676408
521398,0.004716,-0.025852,0.008101,-12.846784,-75.106137,12.701972
521498,0.002787,-0.036116,0.00935,-12.87974,-75.125884,12.73541
521598,0.002445,-0.028228,0.009758,-12.910031,-75.141166,12.765885
521698,-0.003356,-0.019948,0.012016,-12.94446,-75.15153,12.797201
521798,-0.006996,-0.011409,0.010544,-12.973772,-75.157311,12.821064
521898,-0.010635,-0.014665,0.010782,-13.007275,-75.164876,12.847109
521998,-0.007537,-0.022826,0.009098,-13.039466,-75.17721,12.873628
522098,-0.008285,-0.026818,0.006153,-13.067872,-75.19215,12.89579
522198,-0.007472,-0.026149,0.004301,-13.091621,-75.206954,12.913614
522298,-0.008005,-0.020147,0.00152,-13.106882,-75.218768,12.922342
522398,-0.008027,-0.018914,0.002497,-13.123634,-75.229765,12.932601
522498,-0.006494,-0.015079,0.001114,-13.134706,-75.238801,12.937893
522598,-0.009329,-0.018694,0.005182,-13.157822,-75.249323,12.953959
522698,-0.009846,-0.025265,0.005485,-13.18517,-75.26347,12.974092
522798,-0.011836,-0.033515,0.006104,-13.219132,-75.282135,12.999883
522898,-0.010268,-0.032152,0.006012,-13.251396,-75.300048,13.024846
522998,-0.007048,-0.028519,0.002121,-13.271783,-75.316443,13.039432
523098,-0.010245,-0.02788,0.004779,-13.299384,-75.332129,13.059581
523198,-0.01659,-0.030423,0.001797,-13.325597,-75.349626,13.074536
523298,-0.016515,-0.033017,0.002458,-13.354539,-75.368478,13.092356
523398,-0.017902,-0.033648,0.001726,-13.383088,-75.387778,13.108948
523498,-0.015645,-0.034057,-0.001555,-13.403587,-75.407739,13.118556
523598,-0.010676,-0.035124,-0.007518,-13.409037,-75.429085,13.115557
523698,-0.007897,-0.031966,-0.009844,-13.406288,-75.448981,13.105732
523798,-0.003538,-0.021526,-0.012498,-13.389974,-75.463408,13.084475
523898,-0.011858,-0.016381,-0.011979,-13.376883,-75.474896,13.061623
523998,-0.027959,-0.018583,-0.006986,-13.384868,-75.486948,13.051016
524098,-0.041267,-0.023169,-0.004008,-13.409247,-75.501163,13.049468
524198,-0.041436,-0.012048,-0.002294,-13.431713,-75.508952,13.045846
524298,-0.036756,0.000511,-0.001804,-13.446086,-75.509678,13.036637
524398,-0.030004,0.006986,-0.006726,-13.44264,-75.507455,13.013016
524498,-0.025567,-0.003878,-0.010603,-13.433891,-75.511802,12.986542
524598,-0.026066,-0.021371,-0.013405,-13.428384,-75.52627,12.963117
524698,-0.036088,-0.044234,-0.016485,-13.433734,-75.553887,12.944979
524798,-0.040421,-0.038691,-0.014536,-13.442908,-75.578153,12.928225
524898,-0.031343,-0.019321,-0.012893,-13.440391,-75.591405,12.904774
524998,-0.015865,-0.004484,-0.009298,-13.429099,-75.59591,12.881417
525098,-0.00493,-0.002296,-0.010712,-13.407331,-75.599383,12.853711
525198,0.001234,-0.012103,-0.009404,-13.389927,-75.608147,12.834156
525298,0.004794,-0.034365,-0.010473,-13.379647,-75.629463,12.82406
525398,0.009971,-0.052229,-0.012286,-13.371672,-75.660976,12.819405
525498,0.011843,-0.059783,-0.017337,-13.355482,-75.697369,12.807378
525598,0.016063,-0.049987,-0.020884,-13.32394,-75.728766,12.782005
525698,0.023008,-0.035766,-0.020716,-13.281284,-75.752206,12.749274
525798,0.031372,-0.022619,-0.017502,-13.233976,-75.767885,12.71669
525898,0.039355,-0.017587,-0.011485,-13.192655,-75.779963,12.695003
525998,0.040407,-0.021026,-0.009308,-13.157248,-75.793672,12.680038
526098,0.040727,-0.02713,-0.00557,-13.133002,-75.810298,12.676775
526198,0.037405,-0.027188,-0.003548,-13.115129,-75.826693,12.678122
526298,0.03189,-0.022041,-0.003892,-13.096986,-75.84026,12.675931
526398,0.026893,-0.01742,-0.001571,-13.084444,-75.850948,12.676566
526498,0.021657,-0.015692,-0.000403,-13.076585,-75.860522,12.678938
526598,0.017446,-0.015845,-0.000261,-13.071526,-75.870163,12.68171
526698,0.019689,-0.01507,-0.002737,-13.059285,-75.879693,12.678401
526798,0.026462,-0.022208,-0.001856,-13.048782,-75.893093,12.680888
526898,0.030491,-0.017091,-0.004219,-13.028075,-75.903942,12.675234
526998,0.030605,-0.006445,-0.008436,-12.992428,-75.90939,12.654246
527098,0.019554,-0.003719,-0.006646,-12.965676,-75.913083,12.635902
527198,0.005232,-0.007921,-0.007487,-12.947393,-75.919229,12.617833
527298,-0.007208,-0.015979,-0.006426,-12.942701,-75.929737,12.60643
527398,-0.016357,-0.022538,-0.011563,-12.935139,-75.944568,12.586668
527498,-0.021186,-0.022682,-0.011908,-12.929617,-75.959524,12.566156
527598,-0.021781,-0.0262,-0.013429,-12.922811,-75.97664,12.543971
527698,-0.021014,-0.030076,-0.015699,-12.912436,-75.99621,12.518562
527798,-0.021849,-0.032933,-0.013825,-12.908159,-76.017135,12.498947
527898,-0.02726,-0.033077,-0.011925,-12.911288,-76.037897,12.483771
527998,-0.029535,-0.027177,-0.013893,-12.908236,-76.055616,12.460885
528098,-0.032878,-0.022532,-0.016613,-12.898548,-76.071088,12.429189
528198,-0.026466,-0.012066,-0.018918,-12.874554,-76.081008,12.38654
528298,-0.021904,-0.009356,-0.020393,-12.843184,-76.089596,12.338983
528398,-0.017585,-0.011041,-0.015206,-12.821872,-76.098461,12.304334
528498,-0.012924,-0.018047,-0.011833,-12.809071,-76.11081,12.281203
528598,-0.009524,-0.023063,-0.011848,-12.796835,-76.125961,12.260662
528698,-0.006817,-0.017677,-0.010104,-12.784196,-76.137881,12.241303
528798,-0.003445,-0.014493,-0.007654,-12.773515,-76.147709,12.225953
528898,-0.001119,-0.010958,-0.005863,-12.763729,-76.155334,12.212897
528998,0.001158,-0.008262,-0.005579,-12.751886,-76.161415,12.199067
529098,0.009918,-0.007033,-0.003817,-12.738381,-76.166587,12.188695
529198,0.015698,-0.007965,-0.005402,-12.718437,-76.172479,12.175101
529298,0.017611,-0.010414,-0.004359,-12.701009,-76.179607,12.165226
529398,0.022215,-0.011554,-0.004276,-12.681704,-76.187361,12.156133
529498,0.02659,-0.015698,-0.001797,-12.667636,-76.197119,12.155014
529598,0.028328,-0.023485,-0.00099,-12.658384,-76.211128,12.15988
529698,0.023733,-0.029939,0.002087,-12.662083,-76.228358,12.175372
529798,0.015058,-0.034537,0.001565,-12.671948,-76.248223,12.192095
529898,0.007001,-0.039645,0.001424,-12.688777,-76.27096,12.211234
529998,0.000216,-0.039237,0.002138,-12.710978,-76.293376,12.231902
530098,0.001476,-0.023912,0.003655,-12.728059,-76.307035,12.248044
530198,0.012213,-0.004559,0.003563,-12.728763,-76.309889,12.253664
530298,0.018732,0.004675,-0.000995,-12.710493,-76.308159,12.243595
530398,0.017167,-0.004581,-0.003147,-12.69297,-76.311874,12.233371
530498,0.001947,-0.036578,-0.007272,-12.691233,-76.333992,12.230419
530598,-0.017003,-0.064777,-0.008206,-12.712846,-76.371988,12.240326
530698,-0.020113,-0.056182,-0.00532,-12.738512,-76.404813,12.252569
530798,-0.01387,-0.033932,-0.004989,-12.749796,-76.425161,12.253697
